,Gene,Gene.Left,Gene.Right,Strand,Promoter.found,Upstream.Operon,TSS,Promoter_region,Minimal_promoter,TSS..10,TSS_strength,Region_score,Minimal_promoter_activity
30,lpxK,967588.0,968575.0,+,Y,msbA-lpxK,"TSS_3758_regulondb, TSS_3759_regulondb",965549_965944_+,965779_965819_+,,,536.64,1.19685132
31,plsB,4252065.0,4254489.0,-,Y,,TSS_16658_storz_regulondb,4254416_4254815_-,"4254606_4254716_-, 4254665_4254815_-","TSS_16658_storz_regulondb,4254525,-",1.175917903,563.17,
32,dnaB,4262336.0,4263752.0,+,Y,,TSS_16696_wanner_regulondb,4262058_4262490_+,4262288_4262308_+,"TSS_16696_wanner_regulondb,4262306,+",1.3970253830000001,564.68,1.259066073
33,coaD,3807847.0,3808327.0,+,Y,waaA-coaD,TSS_14751_wanner,3806381_3806685_+,3806481_3806531_+,"TSS_14751_wanner,3806532,+",2.660632197,572.52,1.5125178819999998
34,secA,108278.0,110984.0,+,Y,secMA,TSS_454_storz_regulondb,107449_107776_+,107626_107679_+,"TSS_454_storz_regulondb,107668,+",1.545496079,590.33,1.274304433
35,ftsH,3323022.0,3324957.0,-,Y,,TSS_12635_storz_regulondb,3324890_3325201_-,3325051_3325090_-,"TSS_12635_storz_regulondb,3325000,-",0.530810848,606.1,1.649003926
36,ftsH,3323022.0,3324957.0,-,Y,,TSS_12635_storz_regulondb,3324890_3325201_-,3325051_3325090_-,"TSS_12635_storz_regulondb,3325000,-",2.284858984,606.1,1.649003926
37,mreC,3396896.0,3398000.0,-,Y,mreBC,"TSS_13008_regulondb, TSS_13009_storz, TSS_13011_storz_wanner",3399027_3399480_-,"3399067_3399177_-, 3399307_3399357_-",,,612.95,
38,metK,3084727.0,3085882.0,+,Y,,"TSS_1658_storz, TSS_11659_regulondb",3084307_3084693_+,3084543_3084587_+,,,616.96,2.045958738
39,ribE,433870.0,434341.0,+,Y,,TSS_1725_regulondb,433615_433980_+,433805_433835_+,"TSS_1725_regulondb,433817,+",2.228363281,620.75,1.57488224
40,gyrB,3875727.0,3878142.0,-,Y,dnaAN-recF-gyrB,"TSS_15041_regulondb, TSS_15043_wanner",3881771_3882130_-,3881951_3881921_-,,,625.69,1.482000975
41,dnaA,3880348.0,3881752.0,-,Y,,"TSS_15041_regulondb, TSS_15043_wanner",3881771_3882130_-,3881951_3881921_-,,,625.69,1.482000975
42,dxr,193520.0,194717.0,+,Y,frr-dxr,TSS_805_storz_regulondb,192461_192867_+,192571_192611_+,"TSS_805_storz_regulondb,192617,+",1.793591364,627.03,1.227999735
43,ssb,4272147.0,4272684.0,+,Y,,TSS_16733_regulondb,4271911_4272295_+,4272061_4272081_+,"TSS_16733_regulondb,4272103,+",2.493880064,671.35,1.194226712
44,lptG,4485341.0,4468423.0,+,Y,lptFG,"TSS_17536_storz, TSS_17538_storz, TSS_17540_regulondb",4483814_4484299_+,4484230_4484267_-,,,701.24,1.10685632
45,lptF,4484241.0,4485341.0,+,Y,,"TSS_17536_storz, TSS_17538_storz, TSS_17540_regulondb",4483814_4484299_+,4484230_4484267_-,,,701.24,1.10685632
46,gyrA,2334814.0,2337442.0,-,Y,,TSS_8855_wanner_regulondb,2337248_2337637_-,2337388_2337408_-,"TSS_8855_wanner_regulondb,2337479,-",3.3716192119999997,730.5,1.61609023
47,rimN,3428865.0,3429437.0,-,Y,smg-yrdD-rimN,,3430469_3430857_-,3430629_3430679_-,,,737.2,1.114507648
48,acpS,2698639.0,2699020.0,-,Y,rnc-era-recO-pdxJ-acpS,"TSS_10163_regulondb, TSS_10164_regulondb, TSS_10166_storz",2702142_2702486_-,2702336_2702337_-,,,739.63,1.715805552
49,prs,1260151.0,1261098.0,-,Y,,TSS_4891_storz_wanner,1261249_1261640_-,1261449_1261499_-,"TSS_4891_storz_wanner,1261399,-",4.334942277,754.56,2.479859007
50,dnaX,491315.0,493247.0,+,Y,,TSS_1964_storz,491037_491442_+,491237_491277_+,"TSS_1964_storz,491279,+",3.157624272,756.95,1.4693714469999999
51,fldA,710157.0,710688.0,-,Y,,TSS_2753_storz_wanner_regulondb,710555_710966_-,710735_710775_-,"TSS_2753_storz_wanner_regulondb,710744,-",2.473275952,782.11,1.3024094659999998
52,leuS,671423.0,674006.0,-,Y,,TSS_2590_regulondb,673888_674333_-,674108_674148_-,"TSS_2590_regulondb,674058,-",1.527291631,856.05,1.154053168
53,nadD,669153.0,669795.0,-,Y,leuS-lptE-holA-nadD,TSS_2590_regulondb,673888_674333_-,674108_674148_-,"TSS_2590_regulondb,674058,-",1.527291631,856.05,1.154053168
54,ispG,2638707.0,2639826.0,-,Y,rodZ-ispG,"TSS_9932_regulondb, TSS_9934_storz",2640783_2641271_-,2641083_2641023_-,,,893.12,1.224738554
55,hemD,3987110.0,3987851.0,-,Y,hemCD,TSS_15504_regulondb,3988720_3989177_-,3989027_3989080_-,"TSS_15504_regulondb,3988814,-",1.128930715,899.0,1.040829376
56,ribF,21406.0,22348.0,+,Y,,TSS_130_storz_regulondb,21277_21915_+,21347_21427_+,"TSS_130_storz_regulondb,21383,+",1.5193551,911.12,1.173299714
57,adk,496398.0,497043.0,+,Y,,TSS_1980_storz_regulondb,496200_496561_+,496320_496360_+,"TSS_1980_storz_regulondb,496357,+",2.538695675,935.53,1.7146946980000002
58,accA,208620.0,209580.0,+,Y,,"TSS_895_storz_regulondb, TSS_896_regulondb",208050_208516_+,"208090_208240_+, 208310_208330_+",,,964.25,
59,dxs,437538.0,439401.0,-,Y,xseB-ispA-dxs,"TSS_1748_storz_regulondb, TSS_1750_storz_wanner",440352_440861_-,440582_440502_-,,,997.07,1.270572894
60,serS,938650.0,939943.0,+,Y,,"TSS_3606_storz_regulondb, TSS_3607_regulondb",938331_938735_+,938541_938581_+,,,1057.15,1.478741305
61,suhB,2661463.0,2662267.0,+,Y,,TSS_10030_regulondb,2661209_2661459_+,2661309_2661439_+,"TSS_10030_regulondb,2661427,+",10.15663339,1170.82,5.132271622
62,mrdB,664423.0,665536.0,-,Y,ybeB-rlmH-mrdAB,TSS_2562_wanner,668218_668682_-,668508_668448_-,"TSS_2562_wanner,668294,-",1.257976782,1193.14,1.7067879990000001
63,mrdA,665538.0,667440.0,-,Y,ydeB-rlmH-mrdA,"TSS_2562_wanner, TSS_2563_storz, TSS_2564_storz",668218_668682_-,668508_668448_-,,,1193.14,1.7067879990000001
64,lexA,4255137.0,4255746.0,+,Y,,"TSS_16662_storz, TSS_16663_regulondb",4254855_4255272_+,4255055_4255105_+,,,1336.03,1.681556962
65,ligA,2526182.0,2528198.0,-,Y,zipA-ligA,TSS_9537_storz,2529223_2529599_-,2529449_2529523_-,"TSS_9537_storz,2529302,-",2.29195301,1336.36,1.934128714
66,pgk,3069480.0,3070644.0,-,Y,epd-pgk,TSS_11610_wanner,3071572_3072201_-,3071652_3071802_-,"TSS_11610_wanner,3071844,-",4.2003631960000005,1353.99,1.00365342
67,ftsZ,105304.0,106456.0,+,Y,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ,"TSS_385_regulondb, TSS_383_regulondb",89077_89780_+,"89317_89357_+, 89547_89587_+",,,1495.91,
68,ftsQ,103154.0,103985.0,+,Y,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQ,"TSS_385_regulondb, TSS_383_regulondb",89077_89780_+,"89317_89357_+, 89547_89587_+",,,1495.91,
69,murC,100764.0,102240.0,+,Y,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC,"TSS_383_regulondb, TSS_385_regulondb",89077_89780_+,"89317_89357_+, 89547_89587_+",,,1495.91,
70,murE,93165.0,94653.0,+,Y,mraZ-rsmH-ftsLI-murE,"TSS_385_regulondb, TSS_383_regulondb",89077_89780_+,"89317_89357_+, 89547_89587_+",,,1495.91,
71,ftsI,91412.0,93179.0,+,Y,mraZ-rsmH-ftsLI,"TSS_383_regulondb, TSS_385_regulondb",89077_89780_+,"89317_89357_+, 89547_89587_+",,,1495.91,
72,rpoH,3597951.0,3598806.0,-,Y,,"TSS_13952_regulondb, TSS_13953_storz_regulondb",3598776_3599211_-,"3598836_3598956_-, 3599061_3599146_-",,,1555.54,
73,trmD,2742593.0,2743361.0,-,Y,rpsP-rimM-trmD,TSS_10374_wanner,2744064_2744508_-,2744254_2744304_-,"TSS_10374_wanner,2744275,-",11.04330185,1575.25,6.275490829
74,rpsR,4423861.0,4424089.0,+,Y,rpsF-priB-rpsR,TSS_17295_storz_regulondb,4422760_4423209_+,4423010_4423050_+,"TSS_17295_storz_regulondb,4423048,+",13.07630855,1708.75,6.066129987999999
75,rnpA,3882515.0,3882875.0,+,Y,rpmH-rnpA,"TSS_15044_storz, TSS_15045_regulondb, TSS_15046_storz, TSS_15047_regulondb",3881937_3882496_+,3882227_3882127_+,,,1915.59,3.7356398889999998
76,rplJ,4178018.0,4178516.0,+,Y,,TSS_16354_storz_regulondb,4177377_4177824_+,4177627_4177647_+,"TSS_16354_storz_regulondb,4177646,+",12.725919099999999,2159.93,5.443583583
77,rpoB,4179267.0,4183296.0,+,Y,rplJL-rpoB,TSS_16354_storz_regulondb,4177377_4177824_+,4177627_4177647_+,"TSS_16354_storz_regulondb,4177646,+",12.725919099999999,2159.93,5.443583583
78,rpoC,4183372.0,4187596.0,+,Y,rplJL-rpoBC,TSS_16354_storz_regulondb,4177377_4177824_+,4177627_4177647_+,"TSS_16354_storz_regulondb,4177646,+",12.725919099999999,2159.93,5.443583583
79,pheT,1793580.0,1795968.0,-,Y,pheMST,TSS_6881_wanner_regulondb,1797144_1797523_-,1797304_1797344_-,"TSS_6881_wanner_regulondb,1797325,-",8.843872908,2452.22,4.033918882
80,rpsG,3471563.0,3472103.0,-,Y,rpsLG,TSS_13441_storz_wanner,3472460_3473072_-,"347650_3472720_-, 3472850_3472890_-","TSS_13441_storz_wanner,3472641,-",10.59417951,2577.76,
81,gapA,1860794.0,1861790.0,+,Y,,TSS_7097_storz_regulondb,1860419_1860905_+,1860719_1860789_+,"TSS_7097_storz_regulondb,1860759,+",4.488830416,2583.28,2.9397407280000003
82,thrS,1798665.0,1800594.0,-,Y,,"TSS_6907_regulondb, TSS_6908_wanner, TSS_6909_storz",1800572_1801688_-,"1800822_1800742_-, 1800912_1801062_-, 1801052_1801202_-, 1801162_1801302_-",,,2859.52,
83,rplF,3443628.0,3444162.0,-,Y,rplNXE-rpsNH-rplF,TSS_13271_regulondb,3446109_3446624_-,3446379_3446259_-,"TSS_13271_regulondb,3446241,-",22.35630444,3384.15,1.4298460030000002
84,rplO,3442126.0,3442561.0,-,Y,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO,"TSS_13271_regulondb, TSS_13272_storz, TSS_13273_regulondb",3446109_3446624_-,3446379_3446259_-,,,3384.15,1.4298460030000002
85,rpsN,3444600.0,3444906.0,-,Y,rplNXE-rpsN,"TSS_13271_regulondb, TSS_13272_storz, TSS_13273_regulondb",3446109_3446624_-,3446379_3446259_-,,,3384.15,1.4298460030000002
86,nusA,3314060.0,3315548.0,-,Y,metY-rimP-nusA,"TSS_12591_storz_wanner, TSS_12593_storz, TSS_12595_wanner",3316117_3316589_-,3316439_3316307_-,,,3529.31,7.808264319
87,infC,1798119.0,1798662.0,-,Y,,"TSS_6890_regulondb, TSS_6891_storz",1798410_1799186_-,1798710_1798640_-,,,3551.98,5.05699228
88,rpsD,3439076.0,3439697.0,-,Y,rpsMKD,"TSS_13218_regulondb, TSS_13219_regulondb, TSS_13220_regulondb, TSS_13221_regulondb",3440425_3440807_-,3440605_3440645_-,,,3879.48,8.034023567
89,rpoA,3438061.0,3439051.0,-,Y,rpsMKD-rpoA,"TSS_13218_regulondb, TSS_13219_regulondb, TSS_13220_regulondb, TSS_13221_regulondb",3440425_3440807_-,3440605_3440645_-,,,3879.48,8.034023567
90,rplD,3449702.0,3450308.0,,Y,rpsJ-rplCD,TSS_13314_regulondb,3451298_3451712_-,3451528_3451518_-,"TSS_13314_regulondb,3451461,-",23.3680289,4787.34,17.20537575
91,rplP,3446780.0,3447191.0,-,Y,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP,TSS_13314_regulondb,3451298_3451712_-,3451528_3451518_-,"TSS_13314_regulondb,3451461,-",23.3680289,4787.34,17.20537575
92,rpsQ,3446335.0,3446590.0,-,Y,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,TSS_13314_regulondb,3451298_3451712_-,3451528_3451518_-,"TSS_13314_regulondb,3451461,-",23.3680289,4787.34,17.20537575
93,rpsS,3448269.0,3448548.0,-,Y,rpsJ-rplCDWB-rpsS,TSS_13314_regulondb,3451298_3451712_-,3451528_3451518_-,"TSS_13314_regulondb,3451461,-",23.3680289,4787.34,17.20537575
94,obgE,3328603.0,3329776.0,-,Y,rplU-rpmA-yhbE-obgE,"TSS_12681_regulondb, TSS_12683_storz_wanner",3331281_3331761_-,3331461_3331501_-,,,5703.67,13.52962688
95,rplU,3331161.0,3331473.0,-,Y,,"TSS_12681_regulondb, TSS_12683_storz_wanner",3331281_3331761_-,3331461_3331501_-,,,5703.67,13.52962688
96,fabB,2438406.0,2439627.0,-,Y,,TSS_9227_wanner,2439458_2439913_-,2439668_2439708_-,"TSS_9227_wanner,2439662,-",11.50858898,7211.34,8.535326
97,murG,99643.0,100711.0,+,Y,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murG,"TSS_385_regulondb, TSS_383_regulondb",,"89547_89587_+, 89317_89357_+",,,,
98,lolC,1174649.0,1175849.0,+,Y,,"TSS_4544_regulondb, TSS_4545_regulondb",,1174588_1174618_+,,,,1.3340132470000001
99,topA,1329071.0,1331669.0,+,Y,,"TSS_5245_storz_regulondb, TSS_5247_regulondb, TSS_5249_regulondb, TSS_5250_regulondb, TSS_5251_wanner",1328557_1329157_+,1328927_1328837_+,,,,1.728378768
100,yjeE,4393608.0,4394069.0,+,,,,,,,,,
101,ftsY,3600772.0,3602266.0,-,Y,,TSS_13965_storz,,,"TSS_13965_storz,3602339,-",1.0465115090000001,,
