,left,right,stem_loop_left,stem_loop_right,strand,upstream_gene,free_energy,score,locus_tag
172,465069,465119,465084,465099,-1,rna.18,-7.0,3.8,term_173
173,470108,470154,470123,470152,-1,peg.403,-5.0,3.2,term_174
174,472115,472185,472130,472149,-1,peg.405,-6.8,1.1,term_175
175,474590,474650,474605,474617,-1,peg.406,-3.2,2.3,term_176
176,480507,480582,480522,480547,-1,peg.413,-7.2,0.3,term_177
177,480585,480644,480605,480629,1,peg.412,-9.6,4.5,term_178
178,482367,482431,482382,482397,-1,peg.415,-4.6,2.2,term_179
179,484170,484235,484185,484207,-1,peg.416,-6.0,2.4,term_180
180,485345,485414,485360,485373,-1,peg.417,-2.9,1.1,term_181
181,491056,491101,491071,491086,-1,peg.421,-2.9,1.8,term_182
182,493515,493584,493530,493547,-1,peg.424,-5.6,3.9,term_183
183,497330,497386,497345,497356,-1,peg.426,-3.1,2.7,term_184
184,501216,501270,501239,501255,1,peg.428,-5.0,1.8,term_185
185,501224,501291,501239,501255,-1,peg.429,-4.1,0.9,term_186
186,502887,502939,502902,502915,-1,peg.430,-4.0,2.9,term_187
187,507594,507643,507609,507618,-1,peg.432,-2.9,3.0,term_188
188,510638,510710,510653,510689,-1,peg.434,-13.9,2.5,term_189
189,513471,513520,513489,513505,1,peg.437,-7.6,3.4,term_190
190,513597,513680,513613,513635,-1,peg.438,-4.7,1.2,term_191
191,516171,516227,516186,516205,-1,peg.441,-8.2,4.7,term_192
192,518452,518501,518467,518481,-1,peg.447,-2.1,1.3,term_193
193,524466,524549,524481,524498,-1,peg.451,-11.4,2.5,term_194
194,530692,530746,530708,530722,-1,peg.454,-2.1,0.5,term_195
195,531503,531553,531518,531535,-1,peg.456,-6.0,2.6,term_196
196,533130,533186,533145,533158,-1,peg.458,-5.7,3.5,term_197
197,533899,533964,533914,533934,-1,peg.459,-3.0,1.1,term_198
198,534724,534774,534739,534754,-1,peg.460,-3.2,1.3,term_199
199,535675,535731,535690,535704,-1,peg.461,-3.5,2.8,term_200
200,536553,536626,536568,536590,-1,peg.462,-9.0,2.3,term_201
201,537979,538031,537994,538016,-1,peg.464,-11.2,1.5,term_202
202,548755,548819,548770,548789,-1,peg.470,-8.2,4.2,term_203
203,549415,549478,549430,549460,-1,peg.471,-8.3,0.6,term_204
204,551238,551289,551253,551271,-1,peg.474,-3.3,1.9,term_205
205,551242,551286,551253,551271,1,peg.473,-2.4,0.8,term_206
206,551869,551922,551884,551900,-1,peg.475,-6.7,2.9,term_207
207,555226,555295,555259,555280,1,peg.476,-9.1,3.9,term_208
208,555244,555301,555259,555280,-1,peg.477,-9.1,2.8,term_209
209,556254,556313,556269,556284,-1,peg.479,-6.7,3.2,term_210
210,562607,562679,562622,562640,-1,rna.21,-8.5,1.9,term_211
211,564673,564720,564688,564699,-1,peg.487,-4.4,2.3,term_212
212,570329,570374,570344,570361,-1,peg.493,-5.5,3.0,term_213
213,572304,572373,572319,572338,-1,peg.496,-9.0,3.4,term_214
214,574073,574147,574088,574103,-1,peg.497,-3.5,2.3,term_215
215,576575,576641,576590,576611,-1,rna.22,-7.3,4.0,term_216
216,578580,578637,578595,578612,-1,peg.499,-6.8,2.4,term_217
217,580592,580649,580607,580621,-1,peg.503,-3.9,1.7,term_218
218,583473,583549,583488,583513,-1,peg.504,-5.0,1.7,term_219
219,588103,588151,588119,588135,-1,peg.507,-0.8,0.1,term_220
220,589115,589175,589130,589147,-1,peg.508,-8.0,3.0,term_221
221,592402,592458,592417,592440,-1,peg.511,-9.8,3.3,term_222
222,595744,595809,595759,595772,-1,rna.23,-6.1,4.7,term_223
223,596718,596785,596733,596752,-1,rna.32,-10.4,3.2,term_224
224,596904,596968,596919,596936,-1,peg.513,-7.1,2.3,term_225
225,598906,598979,598921,598949,-1,peg.515,-10.3,1.1,term_226
226,604524,604588,604539,604557,-1,peg.518,-8.0,2.2,term_227
227,605458,605516,605473,605489,-1,peg.519,-4.8,2.6,term_228
228,610518,610566,610533,610548,-1,peg.523,-5.7,3.5,term_229
229,611052,611112,611067,611086,-1,peg.524,-4.7,1.5,term_230
230,612920,612977,612935,612950,-1,peg.525,-6.3,3.8,term_231
231,616231,616286,616246,616265,-1,rna.33,-8.1,0.7,term_232
232,616427,616502,616442,616458,-1,peg.530,-2.3,1.5,term_233
233,621727,621788,621742,621758,-1,peg.533,-6.7,3.1,term_234
234,625452,625525,625467,625499,-1,peg.536,-9.7,2.4,term_235
235,632539,632595,632554,632566,-1,peg.540,-2.5,1.8,term_236
236,633709,633756,633724,633740,-1,peg.542,-1.4,2.4,term_237
237,635329,635386,635344,635364,-1,peg.544,-8.1,3.6,term_238
238,637370,637447,637385,637413,-1,peg.548,-10.2,2.8,term_239
239,638988,639040,639003,639017,-1,peg.550,-5.2,2.0,term_240
240,639831,639901,639846,639861,-1,peg.551,-5.0,2.4,term_241
241,646153,646207,646168,646194,-1,peg.560,-5.6,0.7,term_242
242,646624,646682,646635,646667,1,peg.559,-5.0,0.9,term_243
243,649434,649499,649449,649468,-1,peg.563,-6.5,2.5,term_244
244,650547,650610,650562,650577,-1,peg.564,-6.6,0.4,term_245
245,653009,653078,653024,653041,-1,peg.567,-5.8,1.9,term_246
246,657067,657127,657082,657096,-1,peg.570,-3.5,2.0,term_247
247,664089,664145,664111,664130,1,peg.575,-6.3,1.9,term_248
248,664096,664162,664111,664130,-1,peg.576,-6.3,2.5,term_249
249,670008,670066,670038,670051,1,peg.579,-3.5,2.6,term_250
250,670022,670090,670037,670052,-1,peg.580,-5.9,2.9,term_251
251,671532,671591,671563,671576,1,peg.581,-5.8,2.6,term_252
252,671548,671621,671563,671576,-1,peg.582,-5.2,1.9,term_253
253,672871,672923,672886,672899,-1,peg.583,-6.2,4.5,term_254
254,673989,674055,674004,674028,-1,peg.584,-5.7,1.3,term_255
255,676254,676303,676270,676284,-1,peg.586,-4.4,2.9,term_256
256,686725,686785,686752,686770,1,peg.591,-10.9,5.1,term_257
257,686737,686795,686752,686770,-1,peg.592,-5.8,0.7,term_258
258,691622,691699,691651,691684,1,peg.596,-13.1,3.3,term_259
259,691636,691717,691651,691684,-1,rna.34,-9.0,2.9,term_260
260,694151,694208,694166,694184,-1,peg.600,-5.6,2.3,term_261
261,695253,695307,695268,695286,-1,peg.601,-7.8,2.8,term_262
262,705400,705461,705430,705446,1,peg.604,-6.9,3.4,term_263
263,705415,705478,705430,705446,-1,peg.605,-6.9,3.4,term_264
264,706420,706476,706435,706463,-1,peg.607,-16.2,2.5,term_265
265,709230,709282,709245,709258,-1,peg.608,-0.9,1.0,term_266
266,711675,711754,711690,711723,-1,peg.610,-9.6,2.7,term_267
267,712185,712237,712200,712211,-1,peg.611,-4.1,2.6,term_268
268,715852,715905,715867,715885,-1,peg.615,-7.4,2.8,term_269
269,719890,719956,719921,719941,1,peg.617,-7.0,1.6,term_270
270,719906,719974,719921,719941,-1,peg.618,-7.3,2.7,term_271
271,723899,723945,723914,723930,-1,peg.621,-3.7,1.4,term_272
272,724684,724741,724699,724715,-1,peg.622,-4.1,1.0,term_273
273,727474,727522,727489,727509,-1,peg.623,-11.2,3.7,term_274
274,727877,727938,727892,727907,-1,peg.624,-3.9,2.2,term_275
275,732351,732440,732367,732414,-1,peg.628,-14.7,0.3,term_276
276,735294,735369,735309,735333,-1,peg.631,-6.8,2.7,term_277
277,736336,736383,736351,736365,-1,peg.632,-3.1,0.2,term_278
278,744485,744546,744500,744515,-1,peg.640,-8.3,2.9,term_279
279,744878,744934,744894,744903,-1,peg.641,-4.0,3.3,term_280
280,746931,747005,746946,746973,-1,peg.644,-10.4,0.7,term_281
281,747069,747111,747071,747096,1,peg.643,-13.0,3.7,term_282
282,749663,749709,749679,749688,-1,peg.646,-4.0,4.0,term_283
283,752832,752880,752854,752865,1,peg.649,-3.4,3.6,term_284
284,752839,752901,752854,752865,-1,peg.650,-2.5,2.4,term_285
285,754493,754572,754508,754532,-1,peg.651,-5.3,3.1,term_286
286,762887,762952,762916,762937,1,peg.656,-5.5,2.3,term_287
287,762901,762966,762916,762937,-1,peg.657,-5.0,2.9,term_288
288,764394,764445,764415,764430,1,peg.658,-6.1,3.0,term_289
289,764400,764464,764415,764430,-1,peg.659,-5.6,2.3,term_290
290,766474,766563,766489,766511,-1,peg.661,-9.8,2.8,term_291
291,769381,769444,769396,769409,-1,peg.665,-5.5,1.7,term_292
292,771716,771780,771731,771748,-1,peg.667,-7.0,1.0,term_293
293,778319,778383,778334,778347,-1,peg.672,-5.9,3.4,term_294
294,781703,781751,781718,781731,-1,peg.674,-4.6,1.8,term_295
295,789681,789735,789697,789707,-1,peg.681,-5.8,4.0,term_296
296,790155,790219,790170,790211,-1,peg.682,-6.5,1.7,term_297
297,791144,791207,791159,791174,-1,peg.683,-5.3,2.0,term_298
