,tss,strand,tss_type,MEME_p_value,rspm,tss_box_10_dist,box_10_left,box_10_right,locus_tag
100,229610,1,p-gTSS,0.00025,3501,7,229597,229602,TSS_101
101,231591,1,p-gTSS,1.1e-05,56,6,231579,231584,TSS_102
102,233186,1,p-gTSS,0.00025,269,6,233174,233179,TSS_103
103,237614,1,p-gTSS,0.00038,8766,7,237601,237606,TSS_104
104,241096,-1,p-gTSS,0.0055,205,6,241103,241108,TSS_105
105,242818,-1,a-gTSS,2.6e-06,785,6,242825,242830,TSS_106
106,242841,1,p-gTSS,0.00089,107,6,242829,242834,TSS_107
107,246352,1,p-gTSS,0.0015,640,6,246340,246345,TSS_108
108,250963,-1,p-gTSS,2.4e-05,69,4,250968,250973,TSS_109
109,251137,-1,p-gTSS,0.00071,1878,6,251144,251149,TSS_110
110,251175,1,p-gTSS,1.6e-05,39,6,251163,251168,TSS_111
111,252210,-1,p-gTSS,0.00016,5439,6,252217,252222,TSS_112
112,252307,1,p-gTSS,5.1e-05,1240,6,252295,252300,TSS_113
113,254358,1,p-gTSS,8.6e-05,154,4,254348,254353,TSS_114
114,256184,1,p-gTSS,1.3e-05,82,6,256172,256177,TSS_115
115,259325,1,p-gTSS,1.6e-05,400,6,259313,259318,TSS_116
116,264270,1,p-gTSS,1.1e-05,115,7,264257,264262,TSS_117
117,266535,1,p-gTSS,0.00049,971,7,266522,266527,TSS_118
118,267743,1,p-gTSS,0.00033,2304,7,267730,267735,TSS_119
119,269720,1,p-gTSS,0.00099,35,7,269707,269712,TSS_120
120,271726,1,p-gTSS,0.00038,74,7,271713,271718,TSS_121
121,278174,-1,p-gTSS,0.00019,581,6,278181,278186,TSS_122
122,278243,1,p-gTSS,8.6e-05,152,6,278231,278236,TSS_123
123,279941,-1,a-gTSS,0.0012,14,6,279948,279953,TSS_124
124,279951,1,p-gTSS,0.0008,44,6,279939,279944,TSS_125
125,280708,1,p-gTSS,0.002,58,7,280695,280700,TSS_126
126,281131,1,p-gTSS,0.012,20,6,281119,281124,TSS_127
127,282218,1,p-gTSS,0.00043,14,6,282206,282211,TSS_128
128,282835,1,p-gTSS,0.00012,211,7,282822,282827,TSS_129
129,284237,1,p-gTSS,0.0055,212,7,284224,284229,TSS_130
130,286004,1,p-gTSS,0.00014,61,7,285991,285996,TSS_131
131,287352,1,p-gTSS,0.00038,74,6,287340,287345,TSS_132
132,288892,1,p-gTSS,8.5e-06,17,5,288881,288886,TSS_133
133,296612,1,p-gTSS,0.00043,11,5,296601,296606,TSS_134
134,304227,1,p-gTSS,0.00025,634,6,304215,304220,TSS_135
135,306476,1,p-gTSS,0.00025,45,7,306463,306468,TSS_136
136,314116,1,p-gTSS,0.00033,551,7,314103,314108,TSS_137
137,315698,1,p-gTSS,4.3e-05,404,7,315685,315690,TSS_138
138,320315,1,p-gTSS,0.0015,16,6,320303,320308,TSS_139
139,320965,1,p-gTSS,4.2e-06,87,3,320956,320961,TSS_140
140,323967,1,p-gTSS,0.0012,220,7,323954,323959,TSS_141
141,326310,1,p-gTSS,5.1e-05,3037,6,326298,326303,TSS_142
142,326865,1,p-gTSS,1.1e-05,219,7,326852,326857,TSS_143
143,327649,1,p-gTSS,8.6e-05,25,6,327637,327642,TSS_144
144,336337,1,p-gTSS,8.6e-05,86,6,336325,336330,TSS_145
145,344821,1,p-gTSS,0.00014,31,7,344808,344813,TSS_146
146,348699,1,p-gTSS,0.00022,419,6,348687,348692,TSS_147
147,348815,-1,a-gTSS,0.00022,13,6,348822,348827,TSS_148
148,348827,1,p-gTSS,7.3e-05,408,6,348815,348820,TSS_149
149,350231,1,p-gTSS,0.00019,141,3,350222,350227,TSS_150
150,354786,-1,p-gTSS,0.0017,15,6,354793,354798,TSS_151
151,354807,-1,p-gTSS,0.00016,1355,6,354814,354819,TSS_152
152,354811,1,p-gTSS,6.1e-05,338,8,354797,354802,TSS_153
153,354831,1,p-gTSS,0.00063,1580,7,354818,354823,TSS_154
154,365677,1,p-gTSS,0.0017,12,3,365668,365673,TSS_155
155,368415,1,p-gTSS,0.00016,31,5,368404,368409,TSS_156
156,369542,1,p-gTSS,0.00033,35,6,369530,369535,TSS_157
157,370284,1,p-gTSS,0.002,12,6,370272,370277,TSS_158
158,375734,-1,p-gTSS,0.0011,61,6,375741,375746,TSS_159
159,375799,1,p-gTSS,6.1e-05,23,4,375789,375794,TSS_160
160,377279,1,p-gTSS,0.00016,88,6,377267,377272,TSS_161
161,384445,-1,p-gTSS,0.00029,42,7,384453,384458,TSS_162
162,389895,-1,p-gTSS,0.0012,795,6,389902,389907,TSS_163
163,391652,-1,p-gTSS,0.00029,126,6,391659,391664,TSS_164
164,393140,-1,p-gTSS,0.00089,35,7,393148,393153,TSS_165
165,393192,1,p-gTSS,0.00016,3034,6,393180,393185,TSS_166
166,395923,-1,p-gTSS,0.0059,562,6,395930,395935,TSS_167
167,396592,1,p-gTSS,0.00014,4468,6,396580,396585,TSS_168
168,397026,1,p-gTSS,0.0014,88,5,397015,397020,TSS_169
169,399908,1,p-gTSS,0.0015,157,6,399896,399901,TSS_170
170,404630,-1,p-gTSS,0.0027,35,6,404637,404642,TSS_171
171,407343,-1,p-gTSS,0.0029,217,6,407350,407355,TSS_172
172,409368,-1,p-gTSS,7.3e-05,45,6,409375,409380,TSS_173
173,412713,-1,p-gTSS,0.00056,118,4,412718,412723,TSS_174
174,415427,-1,p-gTSS,0.00038,106,6,415434,415439,TSS_175
175,420872,-1,p-gTSS,1.2e-06,25,7,420880,420885,TSS_176
176,422298,-1,p-gTSS,8.6e-05,265,6,422305,422310,TSS_177
177,422594,-1,p-gTSS,1.1e-05,15886,6,422601,422606,TSS_178
178,423829,-1,p-gTSS,0.00019,158,5,423835,423840,TSS_179
179,426915,-1,p-gTSS,0.00029,486,6,426922,426927,TSS_180
180,429404,-1,p-gTSS,0.00071,67,6,429411,429416,TSS_181
181,429492,1,p-gTSS,2e-06,1858,7,429479,429484,TSS_182
182,432727,-1,p-gTSS,0.0018,1625,6,432734,432739,TSS_183
183,435653,-1,p-gTSS,0.0011,33,7,435661,435666,TSS_184
184,435659,1,p-gTSS,0.002,49,7,435646,435651,TSS_185
185,437585,-1,p-gTSS,0.00038,220,7,437593,437598,TSS_186
186,438804,-1,p-gTSS,0.00043,15,6,438811,438816,TSS_187
187,439970,-1,p-gTSS,0.0001,24,7,439978,439983,TSS_188
188,440308,1,p-gTSS,5.1e-05,3362,6,440296,440301,TSS_189
189,441941,-1,p-gTSS,1.6e-05,4410,7,441949,441954,TSS_190
190,443980,-1,p-gTSS,6.7e-06,17,4,443985,443990,TSS_191
191,450485,-1,p-gTSS,0.00038,94,6,450492,450497,TSS_192
192,451502,-1,p-gTSS,3.5e-05,466,6,451509,451514,TSS_193
193,455902,-1,p-gTSS,0.0027,2990,6,455909,455914,TSS_194
194,465051,-1,p-gTSS,2e-06,17,6,465058,465063,TSS_195
195,470050,-1,p-gTSS,0.0008,1284,6,470057,470062,TSS_196
196,472144,-1,p-gTSS,0.00019,95,7,472152,472157,TSS_197
197,474546,-1,p-gTSS,0.0015,243,6,474553,474558,TSS_198
198,476861,-1,p-gTSS,0.00033,155,7,476869,476874,TSS_199
199,481205,-1,p-gTSS,0.00012,800,6,481212,481217,TSS_200
200,482395,-1,p-gTSS,0.00025,140,6,482402,482407,TSS_201
201,484140,-1,p-gTSS,0.0012,124,6,484147,484152,TSS_202
202,488782,-1,p-gTSS,1.6e-05,195,6,488789,488794,TSS_203
203,491003,-1,p-gTSS,0.00056,34,5,491009,491014,TSS_204
204,491962,-1,p-gTSS,0.0022,4595,6,491969,491974,TSS_205
205,497273,-1,p-gTSS,0.00063,78,6,497280,497285,TSS_206
206,498158,-1,p-gTSS,0.0018,81,6,498165,498170,TSS_207
207,502818,-1,p-gTSS,0.00038,996,6,502825,502830,TSS_208
208,511978,-1,p-gTSS,5.1e-05,157,7,511986,511991,TSS_209
209,512045,1,p-gTSS,0.00056,237,7,512032,512037,TSS_210
210,516155,-1,p-gTSS,1.5e-06,117,5,516161,516166,TSS_211
211,517220,-1,p-gTSS,0.00089,623,6,517227,517232,TSS_212
212,522968,-1,p-gTSS,0.0015,628,6,522975,522980,TSS_213
213,524587,-1,a-gTSS,0.00063,60,7,524595,524600,TSS_214
214,528714,1,a-gTSS,0.00038,13,7,528701,528706,TSS_215
215,530676,-1,p-gTSS,0.0012,527,6,530683,530688,TSS_216
216,533112,-1,p-gTSS,5.1e-05,134,7,533120,533125,TSS_217
217,533808,-1,p-gTSS,0.0034,45,5,533814,533819,TSS_218
218,533832,-1,p-gTSS,0.017,29,4,533837,533842,TSS_219
219,533846,-1,p-gTSS,0.00038,11335,6,533853,533858,TSS_220
220,535655,-1,p-gTSS,0.0014,11,6,535662,535667,TSS_221
221,548667,-1,p-gTSS,0.0047,21,6,548674,548679,TSS_222
222,549419,-1,p-gTSS,0.0008,328,6,549426,549431,TSS_223
223,550847,1,p-gTSS,0.00099,19,6,550835,550840,TSS_224
224,551859,-1,p-gTSS,0.0011,66,7,551867,551872,TSS_225
225,553297,-1,p-gTSS,0.0096,55,6,553304,553309,TSS_226
226,553317,-1,p-gTSS,,9551,6,553324,553329,TSS_227
227,553389,1,p-gTSS,0.00089,904,6,553377,553382,TSS_228
228,556248,-1,p-gTSS,0.00089,199,6,556255,556260,TSS_229
229,558929,-1,p-gTSS,0.0084,37,7,558937,558942,TSS_230
230,562578,-1,p-gTSS,0.00025,194,7,562586,562591,TSS_231
231,562755,-1,p-gTSS,1.3e-05,1985,6,562762,562767,TSS_232
232,564650,-1,p-gTSS,5.4e-06,127,6,564657,564662,TSS_233
233,568924,-1,p-gTSS,2.4e-05,4056,5,568930,568935,TSS_234
234,571273,-1,p-gTSS,0.0014,33,5,571279,571284,TSS_235
235,572266,-1,p-gTSS,0.00056,233,6,572273,572278,TSS_236
236,574065,-1,p-gTSS,0.0044,1298,6,574072,574077,TSS_237
237,576554,-1,p-gTSS,2.9e-05,128,7,576562,576567,TSS_238
238,576706,-1,p-gTSS,,222,6,576713,576718,TSS_239
239,578563,-1,p-gTSS,6.1e-05,297,6,578570,578575,TSS_240
240,578578,1,a-gTSS,0.0096,14,6,578566,578571,TSS_241
241,579542,-1,p-gTSS,0.00016,3512,6,579549,579554,TSS_242
242,580586,-1,p-gTSS,0.0001,60,6,580593,580598,TSS_243
243,583422,-1,p-gTSS,0.00033,657,6,583429,583434,TSS_244
244,586476,-1,p-gTSS,0.00056,32,6,586483,586488,TSS_245
245,588095,-1,p-gTSS,0.00038,185,6,588102,588107,TSS_246
246,589097,-1,p-gTSS,2.9e-05,721,6,589104,589109,TSS_247
247,592373,-1,p-gTSS,2.6e-06,1215,7,592381,592386,TSS_248
248,595724,-1,p-gTSS,0.00022,303,7,595732,595737,TSS_249
249,596662,-1,p-gTSS,5.1e-05,2397,6,596669,596674,TSS_250
250,596850,-1,p-gTSS,,146,6,596857,596862,TSS_251
251,598934,-1,p-gTSS,0.00033,24,6,598941,598946,TSS_252
252,604474,-1,p-gTSS,1.6e-05,588,6,604481,604486,TSS_253
253,605432,-1,p-gTSS,0.00022,1574,6,605439,605444,TSS_254
254,610328,-1,p-gTSS,0.00063,55,7,610336,610341,TSS_255
255,611028,-1,p-gTSS,4.3e-05,1370,6,611035,611040,TSS_256
256,612850,-1,p-gTSS,0.00029,467,7,612858,612863,TSS_257
257,616369,-1,p-gTSS,,4145,7,616377,616382,TSS_258
258,616381,-1,p-gTSS,0.011,11,7,616389,616394,TSS_259
259,618534,-1,p-gTSS,7.3e-05,15,6,618541,618546,TSS_260
260,621653,-1,p-gTSS,0.0051,53,6,621660,621665,TSS_261
261,625607,-1,p-gTSS,0.0047,2370,6,625614,625619,TSS_262
262,632521,-1,p-gTSS,1.2e-06,111,4,632526,632531,TSS_263
263,635319,-1,p-gTSS,0.0008,277,6,635326,635331,TSS_264
264,637359,-1,p-gTSS,8.6e-05,279,6,637366,637371,TSS_265
265,638305,-1,p-gTSS,0.00012,324,6,638312,638317,TSS_266
266,638384,1,p-gTSS,0.00014,655,6,638372,638377,TSS_267
267,639826,-1,p-gTSS,8.6e-05,66,6,639833,639838,TSS_268
268,643455,-1,p-gTSS,0.0011,266,7,643463,643468,TSS_269
269,649415,-1,p-gTSS,2e-07,212,6,649422,649427,TSS_270
270,653002,-1,p-gTSS,6.7e-06,274,6,653009,653014,TSS_271
271,657057,-1,p-gTSS,0.0029,89,6,657064,657069,TSS_272
272,657410,-1,p-gTSS,0.00071,13409,6,657417,657422,TSS_273
273,661448,-1,p-gTSS,0.0001,87,6,661455,661460,TSS_274
274,661554,1,p-gTSS,2.4e-05,36,7,661541,661546,TSS_275
275,662218,1,p-gTSS,8.6e-05,23,6,662206,662211,TSS_276
276,668955,-1,p-gTSS,0.0017,1161,6,668962,668967,TSS_277
277,669058,1,p-gTSS,0.00014,478,6,669046,669051,TSS_278
278,670617,-1,p-gTSS,3.5e-05,369,6,670624,670629,TSS_279
279,670665,1,p-gTSS,8.6e-05,251,6,670653,670658,TSS_280
280,670680,1,p-gTSS,0.015,18,8,670666,670671,TSS_281
281,672833,-1,p-gTSS,8.6e-05,188822,7,672841,672846,TSS_282
282,672834,-1,p-gTSS,,133,6,672841,672846,TSS_283
283,673966,-1,p-gTSS,2.4e-05,15111,7,673974,673979,TSS_284
284,676174,-1,p-gTSS,0.0015,854,7,676182,676187,TSS_285
285,685876,-1,p-gTSS,0.00038,155,7,685884,685889,TSS_286
286,685950,1,p-gTSS,0.00089,381,6,685938,685943,TSS_287
287,689904,-1,p-gTSS,1.6e-05,31,6,689911,689916,TSS_288
288,689927,1,p-gTSS,0.0001,764,6,689915,689920,TSS_289
289,691900,-1,p-gTSS,,626,6,691907,691912,TSS_290
290,692650,-1,p-gTSS,0.00025,2778,6,692657,692662,TSS_291
291,695181,-1,p-gTSS,,3704,7,695189,695194,TSS_292
292,704176,-1,p-gTSS,0.00071,133,6,704183,704188,TSS_293
293,704287,1,p-gTSS,0.0017,28,6,704275,704280,TSS_294
294,706579,-1,p-gTSS,0.00049,68,6,706586,706591,TSS_295
295,709215,-1,p-gTSS,0.0051,233,6,709222,709227,TSS_296
296,711664,-1,p-gTSS,3.5e-05,23,6,711671,711676,TSS_297
297,713421,-1,p-gTSS,6.1e-05,2493,7,713429,713434,TSS_298
298,713601,-1,p-gTSS,0.00029,56,6,713608,713613,TSS_299
299,713792,1,p-gTSS,0.00043,469,6,713780,713785,TSS_300
300,715845,-1,p-gTSS,0.00063,39,6,715852,715857,TSS_301
301,716210,-1,p-gTSS,9e-07,229,6,716217,716222,TSS_302
302,718959,-1,p-gTSS,2.4e-05,292,7,718967,718972,TSS_303
303,719030,1,p-gTSS,5.1e-05,114,6,719018,719023,TSS_304
304,721419,-1,p-gTSS,0.00089,519,6,721426,721431,TSS_305
305,723854,-1,p-gTSS,0.0017,700,6,723861,723866,TSS_306
306,724676,-1,p-gTSS,5.1e-05,364,6,724683,724688,TSS_307
307,727368,-1,p-gTSS,0.00056,23,6,727375,727380,TSS_308
308,727870,-1,p-gTSS,0.00089,113,6,727877,727882,TSS_309
309,729201,-1,p-gTSS,0.00022,88,6,729208,729213,TSS_310
310,732358,-1,p-gTSS,2.4e-05,502,6,732365,732370,TSS_311
311,735279,-1,p-gTSS,4.3e-05,12,4,735284,735289,TSS_312
312,736285,-1,p-gTSS,1.1e-05,1823,6,736292,736297,TSS_313
313,744447,-1,p-gTSS,0.00016,161,5,744453,744458,TSS_314
314,744848,-1,p-gTSS,2.4e-05,6737,6,744855,744860,TSS_315
315,746252,1,p-gTSS,1.2e-06,110,6,746240,746245,TSS_316
316,750628,-1,p-gTSS,1.5e-06,5262,6,750635,750640,TSS_317
317,752250,-1,p-gTSS,0.00012,347,7,752258,752263,TSS_318
318,752320,1,p-gTSS,0.0024,53,6,752308,752313,TSS_319
319,757679,-1,p-gTSS,0.00038,53,6,757686,757691,TSS_320
320,760838,-1,p-gTSS,7.3e-05,920,6,760845,760850,TSS_321
321,760889,1,p-gTSS,0.002,26,6,760877,760882,TSS_322
322,760978,1,p-gTSS,0.009,718,6,760966,760971,TSS_323
323,763642,-1,p-gTSS,0.00033,118,7,763650,763655,TSS_324
324,765037,-1,p-gTSS,0.0012,85,6,765044,765049,TSS_325
325,766603,-1,p-gTSS,4.3e-05,117,7,766611,766616,TSS_326
326,769348,-1,p-gTSS,7.3e-05,16,6,769355,769360,TSS_327
327,771681,-1,p-gTSS,0.0034,32,7,771689,771694,TSS_328
328,772493,-1,p-gTSS,8.5e-06,130,6,772500,772505,TSS_329
329,778286,-1,p-gTSS,3.5e-05,277,4,778291,778296,TSS_330
330,779705,-1,p-gTSS,0.00071,198,3,779709,779714,TSS_331
331,781655,-1,p-gTSS,0.00022,244,6,781662,781667,TSS_332
332,783743,-1,p-gTSS,8.6e-05,1944,6,783750,783755,TSS_333
333,789575,-1,p-gTSS,0.00012,93,4,789580,789585,TSS_334
334,790245,-1,p-gTSS,0.00056,1433,6,790252,790257,TSS_335
335,791106,-1,p-gTSS,0.00043,147,6,791113,791118,TSS_336
336,792957,-1,p-gTSS,0.00022,917,6,792964,792969,TSS_337
0,3389,-1,p-iTSS,0.0069,64,6,3396,3401,TSS_338
1,11037,-1,a-iTSS,0.0069,14,6,11044,11049,TSS_339
2,18051,1,p-iTSS,0.0018,54,6,18039,18044,TSS_340
3,32967,1,p-iTSS,0.0017,15,6,32955,32960,TSS_341
4,33629,-1,a-iTSS,0.0051,22,7,33637,33642,TSS_342
5,37145,1,p-iTSS,0.0079,12,6,37133,37138,TSS_343
6,38616,-1,a-iTSS,0.011,37,7,38624,38629,TSS_344
7,43054,1,a-iTSS,0.0073,39,6,43042,43047,TSS_345
8,47212,1,p-iTSS,0.0014,12,6,47200,47205,TSS_346
9,82589,1,p-iTSS,0.0069,25,6,82577,82582,TSS_347
10,84936,1,p-iTSS,0.0073,12,6,84924,84929,TSS_348
11,88317,1,p-iTSS,0.01,13,6,88305,88310,TSS_349
12,94990,1,p-iTSS,0.0084,23,4,94980,94985,TSS_350
13,121656,-1,a-iTSS,0.0008,15,6,121663,121668,TSS_351
14,126187,-1,a-iTSS,0.0018,34,6,126194,126199,TSS_352
15,127771,-1,a-iTSS,0.0014,12,6,127778,127783,TSS_353
16,142322,1,p-iTSS,0.0008,20,6,142310,142315,TSS_354
17,144989,1,p-iTSS,0.011,42,8,144975,144980,TSS_355
18,151216,-1,a-iTSS,0.0051,58,7,151224,151229,TSS_356
19,156193,1,p-iTSS,7.3e-05,352,4,156183,156188,TSS_357
20,159233,1,p-iTSS,0.0024,746,6,159221,159226,TSS_358
21,183384,1,p-iTSS,0.0014,30,6,183372,183377,TSS_359
22,189820,1,p-iTSS,0.0014,99,6,189808,189813,TSS_360
23,190425,1,p-iTSS,0.011,12,6,190413,190418,TSS_361
24,196863,-1,a-iTSS,0.014,32,7,196871,196876,TSS_362
25,200239,1,p-iTSS,0.015,97,6,200227,200232,TSS_363
26,212096,1,p-iTSS,0.0027,14,6,212084,212089,TSS_364
27,215519,1,p-iTSS,0.0022,797,6,215507,215512,TSS_365
28,216587,-1,p-iTSS,0.0027,118,6,216594,216599,TSS_366
29,217152,1,p-iTSS,0.012,11,12,217134,217139,TSS_367
30,227692,1,p-iTSS,0.00012,1338,6,227680,227685,TSS_368
31,234224,1,p-iTSS,0.0084,71,7,234211,234216,TSS_369
32,236803,1,p-iTSS,0.009,29,6,236791,236796,TSS_370
33,238518,-1,a-iTSS,0.0059,20,7,238526,238531,TSS_371
34,240372,-1,p-iTSS,0.0051,39,7,240380,240385,TSS_372
35,240450,1,a-iTSS,0.0029,39,6,240438,240443,TSS_373
36,246075,1,p-iTSS,0.0015,93,6,246063,246068,TSS_374
37,252519,1,p-iTSS,0.0059,27,7,252506,252511,TSS_375
38,253140,1,p-iTSS,0.00025,16,6,253128,253133,TSS_376
39,263450,1,p-iTSS,0.0037,32,6,263438,263443,TSS_377
40,284096,-1,a-iTSS,0.0014,21,6,284103,284108,TSS_378
41,297999,-1,a-iTSS,0.0017,76,6,298006,298011,TSS_379
42,301443,1,p-iTSS,0.0024,23,7,301430,301435,TSS_380
43,301517,1,p-iTSS,0.0029,41,6,301505,301510,TSS_381
44,314814,-1,a-iTSS,0.00033,31,6,314821,314826,TSS_382
45,324878,1,p-iTSS,0.00019,109,7,324865,324870,TSS_383
46,330746,-1,a-iTSS,0.0079,31,7,330754,330759,TSS_384
47,341946,-1,a-iTSS,0.0069,145,7,341954,341959,TSS_385
