,left,right,name,strand,gene_names,tss,tss_type,locus_tag,box_10_left,box_10_right,terminator_left,terminator_right
73,157778,162288,TU_074,1,peg.142;peg.143;peg.144;peg.145;peg.146;peg.147;peg.148;peg.149;peg.150,157778,gTSS,TU_074,157766.0,157771.0,162229.0,162288.0
74,159233,162288,TU_075,1,peg.145;peg.146;peg.147;peg.148;peg.149;peg.150,159233,p-iTSS,TU_075,159221.0,159226.0,162229.0,162288.0
75,162316,166446,TU_076,1,peg.151;peg.152;peg.153;peg.154,162316,gTSS,TU_076,162304.0,162309.0,166387.0,166446.0
76,166461,173384,TU_077,1,peg.155;peg.156,166461,gTSS,TU_077,166450.0,166455.0,173328.0,173384.0
77,173336,175874,TU_078,-1,peg.157,175874,gTSS,TU_078,175881.0,175886.0,173336.0,173386.0
78,175942,181467,TU_079,1,peg.158,175942,gTSS,TU_079,175929.0,175934.0,181401.0,181467.0
79,181518,186749,TU_080,1,peg.159;peg.160;peg.161;peg.162,181518,gTSS,TU_080,181506.0,181511.0,186688.0,186749.0
80,183384,186749,TU_081,1,peg.160;peg.161;peg.162,183384,p-iTSS,TU_081,183372.0,183377.0,186688.0,186749.0
81,186704,187212,TU_082,-1,peg.163,187212,gTSS,TU_082,187220.0,187225.0,186704.0,186761.0
82,187239,188214,TU_083,-1,peg.164,188214,gTSS,TU_083,188221.0,188226.0,187239.0,187302.0
83,187239,188236,TU_084,-1,peg.164,188236,gTSS,TU_084,188243.0,188248.0,187239.0,187302.0
84,188246,190854,TU_085,1,peg.165;peg.166,188246,gTSS,TU_085,188234.0,188239.0,190799.0,190854.0
85,188260,190854,TU_086,1,peg.165;peg.166,188260,gTSS,TU_086,188247.0,188252.0,190799.0,190854.0
86,189820,190854,TU_087,1,peg.166,189820,p-iTSS,TU_087,189808.0,189813.0,190799.0,190854.0
87,190922,191346,TU_088,1,rna.2;rna.3;rna.4;rna.5,190922,gTSS,TU_088,190909.0,190914.0,191300.0,191346.0
88,191405,191630,TU_089,1,rna.6;rna.7,191405,gTSS,TU_089,191392.0,191397.0,191569.0,191630.0
89,191719,196706,TU_090,1,rna.8;rna.9;rna.10,191719,gTSS,TU_090,191706.0,191711.0,196656.0,196706.0
90,196745,199441,TU_091,1,peg.167;peg.168,196745,gTSS,TU_091,196732.0,196737.0,199354.0,199441.0
91,198412,199441,TU_092,1,peg.168,198412,gTSS,TU_092,198401.0,198406.0,199354.0,199441.0
92,199447,202722,TU_093,1,peg.169;peg.170;peg.171;peg.172,199447,gTSS,TU_093,199435.0,199440.0,202663.0,202722.0
93,200239,202722,TU_094,1,peg.170;peg.171;peg.172,200239,p-iTSS,TU_094,200227.0,200232.0,202663.0,202722.0
94,200969,202722,TU_095,1,peg.171;peg.172,200969,gTSS,TU_095,200957.0,200962.0,202663.0,202722.0
95,202782,205316,TU_096,1,peg.173;peg.174,202782,gTSS,TU_096,202770.0,202775.0,205246.0,205316.0
96,203809,205316,TU_097,1,peg.174,203809,gTSS,TU_097,203796.0,203801.0,205246.0,205316.0
97,205272,205793,TU_098,-1,peg.175,205793,gTSS,TU_098,205800.0,205805.0,205272.0,205329.0
98,205848,208401,TU_099,1,peg.176;peg.177,205848,gTSS,TU_099,205835.0,205840.0,208343.0,208401.0
99,208041,208401,TU_100,1,peg.177,208041,gTSS,TU_100,208029.0,208034.0,208343.0,208401.0
100,208494,212353,TU_101,1,peg.178;peg.179;peg.180,208494,gTSS,TU_101,208482.0,208487.0,212287.0,212353.0
101,212393,215896,TU_102,1,peg.181;peg.182;peg.183;peg.184,212393,gTSS,TU_102,212380.0,212385.0,215844.0,215896.0
102,215519,215896,TU_103,1,peg.184,215519,p-iTSS,TU_103,215507.0,215512.0,215844.0,215896.0
103,215851,216968,TU_104,-1,peg.185,216968,gTSS,TU_104,216975.0,216980.0,215851.0,215905.0
104,217078,217747,TU_105,1,peg.186,217078,gTSS,TU_105,217066.0,217071.0,217684.0,217747.0
105,217626,219291,TU_106,1,peg.187;peg.188;peg.189;peg.190,217626,gTSS,TU_106,217614.0,217619.0,219236.0,219291.0
106,219290,220349,TU_107,-1,peg.191,220349,gTSS,TU_107,220357.0,220362.0,219290.0,219339.0
107,219290,220389,TU_108,-1,peg.191,220389,gTSS,TU_108,220396.0,220401.0,219290.0,219339.0
108,220401,223999,TU_109,1,peg.192;peg.193;peg.194;peg.195,220401,gTSS,TU_109,220389.0,220394.0,223946.0,223999.0
109,221245,223999,TU_110,1,peg.193;peg.194;peg.195,221245,gTSS,TU_110,221231.0,221236.0,223946.0,223999.0
110,224034,228068,TU_111,1,peg.196;peg.197;peg.198;peg.199;peg.200,224034,gTSS,TU_111,224022.0,224027.0,228011.0,228068.0
111,227692,228068,TU_112,1,peg.200,227692,p-iTSS,TU_112,227680.0,227685.0,228011.0,228068.0
112,228085,228745,TU_113,1,peg.201,228085,gTSS,TU_113,228072.0,228077.0,228696.0,228745.0
113,229193,233166,TU_114,1,peg.203;peg.204;peg.205;peg.206,229193,gTSS,TU_114,229182.0,229187.0,233113.0,233166.0
114,229610,233166,TU_115,1,peg.204;peg.205;peg.206,229610,gTSS,TU_115,229597.0,229602.0,233113.0,233166.0
115,231591,233166,TU_116,1,peg.206,231591,gTSS,TU_116,231579.0,231584.0,233113.0,233166.0
116,233186,237596,TU_117,1,peg.207;peg.208;peg.209;peg.210;peg.211,233186,gTSS,TU_117,233174.0,233179.0,237521.0,237596.0
117,234224,237596,TU_118,1,peg.208;peg.209;peg.210;peg.211,234224,p-iTSS,TU_118,234211.0,234216.0,237521.0,237596.0
118,236803,237596,TU_119,1,peg.210;peg.211,236803,p-iTSS,TU_119,236791.0,236796.0,237521.0,237596.0
119,237614,240079,TU_120,1,peg.212;peg.213,237614,gTSS,TU_120,237601.0,237606.0,240022.0,240079.0
120,240030,241096,TU_121,-1,peg.214,241096,gTSS,TU_121,241103.0,241108.0,240030.0,240095.0
121,242841,244986,TU_122,1,peg.216;peg.217,242841,gTSS,TU_122,242829.0,242834.0,244928.0,244986.0
122,246075,250529,TU_123,1,peg.219;peg.220;peg.221;peg.222;peg.223,246075,p-iTSS,TU_123,246063.0,246068.0,250479.0,250529.0
123,246352,250529,TU_124,1,peg.219;peg.220;peg.221;peg.222;peg.223,246352,gTSS,TU_124,246340.0,246345.0,250479.0,250529.0
124,250484,250963,TU_125,-1,peg.224,250963,gTSS,TU_125,250968.0,250973.0,250484.0,250530.0
125,251005,251137,TU_126,-1,rna.11,251137,gTSS,TU_126,251144.0,251149.0,251005.0,251058.0
126,251175,251975,TU_127,1,peg.225,251175,gTSS,TU_127,251163.0,251168.0,251909.0,251975.0
127,251926,252210,TU_128,-1,peg.226,252210,gTSS,TU_128,252217.0,252222.0,251926.0,251987.0
128,252307,254351,TU_129,1,peg.227;peg.228,252307,gTSS,TU_129,252295.0,252300.0,254305.0,254351.0
129,252519,254351,TU_130,1,peg.228,252519,p-iTSS,TU_130,252506.0,252511.0,254305.0,254351.0
130,254358,256111,TU_131,1,peg.229;peg.230,254358,gTSS,TU_131,254348.0,254353.0,256045.0,256111.0
131,256184,259243,TU_132,1,peg.231,256184,gTSS,TU_132,256172.0,256177.0,259182.0,259243.0
132,259325,264248,TU_133,1,peg.232;peg.233;peg.234;peg.235,259325,gTSS,TU_133,259313.0,259318.0,264189.0,264248.0
133,263450,264248,TU_134,1,peg.235,263450,p-iTSS,TU_134,263438.0,263443.0,264189.0,264248.0
134,264270,266505,TU_135,1,peg.236;peg.237;peg.238,264270,gTSS,TU_135,264257.0,264262.0,266450.0,266505.0
135,266535,267733,TU_136,1,peg.239,266535,gTSS,TU_136,266522.0,266527.0,267670.0,267733.0
136,267743,269702,TU_137,1,peg.240,267743,gTSS,TU_137,267730.0,267735.0,269652.0,269702.0
137,269720,272755,TU_138,1,peg.241;peg.242;peg.243,269720,gTSS,TU_138,269707.0,269712.0,272707.0,272755.0
138,271726,272755,TU_139,1,peg.243,271726,gTSS,TU_139,271713.0,271718.0,272707.0,272755.0
139,272766,278174,TU_140,-1,peg.244;peg.245;peg.246,278174,gTSS,TU_140,278181.0,278186.0,272766.0,272825.0
140,278243,280668,TU_141,1,peg.247;peg.248;peg.249,278243,gTSS,TU_141,278231.0,278236.0,280619.0,280668.0
141,279951,280668,TU_142,1,peg.249,279951,gTSS,TU_142,279939.0,279944.0,280619.0,280668.0
142,280708,282192,TU_143,1,peg.250;peg.251,280708,gTSS,TU_143,280695.0,280700.0,282139.0,282192.0
143,281131,282192,TU_144,1,peg.251,281131,gTSS,TU_144,281119.0,281124.0,282139.0,282192.0
144,282218,282816,TU_145,1,peg.252,282218,gTSS,TU_145,282206.0,282211.0,282744.0,282816.0
145,282835,284218,TU_146,1,peg.253,282835,gTSS,TU_146,282822.0,282827.0,284153.0,284218.0
146,284237,285957,TU_147,1,peg.254;peg.255,284237,gTSS,TU_147,284224.0,284229.0,285914.0,285957.0
147,286004,288837,TU_148,1,peg.256;peg.257;peg.258,286004,gTSS,TU_148,285991.0,285996.0,288771.0,288837.0
148,287352,288837,TU_149,1,peg.258,287352,gTSS,TU_149,287340.0,287345.0,288771.0,288837.0
149,288892,296599,TU_150,1,peg.259;peg.260,288892,gTSS,TU_150,288881.0,288886.0,296523.0,296599.0
150,296612,302409,TU_151,1,peg.261;peg.262,296612,gTSS,TU_151,296601.0,296606.0,302344.0,302409.0
151,301443,302409,TU_152,1,peg.262,301443,p-iTSS,TU_152,301430.0,301435.0,302344.0,302409.0
152,301517,302409,TU_153,1,peg.262,301517,p-iTSS,TU_153,301505.0,301510.0,302344.0,302409.0
153,304227,306525,TU_154,1,peg.264;peg.265;peg.266,304227,gTSS,TU_154,304215.0,304220.0,306469.0,306525.0
154,306476,314096,TU_155,1,peg.267;peg.268;peg.269;peg.270;peg.271;peg.272,306476,gTSS,TU_155,306463.0,306468.0,314031.0,314096.0
155,314116,315721,TU_156,1,peg.273,314116,gTSS,TU_156,314103.0,314108.0,315666.0,315721.0
156,315698,320334,TU_157,1,peg.274;peg.275,315698,gTSS,TU_157,315685.0,315690.0,320279.0,320334.0
157,320315,320962,TU_158,1,peg.276,320315,gTSS,TU_158,320303.0,320308.0,320916.0,320962.0
158,320965,323310,TU_159,1,peg.277,320965,gTSS,TU_159,320956.0,320961.0,323264.0,323310.0
159,323967,324851,TU_160,1,peg.279;peg.280,323967,gTSS,TU_160,323954.0,323959.0,324799.0,324851.0
160,324878,326850,TU_161,1,peg.281;peg.282;peg.283;rna.12,324878,p-iTSS,TU_161,324865.0,324870.0,326801.0,326850.0
161,326310,326850,TU_162,1,peg.283;rna.12,326310,gTSS,TU_162,326298.0,326303.0,326801.0,326850.0
162,326865,336385,TU_163,1,peg.284;peg.285;peg.286;peg.287;peg.288;peg.289,326865,gTSS,TU_163,326852.0,326857.0,336296.0,336385.0
163,327649,336385,TU_164,1,peg.285;peg.286;peg.287;peg.288;peg.289,327649,gTSS,TU_164,327637.0,327642.0,336296.0,336385.0
164,336337,348780,TU_165,1,peg.290;peg.291;peg.292;peg.293;peg.294;peg.295;peg.296;peg.297;peg.298;peg.299;peg.300;peg.301;peg.302,336337,gTSS,TU_165,336325.0,336330.0,348706.0,348780.0
165,344821,348780,TU_166,1,peg.298;peg.299;peg.300;peg.301;peg.302,344821,gTSS,TU_166,344808.0,344813.0,348706.0,348780.0
166,348827,353443,TU_167,1,peg.303;peg.304;peg.305,348827,gTSS,TU_167,348815.0,348820.0,353376.0,353443.0
167,350231,353443,TU_168,1,peg.304;peg.305,350231,gTSS,TU_168,350222.0,350227.0,353376.0,353443.0
168,353383,354786,TU_169,-1,peg.306,354786,gTSS,TU_169,354793.0,354798.0,353383.0,353437.0
169,353383,354807,TU_170,-1,peg.306,354807,gTSS,TU_170,354814.0,354819.0,353383.0,353437.0
170,354689,361566,TU_171,1,peg.307;peg.308;peg.309;peg.310,354689,a-iTSS,TU_171,354676.0,354681.0,361505.0,361566.0
171,354811,361566,TU_172,1,peg.307;peg.308;peg.309;peg.310,354811,gTSS,TU_172,354797.0,354802.0,361505.0,361566.0
172,354831,361566,TU_173,1,peg.307;peg.308;peg.309;peg.310,354831,gTSS,TU_173,354818.0,354823.0,361505.0,361566.0
173,365677,369499,TU_174,1,peg.313;peg.314,365677,gTSS,TU_174,365668.0,365673.0,369442.0,369499.0
174,368415,369499,TU_175,1,peg.314,368415,gTSS,TU_175,368404.0,368409.0,369442.0,369499.0
175,369542,375179,TU_176,1,peg.315;peg.316;peg.317,369542,gTSS,TU_176,369530.0,369535.0,375107.0,375179.0
176,370284,375179,TU_177,1,peg.316;peg.317,370284,gTSS,TU_177,370272.0,370277.0,375107.0,375179.0
177,372481,375179,TU_178,1,peg.317,372481,p-iTSS,TU_178,372468.0,372473.0,375107.0,375179.0
178,375129,375734,TU_179,-1,peg.318,375734,gTSS,TU_179,375741.0,375746.0,375129.0,375194.0
179,375799,377256,TU_180,1,peg.319;peg.320,375799,gTSS,TU_180,375789.0,375794.0,377195.0,377256.0
180,377279,380174,TU_181,1,peg.321;peg.322,377279,gTSS,TU_181,377267.0,377272.0,380131.0,380174.0
181,379280,380174,TU_182,1,peg.322,379280,p-iTSS,TU_182,379268.0,379273.0,380131.0,380174.0
182,380117,384445,TU_183,-1,peg.323;peg.324;peg.325,384445,gTSS,TU_183,384453.0,384458.0,380117.0,380191.0
183,386098,389895,TU_184,-1,peg.327;peg.328;peg.329;peg.330;peg.331,389895,gTSS,TU_184,389902.0,389907.0,386098.0,386152.0
184,386098,391652,TU_185,-1,peg.327;peg.328;peg.329;peg.330;peg.331;peg.332;peg.333,391652,gTSS,TU_185,391659.0,391664.0,386098.0,386152.0
185,391735,392814,TU_186,1,peg.334,391735,p-iTSS,TU_186,391721.0,391726.0,392745.0,392814.0
186,392765,393140,TU_187,-1,peg.335,393140,gTSS,TU_187,393148.0,393153.0,392765.0,392830.0
187,393192,394013,TU_188,1,peg.336,393192,gTSS,TU_188,393180.0,393185.0,393960.0,394013.0
188,393963,395923,TU_189,-1,peg.337;peg.338,395923,gTSS,TU_189,395930.0,395935.0,393963.0,394037.0
189,396592,396972,TU_190,1,peg.340,396592,gTSS,TU_190,396580.0,396585.0,396911.0,396972.0
190,397026,399879,TU_191,1,peg.341;peg.342,397026,gTSS,TU_191,397015.0,397020.0,399811.0,399879.0
191,399908,401248,TU_192,1,peg.343;peg.344;peg.345,399908,gTSS,TU_192,399896.0,399901.0,401176.0,401248.0
192,400583,401248,TU_193,1,peg.344;peg.345,400583,p-iTSS,TU_193,400571.0,400576.0,401176.0,401248.0
193,401204,404630,TU_194,-1,peg.346,404630,gTSS,TU_194,404637.0,404642.0,401204.0,401282.0
194,404773,405136,TU_195,-1,peg.347,405136,p-iTSS,TU_195,405143.0,405148.0,404773.0,404838.0
195,404773,407343,TU_196,-1,peg.347;peg.348;peg.349,407343,gTSS,TU_196,407350.0,407355.0,404773.0,404838.0
196,404773,409368,TU_197,-1,peg.347;peg.348;peg.349;peg.350;peg.351,409368,gTSS,TU_197,409375.0,409380.0,404773.0,404838.0
197,410152,412713,TU_198,-1,peg.353,412713,gTSS,TU_198,412718.0,412723.0,410152.0,410212.0
198,412750,415427,TU_199,-1,peg.354,415427,gTSS,TU_199,415434.0,415439.0,412750.0,412811.0
199,415483,420872,TU_200,-1,peg.355;peg.356;peg.357;peg.358;peg.359,420872,gTSS,TU_200,420880.0,420885.0,415483.0,415540.0
200,421625,422298,TU_201,-1,peg.361,422298,gTSS,TU_201,422305.0,422310.0,421625.0,421696.0
201,422347,422594,TU_202,-1,peg.362,422594,gTSS,TU_202,422601.0,422606.0,422347.0,422391.0
202,422638,423829,TU_203,-1,peg.363;peg.364,423829,gTSS,TU_203,423835.0,423840.0,422638.0,422715.0
203,423880,426915,TU_204,-1,peg.365;peg.366,426915,gTSS,TU_204,426922.0,426927.0,423880.0,423942.0
204,426961,428525,TU_205,-1,peg.367,428525,p-iTSS,TU_205,428532.0,428537.0,426961.0,427026.0
205,426961,429404,TU_206,-1,peg.367;peg.368,429404,gTSS,TU_206,429411.0,429416.0,426961.0,427026.0
206,429492,429828,TU_207,1,peg.369,429492,gTSS,TU_207,429479.0,429484.0,429764.0,429828.0
207,432316,432727,TU_208,-1,peg.372,432727,gTSS,TU_208,432734.0,432739.0,432316.0,432380.0
208,432316,435653,TU_209,-1,peg.372;peg.373;peg.374;peg.375;peg.376,435653,gTSS,TU_209,435661.0,435666.0,432316.0,432380.0
209,435659,436481,TU_210,1,peg.377,435659,gTSS,TU_210,435646.0,435651.0,436421.0,436481.0
210,436433,437585,TU_211,-1,peg.378,437585,gTSS,TU_211,437593.0,437598.0,436433.0,436476.0
211,437602,438804,TU_212,-1,peg.379,438804,gTSS,TU_212,438811.0,438816.0,437602.0,437665.0
212,438842,439970,TU_213,-1,peg.380,439970,gTSS,TU_213,439978.0,439983.0,438842.0,438887.0
213,439987,440200,TU_214,-1,peg.381,440200,gTSS-no-motif,TU_214,,,439987.0,440041.0
214,440308,441428,TU_215,1,peg.382,440308,gTSS,TU_215,440296.0,440301.0,441372.0,441428.0
215,441436,441941,TU_216,-1,rna.13;rna.14;rna.15;rna.16;rna.17,441941,gTSS,TU_216,441949.0,441954.0,441436.0,441488.0
216,442003,443196,TU_217,-1,peg.383,443196,p-iTSS,TU_217,443203.0,443208.0,442003.0,442048.0
217,442003,443980,TU_218,-1,peg.383;peg.384;peg.385,443980,gTSS,TU_218,443985.0,443990.0,442003.0,442048.0
218,443999,446015,TU_219,-1,peg.386;peg.387,446015,p-iTSS,TU_219,446023.0,446028.0,443999.0,444068.0
219,443999,447506,TU_220,-1,peg.386;peg.387;peg.388;peg.389,447506,p-iTSS,TU_220,447513.0,447518.0,443999.0,444068.0
220,443999,450485,TU_221,-1,peg.386;peg.387;peg.388;peg.389;peg.390,450485,gTSS,TU_221,450492.0,450497.0,443999.0,444068.0
221,443999,451502,TU_222,-1,peg.386;peg.387;peg.388;peg.389;peg.390;peg.391,451502,gTSS,TU_222,451509.0,451514.0,443999.0,444068.0
222,450243,451502,TU_223,-1,peg.391,451502,gTSS,TU_223,451509.0,451514.0,450243.0,450295.0
223,451534,453191,TU_224,-1,peg.392;peg.393,453191,p-iTSS,TU_224,453199.0,453204.0,451534.0,451586.0
224,451534,455902,TU_225,-1,peg.392;peg.393;peg.394;peg.395;peg.396,455902,gTSS,TU_225,455909.0,455914.0,451534.0,451586.0
225,455959,456317,TU_226,-1,peg.397,456317,p-iTSS,TU_226,456324.0,456329.0,455959.0,456017.0
226,455959,459400,TU_227,-1,peg.397;peg.398;peg.399,459400,p-iTSS,TU_227,459407.0,459412.0,455959.0,456017.0
227,455959,465051,TU_228,-1,peg.397;peg.398;peg.399;peg.400;peg.401;peg.402,465051,gTSS,TU_228,465058.0,465063.0,455959.0,456017.0
228,465069,470050,TU_229,-1,rna.18;rna.19;rna.20,470050,gTSS,TU_229,470057.0,470062.0,465069.0,465119.0
229,470108,472144,TU_230,-1,peg.403;peg.404,472144,gTSS,TU_230,472152.0,472157.0,470108.0,470154.0
230,472115,474546,TU_231,-1,peg.405,474546,gTSS,TU_231,474553.0,474558.0,472115.0,472185.0
