,PROMOTER_ID,PROMOTER_NAME,POS_1,SIGMA_FACTOR,PROMOTER_STRAND,BOX_10_LEFT,BOX_10_RIGHT,BOX_35_LEFT,BOX_35_RIGHT
156,PM8J2-476,ntdAp,1129653,sigma-A,reverse,,,,
157,PM8J2-3,ntdRp,1129634,,forward,,,,
158,PM8J2-1163,nupNp,3239660,,forward,,,,
159,PM8J2-640,opuA-P2,320952,sigma-A,forward,,,,
160,PM8J2-639,opuAp,320989,sigma-A,forward,,,,
161,PM8J2-638,opuBAp,3463319,sigma-A,reverse,3463327,3463332,3463350,3463355
162,PM8J2-637,opuE-P1,728431,sigma-A,reverse,,,,
163,PM8J2-447,opuE-P2,728444,sigma-B,reverse,,,,
164,PM8J2-1132,oxdCp,3410395,,forward,,,,
165,PM8J2-112,oxdDp,2038809,pro-&sigma;K,reverse,,,,
166,PM8J2-744,P2,,sigma-A,,,,,
167,PM8J2-743,P3,,sigma-A,,,,,
168,PM8J2-665,"PA,1",3663130,sigma-A,reverse,,,,
169,PM8J2-664,"PA,2",3663257,sigma-A,forward,,,,
170,PM8J2-1157,padCp,3533330,,reverse,,,,
171,PM8J2-1156,padRp,,,reverse,,,,
172,PM8J2-1135,pbuEp,626457,,reverse,,,,
173,PM8J2-1220,pchRp,,,forward,,,,
174,PM8J2-1241,pcpp,287435,,reverse,,,,
175,PM8J2-391,PD,3663109,sigma-D,reverse,,,,
176,PM8J2-1276,pdaCp,1281027,sigma-A,forward,,,,
177,PM8J2-1231,pftAp,2955673,,reverse,,,,
178,PM8J2-353,phoB-Ps,621604,sigma-E,reverse,,,,
179,PM8J2-626,phoB-Pv,621522,sigma-A,reverse,,,,
180,PM8J2-625,phoP-P1; phoP-PA4,,sigma-A,,,,,
181,PM8J2-624,phoP-P2; phoP-A3,,sigma-A,,,,,
182,PM8J2-623,phoP-P5,,,,,,,
183,PM8J2-622,phoP-PA6,,sigma-A,,,,,
184,PM8J2-446,phoP-PB1,2978545,sigma-B,reverse,,,,
185,PM8J2-352,phoP-PE2,2978560,sigma-E,reverse,,,,
186,PM8J2-180,phrC-P2,,sigma-H,,,,,
187,PM8J2-621,phrE-P1,,sigma-A,,,,,
188,PM8J2-179,phrE-P2,,sigma-H,,,,,
189,PM8J2-178,phrE-P3,,sigma-H,,,,,
190,PM8J2-1183,phrHp,,sigma-A,forward,,,,
191,PM8J2-620,phrI-P1,,sigma-A,,,,,
192,PM8J2-175,phrI-P2,,sigma-H,,,,,
193,PM8J2-1203,pksCp,,,forward,,,,
194,PM8J2-1,PM8J2-1,626591,sigma-A,forward,,,,
195,PM8J2-100,PM8J2-100,878974,sigma-L,forward,,,,
196,PM8J2-1001,PM8J2-1001,,,reverse,,,,
197,PM8J2-1002,PM8J2-1002,,,forward,,,,
198,PM8J2-1003,PM8J2-1003,,,reverse,,,,
199,PM8J2-1004,PM8J2-1004,,,forward,,,,
200,PM8J2-1005,PM8J2-1005,,,forward,,,,
201,PM8J2-1006,PM8J2-1006,,,reverse,,,,
202,PM8J2-1007,PM8J2-1007,,,forward,,,,
203,PM8J2-1008,PM8J2-1008,,,,,,,
204,PM8J2-101,PM8J2-101,,pro-&sigma;K,forward,,,,
205,PM8J2-1011,PM8J2-1011,,,forward,,,,
206,PM8J2-1012,PM8J2-1012,,,reverse,,,,
207,PM8J2-1013,PM8J2-1013,,,,,,,
208,PM8J2-1014,PM8J2-1014,,,forward,,,,
209,PM8J2-1016,PM8J2-1016,,,forward,,,,
210,PM8J2-1017,PM8J2-1017,,,reverse,,,,
211,PM8J2-1018,PM8J2-1018,,,forward,,,,
212,PM8J2-1019,PM8J2-1019,,,reverse,,,,
213,PM8J2-102,PM8J2-102,,pro-&sigma;K,reverse,,,,
214,PM8J2-1020,PM8J2-1020,,,forward,,,,
215,PM8J2-1021,PM8J2-1021,,,reverse,,,,
216,PM8J2-1022,PM8J2-1022,,,reverse,,,,
217,PM8J2-1023,PM8J2-1023,,,reverse,,,,
218,PM8J2-1024,PM8J2-1024,,,forward,,,,
219,PM8J2-1025,PM8J2-1025,,,forward,,,,
220,PM8J2-1026,PM8J2-1026,,,forward,,,,
221,PM8J2-1027,PM8J2-1027,,,reverse,,,,
222,PM8J2-1028,PM8J2-1028,,,reverse,,,,
223,PM8J2-1029,PM8J2-1029,,,forward,,,,
224,PM8J2-103,PM8J2-103,3132322,pro-&sigma;K,forward,,,,
225,PM8J2-1030,PM8J2-1030,,,forward,,,,
226,PM8J2-1031,PM8J2-1031,,,forward,,,,
227,PM8J2-1032,PM8J2-1032,,,reverse,,,,
228,PM8J2-1033,PM8J2-1033,,,reverse,,,,
229,PM8J2-1034,PM8J2-1034,,,reverse,,,,
230,PM8J2-1035,PM8J2-1035,,,reverse,,,,
231,PM8J2-1036,PM8J2-1036,,,,,,,
232,PM8J2-1037,PM8J2-1037,,,forward,,,,
233,PM8J2-1038,PM8J2-1038,,,reverse,,,,
234,PM8J2-1039,PM8J2-1039,,,,,,,
235,PM8J2-104,PM8J2-104,,pro-&sigma;K,forward,,,,
236,PM8J2-1040,PM8J2-1040,,,reverse,,,,
237,PM8J2-1041,PM8J2-1041,,,forward,,,,
238,PM8J2-1042,PM8J2-1042,,,reverse,,,,
239,PM8J2-1043,PM8J2-1043,,sigma-A,,,,,
240,PM8J2-1044,PM8J2-1044,,,forward,,,,
241,PM8J2-1045,PM8J2-1045,,,,,,,
242,PM8J2-1046,PM8J2-1046,,,forward,,,,
243,PM8J2-1048,PM8J2-1048,,,reverse,,,,
244,PM8J2-1049,PM8J2-1049,,,reverse,,,,
245,PM8J2-105,PM8J2-105,,pro-&sigma;K,forward,,,,
246,PM8J2-1050,PM8J2-1050,,sigma-A,,,,,
247,PM8J2-1051,PM8J2-1051,,sigma-A,,,,,
248,PM8J2-1052,PM8J2-1052,,sigma-A,,,,,
249,PM8J2-1053,PM8J2-1053,,,forward,,,,
250,PM8J2-1054,PM8J2-1054,,,forward,,,,
251,PM8J2-1055,PM8J2-1055,,,forward,,,,
252,PM8J2-1056,PM8J2-1056,,,reverse,,,,
253,PM8J2-1057,PM8J2-1057,,sigma-A,,,,,
254,PM8J2-1058,PM8J2-1058,,,,,,,
255,PM8J2-1059,PM8J2-1059,,,,,,,
256,PM8J2-106,PM8J2-106,2897762,pro-&sigma;K,forward,,,,
257,PM8J2-1060,PM8J2-1060,,,reverse,,,,
258,PM8J2-1061,PM8J2-1061,,,,,,,
259,PM8J2-1062,PM8J2-1062,,,,,,,
260,PM8J2-1063,PM8J2-1063,,sigma-A,,,,,
261,PM8J2-1064,PM8J2-1064,,sigma-A,,,,,
262,PM8J2-1065,PM8J2-1065,,sigma-A,,,,,
263,PM8J2-1066,PM8J2-1066,,sigma-A,,,,,
264,PM8J2-1067,PM8J2-1067,,,,,,,
265,PM8J2-1068,PM8J2-1068,,,forward,,,,
266,PM8J2-1069,PM8J2-1069,,sigma-A,reverse,,,,
267,PM8J2-107,PM8J2-107,2715523,pro-&sigma;K,reverse,,,,
268,PM8J2-1070,PM8J2-1070,,sigma-A,reverse,,,,
269,PM8J2-1071,PM8J2-1071,,,forward,,,,
270,PM8J2-1073,PM8J2-1073,,,reverse,,,,
271,PM8J2-1074,PM8J2-1074,,,,,,,
272,PM8J2-1075,PM8J2-1075,,,,,,,
273,PM8J2-1076,PM8J2-1076,2079095,,forward,,,,
274,PM8J2-108,PM8J2-108,,pro-&sigma;K,forward,,,,
275,PM8J2-109,PM8J2-109,2337558,pro-&sigma;K,forward,,,,
276,PM8J2-110,PM8J2-110,,pro-&sigma;K,forward,,,,
277,PM8J2-111,PM8J2-111,2084196,pro-&sigma;K,forward,,,,
278,PM8J2-113,PM8J2-113,1959597,pro-&sigma;K,reverse,,,,
279,PM8J2-114,PM8J2-114,1915124,pro-&sigma;K,forward,1915112,1915119,1915091,1915095
280,PM8J2-115,PM8J2-115,,pro-&sigma;K,reverse,,,,
281,PM8J2-116,PM8J2-116,1567621,pro-&sigma;K,forward,,,,
282,PM8J2-117,PM8J2-117,,pro-&sigma;K,forward,,,,
283,PM8J2-118,PM8J2-118,,pro-&sigma;K,reverse,,,,
284,PM8J2-119,PM8J2-119,,pro-&sigma;K,,,,,
285,PM8J2-12,PM8J2-12,1424721,sigma-A,reverse,,,,
286,PM8J2-122,PM8J2-122,1172620,pro-&sigma;K,forward,,,,
287,PM8J2-123,PM8J2-123,1172512,pro-&sigma;K,reverse,,,,
288,PM8J2-124,PM8J2-124,1136171,pro-&sigma;K,reverse,,,,
289,PM8J2-125,PM8J2-125,989673,pro-&sigma;K,forward,,,,
290,PM8J2-126,PM8J2-126,798360,pro-&sigma;K,forward,,,,
291,PM8J2-127,PM8J2-127,,pro-&sigma;K,,,,,
292,PM8J2-13,PM8J2-13,1425607,sigma-A,forward,,,,
293,PM8J2-130,PM8J2-130,,pro-&sigma;K,,,,,
294,PM8J2-131,PM8J2-131,51571,pro-&sigma;K,forward,,,,
295,PM8J2-132,PM8J2-132,,pro-&sigma;K,forward,,,,
296,PM8J2-133,PM8J2-133,3354043,pro-&sigma;K,forward,,,,
297,PM8J2-136,PM8J2-136,1744314,pro-&sigma;K,forward,,,,
298,PM8J2-137,PM8J2-137,2652954,pro-&sigma;K,forward,,,,
299,PM8J2-138,PM8J2-138,,pro-&sigma;K,reverse,,,,
300,PM8J2-139,PM8J2-139,2905013,pro-&sigma;K,reverse,,,,
301,PM8J2-14,PM8J2-14,1425576,sigma-A,reverse,,,,
302,PM8J2-141,PM8J2-141,2649669,pro-&sigma;K,reverse,,,,
303,PM8J2-142,PM8J2-142,1873592,pro-&sigma;K,reverse,,,,
304,PM8J2-143,PM8J2-143,1250543,pro-&sigma;K,reverse,,,,
305,PM8J2-145,PM8J2-145,1252041,pro-&sigma;K,reverse,,,,
306,PM8J2-146,PM8J2-146,,pro-&sigma;K,reverse,,,,
307,PM8J2-147,PM8J2-147,3161930,pro-&sigma;K,reverse,,,,
308,PM8J2-148,PM8J2-148,,pro-&sigma;K,reverse,,,,
309,PM8J2-149,PM8J2-149,,pro-&sigma;K,forward,,,,
310,PM8J2-15,PM8J2-15,1541862,,forward,,,,
311,PM8J2-152,PM8J2-152,3717196,pro-&sigma;K,reverse,,,,
312,PM8J2-153,PM8J2-153,3717191,pro-&sigma;K,forward,,,,
313,PM8J2-154,PM8J2-154,4167082,pro-&sigma;K,forward,,,,
314,PM8J2-156,PM8J2-156,2333042,pro-&sigma;K,reverse,,,,
315,PM8J2-157,PM8J2-157,1905221,pro-&sigma;K,reverse,,,,
316,PM8J2-158,PM8J2-158,3715921,pro-&sigma;K,reverse,,,,
317,PM8J2-159,PM8J2-159,685038,pro-&sigma;K,reverse,,,,
318,PM8J2-16,PM8J2-16,3802245,sigma-A,reverse,,,,
319,PM8J2-160,PM8J2-160,2148498,pro-&sigma;K,reverse,,,,
320,PM8J2-161,PM8J2-161,2148646,pro-&sigma;K,forward,,,,
321,PM8J2-163,PM8J2-163,,sigma-H,forward,,,,
322,PM8J2-166,PM8J2-166,,sigma-H,reverse,,,,
323,PM8J2-168,PM8J2-168,,sigma-H,forward,,,,
324,PM8J2-17,PM8J2-17,258492,sigma-Y,forward,,,,
325,PM8J2-170,PM8J2-170,,sigma-H,,,,,
326,PM8J2-171,PM8J2-171,,sigma-H,reverse,,,,
327,PM8J2-174,PM8J2-174,,sigma-H,,,,,
328,PM8J2-176,PM8J2-176,,sigma-H,,,,,
329,PM8J2-177,PM8J2-177,,sigma-H,,,,,
330,PM8J2-18,PM8J2-18,3970879,sigma-Y,reverse,,,,
331,PM8J2-181,PM8J2-181,,sigma-H,,,,,
332,PM8J2-19,PM8J2-19,3758522,sigma-X,forward,,,,
333,PM8J2-190,PM8J2-190,,sigma-G,forward,,,,
334,PM8J2-191,PM8J2-191,3849791,sigma-G,forward,,,,
335,PM8J2-192,PM8J2-192,3623840,sigma-G,reverse,,,,
336,PM8J2-193,PM8J2-193,,sigma-G,,,,,
337,PM8J2-194,PM8J2-194,,sigma-G,reverse,,,,
338,PM8J2-195,PM8J2-195,,sigma-G,reverse,,,,
339,PM8J2-196,PM8J2-196,,sigma-G,reverse,,,,
340,PM8J2-197,PM8J2-197,,sigma-G,forward,,,,
341,PM8J2-198,PM8J2-198,,sigma-G,forward,,,,
342,PM8J2-199,PM8J2-199,,sigma-G,reverse,,,,
343,PM8J2-2,PM8J2-2,3112114,sigma-A,reverse,,,,
344,PM8J2-20,PM8J2-20,3759627,sigma-X,reverse,,,,
345,PM8J2-200,PM8J2-200,,sigma-G,forward,,,,
346,PM8J2-201,PM8J2-201,2594229,sigma-G,reverse,,,,
347,PM8J2-202,PM8J2-202,,sigma-G,forward,,,,
348,PM8J2-203,PM8J2-203,2028815,sigma-G,forward,,,,
349,PM8J2-204,PM8J2-204,,sigma-G,reverse,,,,
350,PM8J2-205,PM8J2-205,1907351,sigma-G,forward,,,,
351,PM8J2-206,PM8J2-206,,sigma-G,reverse,,,,
352,PM8J2-207,PM8J2-207,,sigma-G,,,,,
353,PM8J2-208,PM8J2-208,,sigma-G,reverse,,,,
354,PM8J2-209,PM8J2-209,,sigma-G,forward,,,,
355,PM8J2-21,PM8J2-21,,sigma-X,,,,,
356,PM8J2-210,PM8J2-210,,sigma-G,forward,,,,
357,PM8J2-211,PM8J2-211,,sigma-G,reverse,,,,
358,PM8J2-212,PM8J2-212,988998,sigma-G,forward,,,,
359,PM8J2-213,PM8J2-213,,sigma-G,,,,,
360,PM8J2-214,PM8J2-214,,sigma-G,forward,,,,
361,PM8J2-215,PM8J2-215,600956,sigma-G,forward,,,,
362,PM8J2-216,PM8J2-216,,sigma-G,reverse,,,,
363,PM8J2-217,PM8J2-217,,sigma-G,forward,,,,
364,PM8J2-218,PM8J2-218,156089,sigma-G,forward,,,,
365,PM8J2-219,PM8J2-219,1926464,sigma-G,reverse,,,,
366,PM8J2-22,PM8J2-22,2778506,sigma-X,reverse,,,,
367,PM8J2-220,PM8J2-220,1930250,sigma-G,forward,,,,
368,PM8J2-221,PM8J2-221,2339656,sigma-G,forward,,,,
369,PM8J2-222,PM8J2-222,2310846,sigma-G,forward,,,,
370,PM8J2-223,PM8J2-223,928317,sigma-G,reverse,,,,
371,PM8J2-224,PM8J2-224,3421634,sigma-G,reverse,,,,
372,PM8J2-227,PM8J2-227,,sigma-G,,,,,
373,PM8J2-228,PM8J2-228,53122,sigma-G,forward,,,,
374,PM8J2-23,PM8J2-23,,sigma-X,forward,,,,
375,PM8J2-230,PM8J2-230,1414033,sigma-G,reverse,,,,
376,PM8J2-231,PM8J2-231,2156199,sigma-G,forward,,,,
377,PM8J2-232,PM8J2-232,1050350,sigma-G,reverse,,,,
378,PM8J2-233,PM8J2-233,3025671,sigma-G,reverse,,,,
379,PM8J2-234,PM8J2-234,64016,sigma-G,forward,,,,
380,PM8J2-235,PM8J2-235,,sigma-G,,,,,
381,PM8J2-236,PM8J2-236,2520438,sigma-G,reverse,,,,
382,PM8J2-239,PM8J2-239,2400103,sigma-G,reverse,,,,
383,PM8J2-240,PM8J2-240,,sigma-G,,,,,
384,PM8J2-241,PM8J2-241,,sigma-G,forward,,,,
385,PM8J2-242,PM8J2-242,2635635,sigma-G,reverse,,,,
386,PM8J2-246,PM8J2-246,3688776,sigma-G,forward,,,,
387,PM8J2-248,PM8J2-248,,sigma-G,reverse,,,,
388,PM8J2-249,PM8J2-249,2446288,sigma-G,reverse,,,,
389,PM8J2-25,PM8J2-25,2415228,sigma-X,reverse,,,,
390,PM8J2-250,PM8J2-250,,sigma-G,forward,,,,
391,PM8J2-251,PM8J2-251,,sigma-G,,,,,
392,PM8J2-252,PM8J2-252,4204832,sigma-F,forward,,,,
393,PM8J2-253,PM8J2-253,,sigma-F,,,,,
394,PM8J2-254,PM8J2-254,3849791,sigma-F,forward,,,,
395,PM8J2-255,PM8J2-255,,sigma-F,reverse,,,,
396,PM8J2-256,PM8J2-256,3135540,sigma-F,reverse,,,,
397,PM8J2-257,PM8J2-257,,sigma-F,reverse,,,,
398,PM8J2-258,PM8J2-258,,sigma-F,reverse,,,,
399,PM8J2-259,PM8J2-259,,sigma-F,forward,,,,
400,PM8J2-26,PM8J2-26,3744304,sigma-X,forward,,,,
401,PM8J2-260,PM8J2-260,,sigma-F,forward,,,,
402,PM8J2-261,PM8J2-261,,sigma-F,reverse,,,,
403,PM8J2-262,PM8J2-262,1565755,sigma-F,forward,,,,
404,PM8J2-263,PM8J2-263,,sigma-F,reverse,,,,
405,PM8J2-264,PM8J2-264,,sigma-F,reverse,,,,
406,PM8J2-265,PM8J2-265,988998,sigma-F,forward,,,,
407,PM8J2-266,PM8J2-266,,sigma-F,reverse,,,,
408,PM8J2-267,PM8J2-267,,sigma-F,,,,,
409,PM8J2-268,PM8J2-268,1930249,sigma-F,forward,,,,
410,PM8J2-269,PM8J2-269,2520438,sigma-F,reverse,,,,
411,PM8J2-270,PM8J2-270,3795383,sigma-F,reverse,,,,
412,PM8J2-272,PM8J2-272,,sigma-F,,,,,
413,PM8J2-273,PM8J2-273,,sigma-F,forward,,,,
414,PM8J2-274,PM8J2-274,2884676,sigma-F,reverse,,,,
415,PM8J2-275,PM8J2-275,3964974,sigma-F,forward,,,,
416,PM8J2-276,PM8J2-276,2635635,sigma-F,reverse,,,,
417,PM8J2-278,PM8J2-278,2446288,sigma-F,reverse,,,,
418,PM8J2-279,PM8J2-279,,sigma-F,,,,,
419,PM8J2-28,PM8J2-28,,sigma-X,forward,,,,
420,PM8J2-280,PM8J2-280,,sigma-F,forward,,,,
