TF,helt_avg,mgw_avg,prot_avg,roll_avg,orch_avg
FadR,"[34.69799999999999, 33.37199999999999, 34.538999999999994, 33.897, 33.915, 34.634499999999996, 33.730000000000004, 34.438, 34.450500000000005, 33.776500000000006, 35.4055, 34.174499999999995, 33.84750000000001, 34.1345, 34.028, 34.3465, 35.0925, 34.95600000000001, 34.36749999999999]","[4.994, 4.857, 5.064499999999999, 5.2255, 4.979, 4.9704999999999995, 5.161499999999999, 5.397500000000001, 5.272, 4.9855, 4.754499999999999, 4.7465, 5.126500000000001, 5.251999999999999, 4.957, 4.950000000000001, 5.1825, 5.245500000000001, 4.883500000000001]","[-5.777000000000001, -5.4765, -5.096, -5.392499999999999, -5.7275, -6.621000000000001, -7.479, -6.353000000000001, -5.594499999999999, -6.601500000000001, -7.48, -6.296500000000001, -6.6165, -7.0625, -7.0965, -8.3425, -8.075500000000002, -9.5175, -8.0685]","[-0.25449999999999995, -1.1515, -1.2770000000000001, -1.1930000000000003, -0.28300000000000014, 0.40149999999999997, -2.151, 0.3185000000000001, -0.3980000000000001, -0.2930000000000001, -1.7445000000000002, -2.0704999999999996, 0.3455, -0.558, -0.07000000000000016, -1.0494999999999999, -1.7145000000000001, -1.1780000000000002, 0.3565000000000001]","[0.2817815000000001, 0.43448749999999997, 0.6387872499999999, 0.5036935, 0.38095625, 0.29741900000000004, 0.3837562500000001, 0.5067379999999999, 0.41930625, 0.36795, 0.2741814999999999, 0.47630000000000006, 0.35976274999999996, 0.31595, 0.33155, 0.147875, 0.41586825, 0.14819375, 0.27949375]"
FlhDC,"[34.51550000000001, 34.462500000000006, 34.804500000000004, 34.532999999999994, 34.908, 34.517, 33.699000000000005, 34.9455, 34.032999999999994, 34.701499999999996, 34.48750000000001, 34.9975, 33.3135, 35.0465, 34.1885, 34.991, 35.181, 34.612500000000004]","[5.138000000000001, 5.0390000000000015, 4.871499999999999, 5.016000000000002, 4.964500000000001, 4.9365000000000006, 4.88, 5.1274999999999995, 5.337000000000001, 5.180999999999998, 4.797000000000001, 4.842999999999999, 5.1075, 5.046, 5.018000000000001, 5.0520000000000005, 4.971500000000001, 4.922500000000001]","[-7.103, -7.4815, -8.533, -8.3, -8.080499999999999, -7.236500000000001, -6.8015, -5.303999999999999, -6.4510000000000005, -7.210000000000002, -7.8469999999999995, -7.902, -7.999499999999999, -7.6659999999999995, -7.7639999999999985, -7.576, -8.06, -8.579500000000001]","[-1.3795, -1.9100000000000001, 0.3374999999999999, -1.974, -0.056499999999999884, -0.6169999999999999, -1.6635, -1.221, 0.1389999999999999, -0.13199999999999995, -2.1515, -0.29000000000000015, -1.4109999999999998, 0.3729999999999999, -0.532, -1.4005, -1.5245, -1.2045000000000001]","[0.48206875000000005, 0.2195, 0.40250024999999984, 0.29114375000000003, 0.36946824999999994, 0.15801875, 0.17340625, 0.35819375000000003, 0.2007375, 0.20780650000000003, 0.24234975, 0.3102122500000001, 0.0017625000000000054, 0.4509437499999999, 0.18858749999999996, 0.38429375, 0.398931, 0.238475]"
Fnr,"[34.83336363636363, 35.137636363636375, 34.00463636363636, 35.45654545454546, 33.646, 35.09527272727274, 34.256000000000014, 34.88845454545454, 33.95563636363637, 35.301272727272725, 34.064, 35.16154545454546, 34.57863636363636]","[5.063636363636361, 5.372545454545454, 5.148181818181822, 4.883545454545455, 4.933363636363634, 5.188909090909091, 5.293545454545454, 5.115272727272725, 4.919454545454542, 4.87518181818182, 5.217727272727273, 5.420727272727274, 5.121909090909088]","[-10.333909090909081, -8.654999999999994, -7.61581818181818, -8.25790909090909, -8.556545454545455, -8.547909090909096, -8.527545454545455, -8.85581818181818, -9.203999999999999, -9.055727272727273, -7.952727272727272, -8.421636363636367, -9.390363636363636]","[1.1825454545454557, -1.5602727272727277, 0.4407272727272727, -0.6759999999999997, -1.964818181818181, 0.8248181818181816, -0.637818181818182, 0.7228181818181817, -1.779818181818182, -0.46945454545454535, 0.4318181818181816, -0.961090909090909, 0.4793636363636364]","[0.06802613636363634, 0.24826818181818186, 0.22395690909090904, 0.2100420909090907, 0.10127731818181816, 0.2919976363636363, 0.06090227272727273, 0.33309981818181816, 0.10840118181818183, 0.22393072727272711, 0.2615454545454546, 0.2799215454545455, 0.16511254545454543]"
Fur,"[34.27118181818182, 35.061454545454545, 34.41709090909091, 34.6008181818182, 35.0140909090909, 34.232909090909075, 34.459545454545456, 35.022909090909096, 34.3890909090909, 34.55763636363637, 35.12427272727271, 34.337636363636356, 34.69781818181817, 35.05972727272727, 34.300363636363635, 34.764181818181825, 34.969636363636354, 34.418545454545445, 34.45609090909093, 34.920545454545454, 34.322363636363654]","[4.985727272727275, 4.907090909090908, 4.962454545454544, 4.9911818181818175, 5.039636363636364, 5.085818181818181, 5.013727272727273, 4.9279090909090915, 4.9466363636363635, 5.022727272727272, 4.955818181818181, 4.928727272727272, 4.95490909090909, 4.99981818181818, 4.956181818181818, 5.016909090909087, 4.996818181818182, 4.979909090909094, 5.093181818181817, 5.173818181818181, 5.0377272727272695]","[-9.853818181818184, -9.731727272727277, -8.572909090909091, -8.419363636363636, -8.76436363636364, -9.128909090909087, -9.729999999999999, -9.278181818181826, -8.810818181818181, -8.614000000000004, -9.437090909090918, -9.71181818181818, -9.713272727272722, -9.141909090909094, -8.95309090909091, -8.961909090909094, -9.675636363636368, -9.622, -9.184181818181813, -8.151545454545452, -7.9910909090909055]","[-0.7263636363636368, 0.10581818181818173, -1.9334545454545455, -0.37990909090909086, -0.2933636363636363, -1.1664545454545454, -0.40927272727272734, -0.7180909090909092, -0.8819090909090913, -0.9751818181818185, 0.22754545454545455, -1.2196363636363636, -1.646727272727272, -0.26363636363636367, -0.3049090909090909, -1.7455454545454547, 0.33263636363636356, -0.7760909090909092, -0.798090909090909, -0.3439090909090908, -0.2976363636363637]","[0.14175568181818182, 0.20287495454545454, 0.18340109090909087, 0.1765750454545455, 0.1271636363636363, 0.10269886363636362, 0.17541709090909086, 0.17615909090909102, 0.19355909090909096, 0.14021477272727279, 0.11634318181818183, 0.139908, 0.12813636363636366, 0.14546590909090903, 0.2311704545454545, 0.13586027272727272, 0.16540450000000004, 0.19013640909090912, 0.10476140909090911, 0.2518351363636363, 0.2517977272727272]"
GcvA,"[35.556000000000004, 34.134, 34.337, 35.138000000000005, 34.635000000000005, 36.326, 34.703, 36.02700000000001, 36.208999999999996, 35.319, 36.02100000000001, 32.339, 34.266000000000005, 35.53, 32.912, 35.423, 34.716]","[4.6899999999999995, 5.308999999999999, 5.535, 5.257, 4.784999999999999, 4.390000000000001, 4.34, 4.382, 4.655, 4.562, 4.883000000000001, 5.655000000000001, 5.405000000000001, 4.782000000000001, 4.532, 5.126999999999999, 5.212]","[-10.526, -9.562, -8.888000000000002, -8.831, -10.728, -12.448999999999998, -12.581, -13.685000000000002, -12.632, -9.957, -5.4, -7.629999999999999, -10.489999999999997, -10.487, -10.158999999999999, -7.010999999999999, -6.1]","[-1.6460000000000004, 0.21600000000000025, 0.06899999999999995, 1.662, -2.8880000000000003, -0.07200000000000017, -4.825, -0.7100000000000004, -1.319, -3.106, -0.94, -2.327, 4.511, -1.139, -4.708, 2.5889999999999995, -1.8399999999999999]","[0.24835000000000002, 0.0863875, -0.2109625, 0.20378700000000002, -0.1630375, -0.06932500000000003, -0.21837499999999999, -0.15475, -0.11228749999999998, 0.1167875, 0.2986, -0.051925, 0.07424999999999998, 0.49666200000000005, 0.1692995, 0.194675, 0.4385374999999999]"
GlpR,"[34.534347826086965, 34.70869565217391, 34.36782608695652, 34.81434782608696, 34.50521739130435, 34.88999999999999, 34.3804347826087, 34.850434782608694, 34.68304347826086, 34.94913043478262, 35.18782608695652, 34.973913043478255, 34.55826086956522, 34.904782608695655, 34.719130434782606, 34.56782608695652, 34.10130434782609, 35.06434782608696, 34.47652173913044, 35.28173913043479, 35.14130434782609]","[4.85, 4.97086956521739, 5.009130434782608, 5.021304347826087, 5.150434782608696, 5.284782608695651, 5.187391304347826, 5.03391304347826, 4.917826086956521, 4.8478260869565215, 4.810869565217391, 4.758260869565217, 5.025652173913044, 5.339999999999999, 5.314347826086956, 5.11391304347826, 4.955217391304347, 4.66391304347826, 4.582608695652173, 4.6573913043478266, 4.967826086956521]","[-9.45391304347826, -9.066956521739131, -8.119565217391306, -7.020869565217393, -6.850434782608696, -6.418260869565216, -7.1356521739130425, -8.145652173913044, -8.95478260869565, -9.959565217391305, -10.605652173913041, -10.388695652173913, -8.483043478260868, -6.99913043478261, -6.534782608695654, -7.563043478260871, -8.129999999999999, -9.05913043478261, -10.162173913043478, -11.029565217391305, -9.726956521739131]","[-1.033913043478261, -0.2465217391304348, -0.5399999999999998, -0.32347826086956516, -0.5030434782608696, -0.3917391304347825, -0.29347826086956524, -0.7769565217391303, -0.1965217391304347, -1.6704347826086958, -0.8121739130434783, -1.318695652173913, -1.1734782608695649, 0.4156521739130435, -0.26826086956521733, -0.23521739130434788, -0.48826086956521736, -0.7030434782608698, -1.6565217391304348, -1.8660869565217393, -1.1282608695652177]","[0.276445652173913, 0.33535869565217397, 0.28432065217391306, 0.44973913043478264, 0.3900763043478261, 0.4477828260869565, 0.4360004347826087, 0.1870108695652174, 0.1505217391304348, 0.07268478260869564, 0.020836956521739135, 0.2486519565217391, 0.2649134782608696, 0.4280491304347826, 0.4340378260869565, 0.43283130434782613, 0.33090195652173904, 0.22488043478260863, 0.21530978260869565, 0.15044565217391298, 0.13350543478260873]"
GntR,"[34.729473684210525, 34.39105263157895, 34.98842105263158, 34.29315789473685, 35.121052631578955, 35.10368421052631, 34.461578947368416, 34.45894736842106, 34.30421052631579, 34.03263157894737, 33.45263157894737, 34.43052631578948, 33.71894736842106, 34.80894736842106, 35.28052631578948, 34.56157894736842, 35.19894736842105, 33.99368421052631, 35.04842105263158, 35.006315789473675, 35.14]","[5.319999999999999, 5.134210526315789, 4.83578947368421, 4.436842105263158, 4.793684210526316, 5.3568421052631585, 5.544736842105262, 5.086315789473683, 4.955789473684211, 5.126315789473684, 5.277368421052631, 5.364736842105264, 5.618421052631578, 5.481052631578948, 5.022631578947369, 4.734210526315789, 4.7163157894736845, 4.782105263157893, 4.876315789473684, 5.123684210526316, 5.017368421052631]","[-7.883684210526317, -9.22578947368421, -8.942631578947369, -9.195263157894738, -10.15, -10.502105263157896, -9.15157894736842, -7.231578947368421, -5.4926315789473685, -4.847894736842105, -6.220000000000001, -8.129473684210527, -8.799473684210525, -9.613157894736844, -9.611052631578948, -9.427368421052632, -9.955263157894736, -9.393157894736841, -9.305263157894736, -9.235263157894739, -9.755263157894735]","[-0.5121052631578947, -0.30263157894736864, 1.1921052631578948, -2.6589473684210514, -1.0899999999999999, 1.3510526315789473, -2.258947368421053, 1.073157894736842, -1.714736842105263, 1.487368421052632, -0.5268421052631577, 2.248421052631579, -1.7110526315789472, 0.9352631578947368, 1.0815789473684212, -2.978421052631578, -0.09157894736842122, -1.3842105263157893, 0.2121052631578949, -1.9342105263157896, 0.37526315789473685]","[0.4729547368421053, 0.3230723684210527, 0.4107631578947369, 0.2444278947368421, 0.35860605263157896, 0.2290855263157895, 0.07930921052631577, 0.3726118421052631, 0.3531447368421053, 0.45696052631578943, 0.28786184210526317, 0.504815, 0.10142078947368419, 0.11040789473684212, 0.29379605263157893, 0.19559868421052634, 0.2903094736842105, 0.16046052631578944, 0.09833552631578948, 0.057427631578947355, 0.3121578947368421]"
TyrR,"[34.478636363636355, 34.36590909090909, 34.69954545454545, 34.91136363636364, 34.919090909090905, 35.762727272727275, 35.13545454545455, 34.73136363636364, 34.55090909090909, 35.23772727272727, 34.61409090909091, 35.602727272727286, 34.665000000000006, 35.00227272727273, 34.15454545454545, 34.1940909090909, 34.12681818181818, 34.63, 33.82454545454545, 34.915]","[5.323181818181817, 5.369545454545454, 5.357727272727273, 5.1472727272727266, 4.791363636363636, 4.322272727272726, 4.651818181818181, 5.1104545454545445, 5.2304545454545455, 4.852727272727273, 4.405909090909091, 4.505909090909091, 4.994545454545455, 5.372272727272727, 5.497727272727274, 5.330454545454545, 5.254090909090908, 5.112727272727272, 5.148181818181818, 5.201363636363636]","[-8.013636363636364, -8.11090909090909, -8.264090909090909, -10.196363636363637, -11.060000000000002, -11.162727272727274, -10.334545454545454, -10.082727272727274, -8.41090909090909, -8.621818181818185, -9.252727272727274, -10.13, -10.742727272727274, -9.207272727272729, -8.783636363636363, -8.007272727272728, -7.026363636363636, -6.688636363636365, -6.309090909090909, -7.385454545454545]","[-1.718181818181818, 0.6395454545454546, -0.23454545454545433, -0.06227272727272727, -0.8640909090909088, -2.5804545454545456, -2.4522727272727276, 0.5013636363636362, -0.1381818181818178, -0.6813636363636362, -2.4486363636363646, -2.5981818181818177, -1.0827272727272728, 2.231363636363637, -1.4372727272727273, 1.31, -0.8677272727272727, -0.40454545454545465, 1.1277272727272727, -1.8054545454545454]","[0.41868795454545465, 0.4242159090909091, 0.002767045454545451, 0.1345340909090909, -0.0825625, 0.11209659090909091, 0.15549431818181816, 0.04385227272727274, 0.1055281818181818, 0.21726159090909086, 0.11690909090909088, 0.3121306818181818, 0.009221818181818175, 0.2556534090909091, 0.03423295454545453, 0.2840565909090909, 0.3481193181818181, 0.5008802272727274, 0.4171704545454544, 0.38937499999999997]"
Lrp,"[34.18072463768115, 34.58072463768116, 34.60557971014492, 34.62478260869567, 35.08028985507244, 35.11543478260871, 34.831811594202925, 34.98318840579712, 34.41123188405795, 34.83826086956521, 35.118043478260866, 33.808768115942044]","[5.167391304347822, 5.031594202898553, 4.91326086956522, 4.946449275362317, 4.835797101449276, 4.805072463768112, 4.85550724637681, 4.942246376811591, 4.952246376811593, 4.876086956521738, 4.897608695652172, 5.029710144927537]","[-7.310652173913045, -7.0520289855072456, -8.065000000000001, -8.661159420289854, -9.496231884057966, -9.430507246376813, -9.869275362318845, -9.299202898550723, -8.957826086956521, -8.67985507246377, -8.644420289855068, -7.657536231884056]","[-0.806739130434783, -1.01963768115942, -0.7500724637681162, -1.2213768115942032, -1.2073913043478257, -1.3925362318840575, -1.3112318840579715, 0.29434782608695703, -1.9215942028985498, -0.7452898550724638, -1.189565217391304, -0.8510144927536238]","[0.22732521739130448, 0.36745123188405787, 0.30444112318840594, 0.19037134057971025, 0.2910976449275361, 0.17185967391304363, 0.1501394202898551, 0.10912409420289856, 0.08962047101449279, 0.20392923913043476, 0.08118836956521738, 0.16257148550724643]"
MalT,"[33.18200000000001, 34.607, 34.46, 32.85900000000001, 35.2235, 34.05100000000001, 33.143499999999996, 34.5995]","[5.025, 4.9715, 4.933999999999999, 5.048, 4.9515, 4.9265, 4.9135, 4.938]","[-4.008, -4.7585, -4.8325, -4.8580000000000005, -5.885499999999999, -4.554, -4.7425, -4.2465]","[-1.9770000000000005, -0.7145, -1.2165000000000001, -1.3575000000000004, -1.0905, -0.7935000000000001, -2.5695, -0.5770000000000001]","[0.35545, 0.37051225000000004, 0.35459374999999993, 0.38445000000000007, 0.16760000000000003, 0.45573125000000014, 0.3220125, 0.3373125]"
MetJ,"[34.78806451612904, 33.94516129032258, 34.85, 34.506774193548395, 34.208387096774196, 34.59290322580645, 34.26806451612903, 34.41, 34.535806451612906, 34.13225806451613, 34.263548387096776, 34.54709677419356, 34.397741935483864, 34.43322580645161, 34.045483870967736, 34.717741935483865, 34.8841935483871, 34.409354838709675]","[5.008709677419355, 4.9874193548387105, 5.040967741935483, 5.0354838709677425, 5.0848387096774195, 5.052580645161291, 5.07709677419355, 5.0777419354838695, 4.997096774193549, 5.015483870967744, 5.064838709677421, 5.1903225806451605, 5.240645161290322, 5.161290322580645, 5.052903225806452, 5.018387096774192, 5.091612903225807, 5.033225806451614]","[-8.325483870967743, -8.000967741935483, -8.440322580645159, -7.875161290322579, -7.881935483870967, -6.732580645161289, -6.990967741935484, -7.236774193548387, -6.64774193548387, -6.711290322580646, -7.5699999999999985, -7.469677419354838, -7.670322580645162, -7.642903225806452, -7.711935483870968, -8.62967741935484, -8.692580645161291, -8.575483870967743]","[-0.224193548387097, -0.9658064516129032, -0.1941935483870968, -1.5548387096774194, -0.7874193548387097, 0.2541935483870967, -1.2632258064516129, -0.09516129032258062, -0.5993548387096775, -0.893548387096774, -0.4629032258064518, -0.4216129032258065, 0.10870967741935483, -0.1080645161290322, -1.1451612903225807, 0.6477419354838709, -0.5100000000000002, -1.4532258064516126]","[0.2746651612903226, 0.24561290322580642, 0.10609677419354838, 0.30532677419354837, 0.2682820967741935, 0.34053258064516123, 0.48833435483870974, 0.41008806451612906, 0.40910467741935475, 0.4076046774193548, 0.209886935483871, 0.3781291935483871, 0.2935038709677419, 0.23684677419354844, 0.31408854838709677, 0.2881008064516129, 0.33389919354838715, 0.3198627419354839]"
Nac,"[34.25000000000001, 33.94149999999999, 35.13099999999999, 33.95100000000001, 34.523, 35.10850000000001, 34.907000000000004, 35.636499999999984, 33.665, 34.655, 34.3765, 34.10999999999999, 34.877, 34.64949999999999, 34.56450000000001, 35.648500000000006]","[5.2265000000000015, 5.079000000000001, 5.054500000000002, 5.2200000000000015, 5.2405, 5.042999999999999, 4.635999999999999, 4.738499999999999, 5.068500000000002, 5.203500000000001, 5.045, 4.980499999999999, 4.909999999999999, 4.692499999999999, 4.7059999999999995, 4.8745]","[-8.337500000000002, -8.413499999999997, -8.029000000000002, -7.6514999999999995, -7.669, -8.499500000000001, -10.2275, -10.011, -9.331000000000001, -8.796999999999999, -7.4609999999999985, -8.114, -7.820499999999999, -9.0065, -9.561000000000002, -9.645499999999998]","[2.225, -2.2664999999999993, 1.6420000000000003, -2.4050000000000002, -0.12000000000000022, 0.8950000000000002, -2.18, -0.9264999999999998, -2.4690000000000003, 2.5395, -1.9475, -0.9564999999999999, -1.6020000000000003, -0.8285000000000002, -1.4995000000000005, -1.6324999999999998]","[0.27099999999999996, 0.2432125, 0.43194999999999995, 0.12556875000000003, 0.07699375, 0.26045625, 0.01592500000000003, 0.27078125, 0.00979375, 0.09315000000000002, 0.011050000000000003, 0.19718124999999997, 0.15843749999999998, 0.23363749999999997, 0.040237499999999995, 0.27354375]"
NagC,"[34.48633333333332, 34.82066666666668, 34.67233333333333, 35.222333333333346, 34.933000000000014, 35.80500000000001, 35.214000000000006, 35.18066666666666, 34.045, 34.184000000000005, 34.56666666666667, 34.415, 34.303666666666665, 33.965666666666664, 35.241, 34.718333333333334, 35.79366666666667, 35.47366666666667, 35.587333333333326, 35.01433333333333, 35.463666666666676, 34.24766666666667, 35.542333333333346, 35.09233333333333]","[4.684333333333333, 5.191999999999999, 5.338666666666668, 4.711666666666667, 3.9853333333333327, 4.439666666666665, 5.188666666666667, 5.3646666666666665, 5.1516666666666655, 5.085666666666666, 5.177333333333332, 5.277666666666667, 5.221, 5.344666666666666, 5.415, 5.123, 4.419999999999999, 3.8199999999999994, 4.276, 4.966666666666668, 5.010333333333333, 4.658000000000001, 4.675000000000002, 4.742666666666667]","[-8.380666666666665, -9.359333333333334, -9.882000000000001, -10.893666666666666, -12.389999999999999, -12.248999999999999, -10.014333333333331, -7.612666666666665, -7.596333333333332, -7.84633333333333, -7.427999999999998, -7.611999999999997, -7.320666666666666, -6.901333333333333, -7.452666666666664, -9.057, -11.891666666666664, -12.674666666666667, -12.340333333333326, -11.175000000000002, -10.404000000000002, -9.576666666666668, -8.786666666666667, -8.624999999999998]","[-2.3166666666666664, 2.2350000000000003, -3.0439999999999996, 0.2766666666666668, -3.292333333333333, -2.815333333333333, 0.09733333333333312, -0.7170000000000001, 1.6989999999999996, -1.9790000000000003, 0.47699999999999987, 0.9279999999999999, -1.6393333333333335, 2.845666666666667, -0.8076666666666668, -0.06633333333333341, -2.778, -3.783333333333333, -1.368, -2.531, 0.652, -3.338666666666666, -0.4579999999999995, -1.6903333333333335]","[0.15807083333333333, 0.18653333333333333, -0.06493333333333336, 0.07571650000000002, -0.1874208333333333, -0.1336458333333333, 0.03376249999999999, 0.18665833333333334, 0.37785416666666666, 0.3223875, 0.4418749999999999, 0.44377916666666667, 0.30502916666666663, 0.4139041666666666, 0.2144583333333334, 0.1542625, -0.035458333333333335, -0.1559000000000001, 0.007829166666666682, -0.0798958333333333, 0.2435, 0.0848416666666667, 0.40117899999999984, 0.08137083333333332]"
NarL,"[34.672782608695655, 34.46973913043478, 34.925652173913036, 34.39895652173912, 34.170521739130436, 34.27495652173912, 34.208521739130454, 34.45217391304349, 34.13556521739133, 34.56608695652175, 33.90313043478261, 34.38660869565218, 34.743652173913055, 34.59104347826088, 34.70956521739132, 34.425043478260896]","[4.878434782608695, 4.874869565217391, 4.790782608695654, 5.013391304347823, 5.347478260869562, 5.352086956521738, 4.975391304347828, 4.793739130434782, 4.975391304347824, 5.2063478260869545, 5.251217391304344, 5.00504347826087, 4.88086956521739, 4.8762608695652165, 4.868347826086954, 4.985304347826088]","[-8.195304347826085, -8.635913043478261, -8.963304347826085, -8.657043478260869, -8.559391304347827, -7.475652173913042, -6.478521739130436, -6.8288695652173965, -7.1314782608695655, -8.042782608695651, -8.453739130434785, -8.626782608695649, -8.974608695652172, -8.039391304347827, -7.472347826086955, -7.849217391304352]","[-0.9143478260869563, -1.5252173913043485, -1.1810434782608699, -1.3997391304347826, 0.1597391304347825, 0.6618260869565217, -1.2626086956521736, -1.3639130434782611, -0.9800869565217387, -0.02921739130434784, -0.18495652173913063, -0.3719130434782608, -1.3345217391304358, -1.4541739130434779, -0.19382608695652173, -1.766086956521738]","[0.1748163043478261, 0.2050652608695652, 0.20337934782608694, 0.30252400000000007, 0.11624782608695651, 0.2682131304347826, 0.33221739130434785, 0.22673052173913052, 0.3247717391304348, 0.24326295652173913, 0.1253304347826087, 0.2780065652173913, 0.2234250434782609, 0.18018913043478274, 0.2935456521739131, 0.23372726086956516]"
NtrC,"[34.40880952380951, 34.245476190476204, 35.588333333333324, 34.14714285714286, 34.43738095238095, 34.06809523809525, 34.7957142857143, 34.08547619047619, 35.415, 35.13023809523807, 33.58785714285715, 34.091666666666676, 34.30333333333335, 34.552142857142854, 33.98499999999999, 35.72523809523809, 34.02380952380954, 34.25357142857143, 35.13999999999998]","[5.081666666666669, 5.142380952380952, 5.317619047619049, 5.32309523809524, 5.198333333333335, 5.177380952380951, 5.097619047619047, 4.798333333333334, 4.6342857142857135, 4.9959523809523825, 5.359523809523811, 5.183095238095236, 5.002380952380953, 5.405714285714283, 5.61452380952381, 5.450714285714285, 5.366666666666669, 5.046666666666666, 4.641904761904761]","[-8.169761904761906, -6.17238095238095, -6.434761904761903, -6.365952380952384, -5.4023809523809545, -6.570238095238092, -9.004285714285711, -10.206666666666663, -10.312380952380952, -9.930476190476194, -8.35095238095238, -5.13238095238095, -5.755476190476193, -6.125714285714288, -3.9369047619047643, -4.023809523809525, -8.038333333333334, -8.22452380952381, -8.978571428571428]","[-0.870952380952381, -0.3080952380952382, -1.663809523809524, 0.970952380952381, -0.5399999999999998, -0.6721428571428569, 1.340952380952381, -2.701190476190477, -0.5797619047619049, -0.018095238095238164, -1.472619047619048, 1.8966666666666674, -0.40571428571428564, -2.038095238095236, 2.120952380952381, -1.3921428571428565, 2.114285714285713, -2.041904761904762, -0.3376190476190477]","[0.04316964285714289, 0.6359613095238095, 0.39967857142857144, 0.39664595238095257, 0.6520477380952382, 0.24093154761904761, 0.27891654761904755, 0.2041458333333333, 0.249827380952381, 0.6923749999999999, 0.35208035714285746, 0.45572916666666663, 0.7980684523809523, 0.04230357142857148, 0.6846110714285716, 0.40850011904761907, 0.25078869047619046, 0.4199759523809524, 0.31972607142857135]"
OxyR,"[34.366851851851855, 35.01648148148149, 33.502037037037034, 34.88055555555555, 33.79, 34.95851851851851, 34.653888888888886, 35.114259259259256, 34.51518518518518, 34.94740740740741, 34.514814814814805, 34.12129629629629, 34.939259259259266, 33.26722222222222, 34.93185185185185, 33.69962962962963, 34.89444444444444, 34.287407407407414, 34.243333333333325]","[5.079999999999999, 5.060555555555554, 5.187037037037037, 5.147777777777777, 4.885185185185186, 4.720740740740741, 5.022222222222223, 5.180925925925927, 5.188518518518518, 5.031111111111112, 4.729074074074074, 4.794074074074074, 5.1466666666666665, 5.226111111111111, 5.0538888888888875, 4.96, 5.187407407407407, 5.256851851851851, 5.047037037037039]","[-8.808333333333337, -8.803333333333335, -8.158333333333333, -6.956666666666668, -6.5505555555555555, -7.889814814814816, -8.699629629629628, -9.014814814814816, -9.310370370370372, -9.410185185185181, -7.679814814814816, -6.600740740740741, -6.809444444444444, -7.570925925925928, -8.14962962962963, -8.26703703703704, -7.615555555555557, -7.8379629629629655, -7.673148148148148]","[0.14796296296296313, -0.40314814814814803, -1.3035185185185185, 0.6261111111111112, -1.2672222222222225, -1.3568518518518515, -0.8561111111111113, -0.18092592592592582, -1.07462962962963, -0.6227777777777778, -0.6861111111111112, -1.739074074074074, 0.04703703703703699, -1.1370370370370366, -0.07907407407407382, -0.9957407407407405, -0.9724074074074072, 0.7707407407407407, -1.328888888888889]","[0.13475231481481484, 0.34906018518518517, 0.29514805555555546, 0.3496550925925925, 0.3150233333333334, 0.298337962962963, 0.15729861111111118, 0.26153009259259263, 0.2371989814814815, 0.17202777777777786, 0.19529398148148147, 0.294242962962963, 0.39435870370370374, 0.2127961111111111, 0.35032185185185183, 0.08310425925925925, 0.30947694444444457, 0.18881018518518522, 0.20261583333333333]"
PurR,"[34.482173913043475, 34.77913043478261, 34.28434782608696, 35.65782608695652, 35.29347826086957, 35.496086956521744, 34.90478260869564, 35.383043478260866, 34.409130434782604, 35.27913043478261, 35.27347826086955, 35.5391304347826, 35.09173913043478, 35.06434782608696, 34.28869565217392, 35.08869565217392]","[5.043043478260868, 5.034782608695652, 5.185217391304348, 5.293478260869564, 4.967391304347825, 4.630000000000001, 4.4882608695652175, 4.586956521739131, 4.6113043478260884, 4.600434782608697, 4.762173913043479, 4.99695652173913, 5.125652173913042, 4.971304347826087, 4.892608695652173, 4.987826086956521]","[-7.368260869565216, -5.772608695652174, -4.90608695652174, -8.05, -11.341304347826084, -11.759999999999998, -10.688695652173914, -8.910000000000002, -9.279565217391307, -11.092173913043478, -11.372608695652174, -9.603043478260869, -6.801304347826086, -6.431304347826088, -7.649565217391303, -8.657826086956524]","[0.22043478260869556, -2.4439130434782608, 1.5178260869565217, -1.8713043478260871, -0.07782608695652182, -2.6856521739130432, -0.17695652173913043, -2.4082608695652166, 1.0552173913043477, -1.6834782608695649, -1.3291304347826087, -2.8286956521739137, 0.020434782608695773, -1.8465217391304352, 1.023478260869565, -1.4234782608695649]","[0.5853797826086956, 0.3040165217391304, 0.4585765217391305, 0.12954891304347824, 0.15577173913043477, 0.34566304347826093, 0.706303695652174, 0.5999021739130435, 0.5123532608695652, 0.23584239130434784, 0.1360867391304348, 0.11342391304347826, 0.486244347826087, 0.25191304347826093, 0.4306956521739131, 0.3293097826086956]"
