,SN_ratio,TF,TSS_distance,TU,condition,fold_change,p_value,peak,start,stop,log_SN,log_pval
113,7.97,fur,-,xylFGHR,R/S,0,39,P115,3731495,3731513,2.075684493,3.663561646
114,2.8,fur,-,mutM,R/S,0,37,P116,3808959,3808970,1.029619417,3.610917913
115,4.6,fur,-7,emrD,R/S,0,13,P117,3851855,3851867,1.526056304,2.564949357
116,2.3,fur,-,rmuC,R/S,0.612611,72,P118,4015364,4015376,0.832909123,4.276666119
117,1.93,fur,-,yihN,R/S,0,86,P119,4060503,4060515,0.657520003,4.454347296
118,2.57,fur,-,yihXY-dtd-yiiD,R,0,5.2,P120,4073667,4073679,0.943905899,1.648658626
119,2.07,fur,-,fdhE,R/S,0,120,P121,4078078,4078086,0.727548607,4.787491743
120,2.67,fur,-,fdhE,R/S,0,140,P122,4078871,4078883,0.982078472,4.941642423
121,68.73,fur,-53,sodA,R,0,2.3,P123,4098723,4098735,4.230185785,0.832909123
122,64.13,fur,-46,sodA,R,0,0.33,P124,4098730,4098742,4.160912273,-1.108662625
123,1.73,fur,-61.5,cdh,R/S,0,80,P125,4107862,4107875,0.548121409,4.382026635
124,2.93,fur,148,zapB,R/S,-0.630096,40,P126,4116551,4116563,1.075002423,3.688879454
125,2.87,fur,-,yjbJ,R/S,0,100,P127,4257227,4257240,1.05431203,4.605170186
126,2.27,fur,-,qor,R/S,0,44,P128,4261485,4261496,0.819779831,3.784189634
127,4.43,fur,-,actP-yjcH-acs,R/S,0,50,P129,4281654,4281666,1.488399584,3.912023005
128,3.63,fur,-,yjdQ,R/S,0,25,P130,4360277,4360289,1.289232648,3.218875825
129,3.03,fur,-,treBC,R,0,0.0015,P131,4463133,4463145,1.10856262,-6.502290171
130,2.27,fur,-,yjgI,R/S,0,34,P132,4472036,4472048,0.819779831,3.526360525
131,8.2,fur,-12.5,fecABCDE,R,2.11221,0.014,P133,4514757,4514768,2.104134154,-4.268697949
132,35.57,fur,0,fecIR,R,3.30818,0.00075,P134,4516299,4516311,3.571502586,-7.195437351
133,30.07,fur,-19,fecIR,R,3.30818,0.00075,P135,4516318,4516330,3.403527997,-7.195437351
134,3.9,fur,-,yjhU,R/S,0,110,P136,4517991,4518002,1.360976553,4.700480366
135,4.53,fur,-,yjhIH,R/S,0,11,P137,4523968,4523979,1.510721939,2.397895273
136,1.53,fur,-19,uxuAB,R/S,-0.6669005,44,P138,4549516,4549528,0.425267735,3.784189634
137,51,fur,-170,yjiT,R,-0.519666,0.025,P139,4570209,4570221,3.931825633,-3.688879454
138,41.3,fur,-150,yjiT,R,-0.519666,0.025,P140,4570229,4570241,3.7208625,-3.688879454
139,254.4,fur,-6,fhuF,R,1.96927,0.0039,P141,4603717,4603729,5.538907831,-5.546778726
140,54.7,fur,-51,fhuF,R,1.96927,4.80E-05,P142,4603762,4603774,4.001863709,-9.944309547
141,76.27,fur,-13.5,yjjZ,R,6.29771,5.20E-05,P143,4603779,4603794,4.334279676,-9.864266839
142,64.43,fur,11,yjjZ,R,6.29771,0.00053,P144,4603805,4603817,4.165579363,-7.542633551
143,3.17,soxR,26,lpxC,,-1.47,0.0105,SoxR-P1,106518,106550,1.153731588,-4.556380022
144,7.77,soxR,-,ahpF,,0,0.00801,SoxR-P2,638922,638954,2.050270164,-4.827064518
145,2.63,soxR,8.5,aroF-tyrA,,-1.545,0.00131,SoxR-P3,2739197,2739232,0.966983846,-6.637728142
146,1.53,soxR,36,yrbL,,-1.19,0.00138,SoxR-P4,3346463,3346495,0.425267735,-6.58567178
147,2.5,soxR,-,yhcC,,0,0.00995,SoxR-P5,3352069,3352101,0.916290732,-4.610182728
148,3.87,soxR,9,sodA,,-3.11,0.000567,SoxR-P6,4098775,4098807,1.353254507,-7.475151254
149,27.8,soxR,-4,yjcB,,-1,1.74E-06,SoxR-P7,4273175,4273207,3.325036021,-13.26162544
150,395,soxR,6,soxS,,-5.22,4.12E-07,SoxR-P8,4275424,4275456,5.978885765,-14.70224249
151,241,soxR,0,soxR,,0,4.12E-07,SoxR-P9,4275454,4275486,5.484796933,-14.70224249
152,11.37,soxR,201,mgtA,,-1.73,0.00473,SoxR-P10,4465571,4465603,2.430978308,-5.353830076
153,18.43,soxS,29,lpxC,,-1.41,0.000173,SoxS-P1,106521,106553,2.913979772,-8.662218963
154,2.59,soxS,-63,ybaO-mdlA-mdlB,,-2.496666667,0.00371,SoxS-P2,467497,467529,0.951657876,-5.596723402
155,10.47,soxS,-74,acrA-acrB,,0,0.000199,SoxS-P3,484980,485012,2.348514025,-8.522205733
156,5.21,soxS,-64,uof-fur,,0,0.00266,SoxS-P4,710099,710131,1.650579856,-5.929429156
157,8.41,soxS,-63,fldA,,-2.19,0.000274,SoxS-P5,710791,710823,2.129421474,-8.202382452
158,4.68,soxS,10,acrZ,,0,0.0111,SoxS-P6,793968,794000,1.54329811,-4.500810171
159,6.87,soxS,-58,ybjC-nfsA,,-1.98,0.000234,SoxS-P7,890041,890073,1.927164106,-8.360189443
160,19.71,soxS,-64.5,ycgZ-ymgA,,0,4.74E-07,SoxS-P8,1214895,1214926,2.981126121,-14.56205852
161,1.62,soxS,-50,acnA,,-1.71,0.0221,SoxS-P9,1333739,1333771,0.482426149,-3.81217767
162,1.68,soxS,-67,ribA,,-1.54,0.00566,SoxS-P10,1337265,1337297,0.518793793,-5.174331387
163,4.68,soxS,-,ydbK,,-3.62,0.0046,SoxS-P11,1438892,1438924,1.54329811,-5.381698975
164,1.93,soxS,-,nhoA,,-5.93,0.152,SoxS-P12,1532018,1532050,0.657520003,-1.883874758
165,5.41,soxS,19,fumC,,-5.44,0.000576,SoxS-P13,1684698,1684730,1.688249093,-7.459402897
166,5.47,soxS,-51,zwf,,-2.04,0.000871,SoxS-P14,1934435,1934467,1.699278616,-7.045868581
167,2.79,soxS,-26,nfo,,-2.95,0.0784,SoxS-P15,2248786,2248818,1.026041596,-2.545931352
168,2.19,soxS,-118,micF,,0,0.0021,SoxS-P16,2310972,2311004,0.783901544,-6.165817934
169,4.77,soxS,-39,micF,,0,0.0101,SoxS-P17,2311051,2311083,1.562346305,-4.595219855
170,5.19,soxS,-,ypeC,,0,0.0259,SoxS-P18,2508897,2508929,1.646733697,-3.65351231
171,4.5,soxS,9,aroF-tyrA,,0,0.0326,SoxS-P19,2739198,2739230,1.504077397,-3.423442991
172,2.37,soxS,17,yrbL,,-1,0.0833,SoxS-P20,3346444,3346476,0.862889955,-2.48530673
173,6.32,soxS,6,nepI,,-2.18,0.0021,SoxS-P21,3839772,3839804,1.843719208,-6.165817934
174,5.96,soxS,-43,sodA,,-3.57,0.167,SoxS-P22,4098723,4098755,1.785070481,-1.789761467
175,1.63,soxS,-58,fpr,,-4.46,0.124,SoxS-P23,4112564,4112596,0.488580015,-2.087473713
176,5.78,soxS,89,yjcB,,0,0.0221,SoxS-P24,4273082,4273114,1.754403683,-3.81217767
177,7.28,soxS,3,soxS,,0,0.00146,SoxS-P25,4275427,4275459,1.985130862,-6.529318843
178,5.44,soxS,-19,rob,,1.34,0.000871,SoxS-P26,4633379,4633411,1.693779061,-7.045868581
179,1.88,oxyR,-,guaC,,1.17,0.323,OxyR-P1,113379,113411,0.631271777,-1.130102956
180,19.7,oxyR,-46.5,dsbG,,0,2.16E-05,OxyR-P3,638054,638085,2.980618636,-10.74281724
181,9.04,oxyR,-55,ahpCF,,-3.525,0.000635,OxyR-P2,637846,637876,2.201659174,-7.361885559
182,6.8,oxyR,-36,ahpCF,,-3.525,0.000641,OxyR-P4,638092,638124,1.916922612,-7.352481101
183,4.36,oxyR,4,uof-fur,,0,0.0076,OxyR-P5,710031,710063,1.472472057,-4.879607032
184,4.43,oxyR,-68.5,uof-fur,,0,0.00767,OxyR-P6,710134,710167,1.488399584,-4.870438664
185,8.47,oxyR,-15,dps,,-1.11,0.000225,OxyR-P7,848172,848204,2.136530509,-8.399410156
186,2.62,oxyR,-,ybjM,,1.29,0.392,OxyR-P8,889065,889097,0.963174318,-0.936493439
187,3.69,oxyR,8,grxA,,-4.48,0.323,OxyR-P9,889975,890007,1.305626458,-1.130102956
188,2.84,oxyR,-49.5,ybjC-nfsA,,0.54,0.0299,OxyR-P10,890049,890082,1.043804052,-3.509896799
189,3.4,oxyR,-,clpS,,0,0.34,OxyR-P11,922071,922103,1.223775432,-1.078809661
190,5.15,oxyR,-236,sufABCDSE,,-1.32,0.0138,OxyR-P12,1762662,1762694,1.638996715,-4.283086687
191,1.46,oxyR,-27.5,znuCB,,-2.43,0.0907,OxyR-P13,1940614,1940647,0.378436436,-2.400197922
192,1.46,oxyR,54.5,znuA-mepM,,-2.985,0.623,OxyR-P13,1940614,1940647,0.378436436,-0.47320876
193,1.8,oxyR,21.5,zinT,,-9.1,0.323,OxyR-P14,2039376,2039407,0.587786665,-1.130102956
194,1.39,oxyR,-26,flu,,1.96,0.0216,OxyR-P15,2069299,2069331,0.329303747,-3.835061964
195,1.52,oxyR,28,flu,,1.96,0.0216,OxyR-P16,2069353,2069385,0.418710335,-3.835061964
196,1.76,oxyR,-74,mntH,,-2.19,0.0362,OxyR-P17,2510814,2510846,0.565313809,-3.31869616
197,1.59,oxyR,-64,trxC,,-2.5,0.0899,OxyR-P18,2716617,2716649,0.463734016,-2.409057338
198,4.75,oxyR,-87,yhjA,,0,0.00167,OxyR-P19,3667355,3667387,1.558144618,-6.394931653
199,7.07,oxyR,-,yhjB,,0,0.274,OxyR-P20,3670305,3670337,1.95586048,-1.294627173
200,2.94,oxyR,-5,metR,,-1.17,0.41,OxyR-P21,4010849,4010881,1.078409581,-0.891598119
201,2.94,oxyR,-42,metE,,-1.57,0.41,OxyR-P21,4010849,4010881,1.078409581,-0.891598119
202,4.16,oxyR,10,sodA,,0,0.274,OxyR-P22,4098776,4098808,1.425515074,-1.294627173
203,1.67,oxyR,-72,katG,,-2.73,0.0761,OxyR-P23,4131747,4131779,0.512823626,-2.575707014
204,2.31,oxyR,2,katG,,-2.73,0.0761,OxyR-P24,4131821,4131853,0.837247525,-2.575707014
205,3.21,oxyR,3,oxyS,,0,0.124,OxyR-P25,4156398,4156430,1.166270937,-2.087473713
206,7.57,oxyR,5,oxyR,,0,0.0109,OxyR-P26,4156469,4156501,2.024193067,-4.51899249
207,2.92,oxyR,4,soxS,,0,0.851,OxyR-P27,4275426,4275458,1.071583616,-0.16134315
208,2.92,oxyR,-28,soxR,,0,0.851,OxyR-P27,4275426,4275458,1.071583616,-0.16134315
209,8.41,oxyR,-4,fhuF,,0,0.000102,OxyR-P28,4603705,4603737,2.129421474,-9.190537745
210,10.41,oxyR,-62,yjjZ,,-3.03,0.000102,OxyR-P29,4603722,4603754,2.342766883,-9.190537745
211,76.6,gadE,-256.5,iraP,,0,0.0000472,P1,400316,400345,4.338597077,-9.961116665
212,1.43,gadE,76.5,dcuC,,0,2.46E-08,P2,655216,655243,0.357674444,-17.52051939
213,2.78,gadE,-62.5,gadBC,,-6.145925,3.84E-08,P3,1570144,1570175,1.022450928,-17.07520838
214,1.59,gadE,-15,cnu,,0,5.17E-06,P4,1702759,1702787,0.463734016,-12.17263787
215,15.21,gadE,-67,micF,,0,4.62E-06,P5,2311024,2311054,2.721953106,-12.28511585
216,1.15,gadE,-,yfjU,,0,6.95E-06,P6,2769762,2769784,0.139761942,-11.8767689
217,1.2,gadE,-284,gltBD,,0,1.76E-05,P7,3352240,3352258,0.182321557,-10.94761166
218,1.53,gadE,-78.5,yhiM,,-3.90975,5.17E-06,P8,3632675,3632700,0.425267735,-12.17263787
219,25.63,gadE,9.5,hdeAB-yhiD,,-6.87615,5.67E-04,P9,3654789,3654820,3.24376354,-7.475151254
220,40.96,gadE,-54,hdeD,,-6.23579,8.76E-08,P10,3654915,3654943,3.712595981,-16.25048484
221,13.48,gadE,-55,gadE,,0,4.43E-05,P11,3656193,3656227,2.601207105,-10.02452588
222,1.48,gadE,-64,gadA,,-6.43949,4.43E-05,P12,3665681,3665709,0.392042088,-10.02452588
223,1.24,gadE,21.5,asnC,,0,1.76E-05,P13,3925018,3925047,0.21511138,-10.94761166
224,1.01,gadE,-40,yjbQR,,-0.586246,3.04E-07,P14,4267976,4268006,0.009950331,-15.00623814
225,1.09,gadE,186.5,yjjU,,-0.976515,3.02E-06,P15,4610316,4610345,0.086177696,-12.71025373
226,2.49,gadE,-,yjtD,,0,2.13E-07,P16,4638752,4638780,0.91228271,-15.36197367
227,13.36,gadW,11.5,ybaST,,0,1.03E-04,P1,510790,510823,2.592265168,-9.18078157
228,5.87,gadW,17,slp-dctR,,0,4.25E-04,P2,3651968,3651984,1.769854634,-7.763421389
229,3.99,gadW,-70.5,gadE,,0,3.87E-06,P3,3655735,3655770,1.383791231,-12.46225605
230,4.53,gadW,8,gadE,,0,4.01E-06,P4,3655819,3655843,1.510721939,-12.42671932
231,14.26,gadW,-68.5,gadW,,0,1.57E-09,P5,3662857,3662888,2.657458415,-20.27219022
232,20.8,gadW,-96.5,gadW,,0,1.57E-09,P6,3662883,3662918,3.034952987,-20.27219022
233,102.7,gadX,2,nhaR,,0,1.37E-03,P1,18012,18042,4.631812117,-6.592944539
234,7.49,gadX,-,yagN,,0.580289,2.04E-08,P2,294529,294546,2.013568798,-17.70773094
235,417.36,gadX,11.5,ybaST,,-0.4568885,9.64E-04,P3,510790,510823,6.033949159,-6.944419263
236,6.23,gadX,-,asnS,,0,4.43E-04,P4,987539,987552,1.829376333,-7.721940788
237,50.1,gadX,66,gadBC,,-0.583472,2.23E-03,P5,1570011,1570051,3.914021008,-6.105753694
238,42.2,gadX,-184,gadBC,,-0.583472,6.98E-07,P6,1570261,1570301,3.742420221,-14.17504673
239,43.95,gadX,-225,gadBC,,-0.583472,6.98E-07,P7,1570302,1570342,3.783052624,-14.17504673
240,41.97,gadX,-268,gadBC,,-0.583472,6.00E-04,P8,1570345,1570385,3.736955077,-7.418580903
241,8.32,gadX,-69,ydeN,,0.601608,3.33E-05,P9,1580632,1580662,2.118662255,-10.30995316
242,13.67,gadX,-233.5,ydeN,,0.601608,3.24E-03,P10,1580799,1580824,2.615203651,-5.732181949
243,7.82,gadX,395,rspAB,,0,2.89E-04,P11,1653263,1653281,2.056684555,-8.14908387
244,3.97,gadX,-94.5,ynfB-speG,,0.6144305,2.59E-04,P12,1653697,1653730,1.378766095,-8.258682496
245,1.83,gadX,473.5,asr,,0.85852,3.99E-03,P13,1669352,1669375,0.604315967,-5.523964048
246,8.7,gadX,0,blr,,0,6.62E-04,P14,1702520,1702552,2.163323026,-7.320245002
247,2.54,gadX,-151,dtpA,,0,2.88E-05,P15,1710534,1710554,0.932164081,-10.45513517
248,7.84,gadX,-,yfaL,,0,3.23E-04,P16,2342146,2342173,2.059238834,-8.037858235
249,8.54,gadX,-,yfaL,,0,3.23E-04,P17,2342169,2342207,2.144761008,-8.037858235
250,23.57,gadX,-,yqeK/ygeF,,0,1.15E-03,P18,2988594,2988613,3.159974717,-6.767993337
251,7.45,gadX,-,ygeH,,0,6.62E-04,P19,2990931,2990949,2.008214032,-7.320245002
252,8.66,gadX,-98,gcvTHP,,0.172222333,7.29E-04,P20,3048878,3048906,2.158714723,-7.223836826
253,10.94,gadX,-198,gcvTHP,,0.172222333,5.11E-05,P21,3048982,3049002,2.392425797,-9.881726061
254,19.66,gadX,-100,metK,,0,1.91E-03,P22,3084478,3084504,2.978586115,-6.260652037
255,45.18,gadX,-0.5,metK,,0,8.79E-04,P23,3084574,3084607,3.810654511,-7.03672566
256,26.52,gadX,101,metK,,0,1.91E-03,P24,3084677,3084707,3.277899165,-6.260652037
257,4.82,gadX,45,uspA/uspB,,0,3.59E-04,P25,3637850,3637894,1.572773928,-7.932188169
258,32.1,gadX,-,yhiS_1,,0,8.01E-04,P26,3649418,3649455,3.46885603,-7.129649611
259,145.28,gadX,-114,slp-dctR,,-0.399703,1.05E-03,P27,3651832,3651858,4.978662915,-6.858965115
260,178,gadX,-98,slp,,-0.799406,3.15E-06,P28,3651850,3651872,5.18178355,-12.66810811
261,151.59,gadX,-80.5,slp,,-0.799406,3.15E-06,P29,3651863,3651894,5.021179508,-12.66810811
262,179.26,gadX,-3,slp,,-0.799406,2.41E-03,P30,3651946,3651966,5.188837266,-6.028128531
263,192.68,gadX,17,slp,,-0.799406,3.73E-03,P31,3651968,3651984,5.261030782,-5.591347045
