,tu_id,gene_id,gene_name,sigma,actual_b10,predicted_b10
61,ECK120008970,b0199,metN,Sigma70,222722.0,222655
62,ECK120008971,b2913,serA,Sigma70,3058551.0,3058463
63,ECK120008972,b0347,mhpA,Sigma70,368513.0,368559
64,ECK120008973,b4241,treR,Sigma70,4467281.0,4467273
65,ECK120008975,b4241,treR,Sigma70,4467351.0,4467273
66,ECK120008979,b3699,gyrB,Sigma70,3880158.0,3880158
67,ECK120008979,b3699,gyrB,Sigma38,3880158.0,3880158
68,ECK120008980,b1684,sufA,Sigma70,1764425.0,1764425
69,ECK120008981,b4439,micF,Sigma38,2313076.0,2313022
70,ECK120008981,b4439,micF,Sigma70,2313076.0,2313022
71,ECK120008982,b4435,isrC,Sigma70,2071311.0,2071311
72,ECK120008984,b3938,metJ,Sigma70,4128537.0,4128399
73,ECK120008985,b3938,metJ,Sigma70,4128473.0,4128399
74,ECK120008986,b2435,amiA,Sigma70,2552236.0,2552336
75,ECK120008987,b2436,hemF,Sigma70,2553200.0,2553224
76,ECK120008988,b3338,chiA,Sigma70,3469903.0,3469903
77,ECK120008989,b0733,cydA,Sigma70,771197.0,771387
78,ECK120008990,b0733,cydA,Sigma70,771206.0,771387
79,ECK120008991,b0733,cydA,Sigma70,771362.0,771387
80,ECK120008992,b3968,rrsB,Sigma70,4166477.0,4166655
81,ECK120008993,b3057,bacA,Sigma24,3204181.0,3204181
82,ECK120008996,b2310,argT,Sigma54,2427859.0,2427859
83,ECK120008997,b1783,yeaG,Sigma54,1866805.0,1866861
84,ECK120008999,b1488,ddpX,Sigma54,1563120.0,1563120
85,ECK120009002,b1012,rutA,Sigma54,1074039.0,1074039
86,ECK120009003,b4069,acs,Sigma70,4287604.0,4287392
87,ECK120009004,b4069,acs,Sigma70,4287397.0,4287392
88,ECK120009004,b4069,acs,Sigma38,4287397.0,4287437
89,ECK120009005,b3939,metB,Sigma70,4128628.0,4128628
90,ECK120009006,b0019,nhaA,Sigma38,17313.0,17450
91,ECK120009007,b4111,proP,Sigma38,4330400.0,4330489
92,ECK120009008,b1480,sra,Sigma38,1556054.0,1555999
93,ECK120009009,b0093,ftsQ,Sigma38,102737.0,103110
94,ECK120009010,b0590,fepD,Sigma70,622200.0,622241
95,ECK120009011,b2535,csiE,Sigma70,2665396.0,2665367
96,ECK120009011,b2535,csiE,Sigma38,2665396.0,2665405
97,ECK120009012,b2659,csiD,Sigma38,2788926.0,2788926
98,ECK120009013,b1048,opgG,Sigma70,1109253.0,1109270
99,ECK120009013,b1048,opgG,Sigma24,1109253.0,1109314
100,ECK120009014,b2477,bamC,Sigma24,2599023.0,2598912
101,ECK120009015,b3619,hldD,Sigma70,3793931.0,3793931
102,ECK120009017,b3619,hldD,Sigma24,3793962.0,3793962
103,ECK120009018,b1805,fadD,Sigma70,1889811.0,1889811
104,ECK120009019,b1210,hemA,Sigma70,1263668.0,1263668
105,ECK120009023,b0679,nagE,Sigma70,703832.0,703881
106,ECK120009024,b2710,norV,Sigma54,2832429.0,2832429
107,ECK120009027,b0731,mngA,Sigma32,765802.0,765907
108,ECK120009028,b4090,rpiB,Sigma70,4313250.0,4313302
109,ECK120009030,b4089,alsR,Sigma70,4313142.0,4313023
110,ECK120009031,b4089,alsR,Sigma70,4313142.0,4313023
111,ECK120009032,b3438,gntR,Sigma70,3578825.0,3578760
112,ECK120009035,b2699,recA,Sigma70,2823825.0,2823825
113,ECK120009038,b1858,znuC,Sigma70,1942627.0,1942657
114,ECK120009039,b3469,zntA,Sigma70,3606415.0,3606415
115,ECK120009040,b1857,znuA,Sigma38,1942668.0,1942623
116,ECK120009041,b4268,idnK,Sigma70,4494590.0,4494573
117,ECK120009049,b4238,nrdD,Sigma70,4462846.0,4462673
118,ECK120009053,b2661,gabD,Sigma38,2790903.0,2791251
119,ECK120009055,b4264,idnR,Sigma70,4491187.0,4491195
120,ECK120009058,b4321,gntP,Sigma70,4551341.0,4551329
121,ECK120009059,b3413,gntX,Sigma70,3544660.0,3544854
122,ECK120009060,b3686,ibpB,Sigma54,3866983.0,3866917
123,ECK120009061,b4142,groS,Sigma32,4370605.0,4370653
124,ECK120009061,b4142,groS,Sigma70,4370605.0,4370639
125,ECK120009062,b3092,uxaC,Sigma70,3244863.0,3244795
126,ECK120009063,b4324,uxuR,Sigma70,4554452.0,4554544
127,ECK120009065,b4013,metA,Sigma70,4214151.0,4214255
128,ECK120009068,b1618,uidR,Sigma70,1697081.0,1697081
129,ECK120009069,b3340,fusA,Sigma24,3473689.0,3473532
130,ECK120009070,b4193,ulaA,Sigma70,4419920.0,4419920
131,ECK120009079,b2342,fadI,Sigma70,2460517.0,2460511
132,ECK120009081,b2131,osmF,Sigma38,2219530.0,2219530
133,ECK120009084,b1587,ynfE,Sigma70,1657996.0,1658036
134,ECK120009084,b1587,ynfE,Sigma38,1657996.0,1658007
135,ECK120009085,b3172,argG,Sigma70,3318554.0,3318570
136,ECK120009087,b3635,mutM,Sigma32,3811185.0,3811185
137,ECK120009099,b4050,pspG,Sigma54,4262805.0,4262805
138,ECK120009105,b3870,glnA,Sigma70,4058233.0,4058085
139,ECK120009106,b3870,glnA,Sigma54,4058117.0,4058117
140,ECK120009107,b0907,serC,Sigma70,957589.0,957589
141,ECK120009108,b3453,ugpB,Sigma70,3592384.0,3592366
142,ECK120009109,b3453,ugpB,Sigma70,3592436.0,3592366
143,ECK120009110,b3688,yidQ,Sigma24,3867543.0,3867687
144,ECK120009111,b4139,aspA,Sigma70,4368439.0,4368375
145,ECK120009112,b0591,entS,Sigma70,622250.0,622278
146,ECK120009113,b0591,entS,Sigma70,622245.0,622278
147,ECK120009116,b3171,metY,Sigma70,3318305.0,3318305
148,ECK120009118,b3150,yraP,Sigma24,3296340.0,3296364
149,ECK120009119,b4216,ytfJ,Sigma24,4439292.0,4439318
150,ECK120009121,b0048,folA,Sigma70,49792.0,49792
151,ECK120009122,b4258,valS,Sigma70,4483935.0,4483885
152,ECK120009123,b2400,gltX,Sigma70,2520738.0,2520738
153,ECK120009126,b4149,blc,Sigma38,4377750.0,4377750
154,ECK120009128,b0880,cspD,Sigma70,922685.0,922610
155,ECK120009130,b3867,hemN,Sigma70,4051936.0,4052010
156,ECK120009131,b1732,katE,Sigma38,1813806.0,1813806
157,ECK120009133,b3778,rep,Sigma70,3960643.0,3960643
158,ECK120009136,b2400,gltX,Sigma70,2520782.0,2520738
159,ECK120009137,b2400,gltX,Sigma70,2520791.0,2520738
160,ECK120009138,b4059,ssb,Sigma70,4274077.0,4274091
161,ECK120009139,b4059,ssb,Sigma70,4274091.0,4274091
162,ECK120009141,b3132,kbaZ,Sigma70,3278862.0,3278887
163,ECK120009142,b3131,agaR,Sigma70,3278704.0,3278707
164,ECK120009143,b3136,agaS,Sigma70,3281878.0,3281911
165,ECK120009144,b2937,speB,Sigma38,3083953.0,3083821
166,ECK120009145,b0937,ssuE,Sigma70,997569.0,997521
167,ECK120009148,b0114,aceE,Sigma70,122961.0,122986
168,ECK120009148,b0114,aceE,Sigma38,122961.0,122993
169,ECK120009152,b4383,deoB,Sigma70,4619560.0,4619560
170,ECK120009156,b2022,hisB,Sigma70,2093359.0,2093465
171,ECK120009159,b2598,pheL,Sigma70,2737573.0,2737573
172,ECK120009160,b3164,pnp,Sigma70,3311331.0,3311193
173,ECK120009165,b2821,ptrA,Sigma70,2959017.0,2958952
174,ECK120009167,b1914,uvrY,Sigma70,1995410.0,1995410
175,ECK120009168,b4258,valS,Sigma70,4483921.0,4483885
176,ECK120009169,b0722,sdhD,Sigma70,755397.0,755511
177,ECK120009170,b0598,cstA,Sigma70,629864.0,629864
178,ECK120009171,b0598,cstA,Sigma70,629857.0,629864
179,ECK120009173,b0077,ilvI,Sigma70,85444.0,85591
180,ECK120009174,b0077,ilvI,Sigma70,85412.0,85591
181,ECK120009176,b3362,yhfG,Sigma38,3491654.0,3491654
182,ECK120009183,b0779,uvrB,Sigma70,813145.0,813487
183,ECK120009186,b2837,galR,Sigma70,2976562.0,2976597
184,ECK120009189,b0081,mraZ,Sigma70,89593.0,89582
185,ECK120009190,b1272,sohB,Sigma70,1329281.0,1329260
186,ECK120009190,b1272,sohB,Sigma38,1329281.0,1329295
187,ECK120009191,b1272,sohB,Sigma70,1329295.0,1329260
188,ECK120009192,b4233,mpl,Sigma38,4455716.0,4455716
189,ECK120009192,b4233,mpl,Sigma70,4455716.0,4455754
190,ECK120009193,b4233,mpl,Sigma70,4455754.0,4455754
191,ECK120009194,b4014,aceB,Sigma70,4215396.0,4215430
192,ECK120009195,b2068,alkA,Sigma38,2147566.0,2147566
193,ECK120009195,b2068,alkA,Sigma70,2147566.0,2147599
194,ECK120009196,b0064,araC,Sigma70,70238.0,70382
195,ECK120009197,b3958,argC,Sigma70,4154876.0,4154986
196,ECK120009198,b0273,argF,Sigma70,290350.0,290348
197,ECK120009199,b4254,argI,Sigma70,4478354.0,4478352
198,ECK120009200,b3237,argR,Sigma70,3384673.0,3384670
199,ECK120009201,b2601,aroF,Sigma70,2741208.0,2741208
200,ECK120009202,b0754,aroG,Sigma70,785585.0,785585
201,ECK120009203,b1704,aroH,Sigma70,1788313.0,1788376
202,ECK120009204,b0388,aroL,Sigma70,406270.0,406347
203,ECK120009205,b0112,aroP,Sigma70,121683.0,121603
204,ECK120009206,b0774,bioA,Sigma70,809298.0,809298
205,ECK120009207,b2155,cirA,Sigma70,2246950.0,2246795
206,ECK120009208,b2155,cirA,Sigma70,2246938.0,2246795
207,ECK120009209,b3806,cyaA,Sigma70,3990992.0,3991137
208,ECK120009210,b4381,deoC,Sigma70,4616672.0,4617271
209,ECK120009211,b4381,deoC,Sigma70,4617271.0,4617271
210,ECK120009212,b0894,dmsA,Sigma70,940815.0,940903
211,ECK120009213,b0150,fhuA,Sigma70,167435.0,167421
212,ECK120009214,b3260,dusB,Sigma70,3410240.0,3410240
213,ECK120009215,b1334,fnr,Sigma70,1399559.0,1399559
214,ECK120009216,b4154,frdA,Sigma70,4382424.0,4382336
215,ECK120009216,b4154,frdA,Sigma38,4382424.0,4382361
216,ECK120009217,b2151,galS,Sigma70,2241718.0,2241718
217,ECK120009218,b0759,galE,Sigma70,792093.0,792075
218,ECK120009218,b0759,galE,Sigma38,792093.0,792093
219,ECK120009219,b0759,galE,Sigma70,792093.0,792075
220,ECK120009220,b3870,glnA,Sigma70,4058233.0,4058085
221,ECK120009221,b3869,glnL,Sigma70,4056377.0,4056377
222,ECK120009222,b3870,glnA,Sigma54,4058117.0,4058117
223,ECK120009223,b2241,glpA,Sigma70,2352580.0,2352609
224,ECK120009224,b3426,glpD,Sigma70,3561963.0,3561963
225,ECK120009225,b3672,ivbL,Sigma70,3853034.0,3853021
226,ECK120009226,b3773,ilvY,Sigma70,3957871.0,3957871
227,ECK120009226,b3773,ilvY,Sigma38,3957871.0,3957849
228,ECK120009227,b3942,katG,Sigma70,4133804.0,4133804
229,ECK120009228,b4513,kdpF,Sigma70,728856.0,728861
230,ECK120009229,b0344,lacZ,Sigma70,366350.0,366350
231,ECK120009230,b4043,lexA,Sigma70,4257080.0,4257080
232,ECK120009231,b4034,malE,Sigma70,4246467.0,4246478
233,ECK120009232,b3417,malP,Sigma70,3552517.0,3552494
234,ECK120009233,b4118,melR,Sigma70,4341657.0,4341657
235,ECK120009234,b4013,metA,Sigma32,4214230.0,4214205
236,ECK120009235,b4019,metH,Sigma70,4223781.0,4223781
237,ECK120009236,b0678,nagB,Sigma70,703714.0,703663
238,ECK120009237,b1224,narG,Sigma70,1279800.0,1279800
239,ECK120009238,b1223,narK,Sigma70,1277924.0,1277924
240,ECK120009239,b3365,nirB,Sigma70,3493979.0,3493994
241,ECK120009240,b2234,nrdA,Sigma70,2344751.0,2344818
242,ECK120009241,b0957,ompA,Sigma70,1020194.0,1020076
243,ECK120009242,b2215,ompC,Sigma70,2312835.0,2312764
244,ECK120009243,b0929,ompF,Sigma38,987099.0,987048
245,ECK120009243,b0929,ompF,Sigma70,987099.0,987004
246,ECK120009244,b3961,oxyR,Sigma38,4158449.0,4158449
247,ECK120009244,b3961,oxyR,Sigma70,4158449.0,4158449
248,ECK120009245,b0383,phoA,Sigma70,401700.0,401700
249,ECK120009246,b0399,phoB,Sigma70,417094.0,417094
250,ECK120009247,b1132,hflD,Sigma70,1192695.0,1192695
251,ECK120009248,b2476,purC,Sigma70,2597788.0,2597618
252,ECK120009249,b4006,purH,Sigma70,4207634.0,4207576
253,ECK120009250,b2557,purL,Sigma70,2695597.0,2695597
254,ECK120009251,b2499,purM,Sigma70,2621146.0,2621164
255,ECK120009252,b1658,purR,Sigma70,1737680.0,1737828
256,ECK120009253,b1062,pyrC,Sigma70,1122652.0,1122652
257,ECK120009254,b0945,pyrD,Sigma70,1004729.0,1004729
258,ECK120009255,b2699,recA,Sigma70,2823825.0,2823825
259,ECK120009256,b3905,rhaS,Sigma70,4097704.0,4097704
260,ECK120009256,b3905,rhaS,Sigma38,4097704.0,4097704
261,ECK120009257,b3908,sodA,Sigma70,4100752.0,4100752
262,ECK120009258,b4059,ssb,Sigma70,4274008.0,4274091
263,ECK120009259,b0958,sulA,Sigma70,1020956.0,1020956
264,ECK120009260,b1265,trpL,Sigma70,1323115.0,1323156
265,ECK120009261,b1323,tyrR,Sigma70,1386684.0,1386684
266,ECK120009262,b4058,uvrA,Sigma70,4273939.0,4273939
267,ECK120009263,b0779,uvrB,Sigma70,813455.0,813487
268,ECK120009264,b3813,uvrD,Sigma70,3997900.0,3997967
269,ECK120009265,b2213,ada,Sigma38,2310430.0,2310423
270,ECK120009265,b2213,ada,Sigma70,2310430.0,2310423
271,ECK120009266,b2212,alkB,Sigma70,2309453.0,2309381
272,ECK120009267,b0605,ahpC,Sigma70,638913.0,638874
273,ECK120009268,b2957,ansB,Sigma70,3100759.0,3100798
274,ECK120009269,b2841,araE,Sigma70,2982217.0,2982217
275,ECK120009270,b1275,cysB,Sigma70,1333781.0,1333781
276,ECK120009271,b2764,cysJ,Sigma70,2891970.0,2891970
277,ECK120009272,b2414,cysK,Sigma70,2532369.0,2532354
278,ECK120009273,b2344,fadL,Sigma38,2461198.0,2461243
279,ECK120009274,b0077,ilvI,Sigma70,85591.0,85591
280,ECK120009275,b0523,purE,Sigma70,553150.0,553150
281,ECK120009276,b3461,rpoH,Sigma70,3600856.0,3600841
282,ECK120009277,b3461,rpoH,Sigma70,3600871.0,3600841
283,ECK120009278,b3707,tnaC,Sigma70,3888402.0,3888402
284,ECK120009279,b0241,phoE,Sigma70,260166.0,260112
285,ECK120009280,b4054,tyrB,Sigma70,4267075.0,4267042
286,ECK120009281,b1907,tyrP,Sigma70,1989635.0,1989635
287,ECK120009282,b2553,glnB,Sigma70,2687512.0,2687448
288,ECK120009283,b3774,ilvC,Sigma70,3957909.0,3957909
289,ECK120009284,b3418,malT,Sigma70,3553017.0,3553053
290,ECK120009285,b0954,fabA,Sigma70,1016504.0,1016487
291,ECK120009286,b3161,mtr,Sigma70,3305868.0,3305837
292,ECK120009287,b4177,purA,Sigma70,4404656.0,4404656
293,ECK120009288,b4187,aidB,Sigma70,4414242.0,4414242
294,ECK120009288,b4187,aidB,Sigma38,4414242.0,4414242
295,ECK120009289,b3506,slp,Sigma70,3653929.0,3653929
296,ECK120009290,b0978,cbdA,Sigma70,1037700.0,1037700
297,ECK120009290,b0978,cbdA,Sigma38,1037700.0,1037703
298,ECK120009291,b1901,araF,Sigma70,1986240.0,1986185
299,ECK120009291,b1901,araF,Sigma38,1986240.0,1986185
300,ECK120009292,b0396,araJ,Sigma70,412535.0,412543
301,ECK120009293,b0733,cydA,Sigma70,771163.0,771387
302,ECK120009294,b0432,cyoA,Sigma70,451660.0,451660
303,ECK120009295,b0726,sucA,Sigma38,758576.0,758663
304,ECK120009296,b1612,fumA,Sigma70,1688449.0,1688449
305,ECK120009297,b1611,fumC,Sigma38,1686713.0,1686643
306,ECK120009298,b0720,gltA,Sigma70,754771.0,754508
307,ECK120009299,b1136,icd,Sigma70,1195001.0,1195047
308,ECK120009300,b3236,mdh,Sigma70,3384321.0,3384321
309,ECK120009301,b0032,carA,Sigma70,29614.0,29614
310,ECK120009302,b0032,carA,Sigma70,29544.0,29614
311,ECK120009303,b3359,argD,Sigma70,3490228.0,3490217
312,ECK120009304,b3744,asnA,Sigma70,3927127.0,3927152
313,ECK120009305,b3743,asnC,Sigma70,3927037.0,3927037
314,ECK120009306,b2221,atoD,Sigma54,2323402.0,2323402
315,ECK120009307,b0313,betI,Sigma70,329366.0,329395
316,ECK120009308,b0314,betT,Sigma70,329417.0,329404
317,ECK120009309,b0775,bioB,Sigma70,809293.0,809293
318,ECK120009310,b4133,cadC,Sigma70,4361967.0,4361967
319,ECK120009311,b3357,crp,Sigma70,3485941.0,3486104
320,ECK120009312,b4213,cpdB,Sigma70,4436637.0,4436607
321,ECK120009313,b0683,fur,Sigma70,710724.0,710712
322,ECK120009314,b3430,glgC,Sigma70,3569399.0,3569340
323,ECK120009315,b4035,malK,Sigma70,4246729.0,4246772
324,ECK120009316,b2965,speC,Sigma38,3109182.0,3109182
325,ECK120009318,b2232,ubiG,Sigma70,2339532.0,2339532
326,ECK120009319,b3076,ebgA,Sigma70,3222545.0,3222567
327,ECK120009320,b2801,fucP,Sigma70,2934107.0,2934214
328,ECK120009321,b2964,nupG,Sigma70,3105644.0,3105644
329,ECK120009322,b3666,uhpT,Sigma70,3847205.0,3847205
330,ECK120009323,b4119,melA,Sigma70,4341880.0,4341880
331,ECK120009324,b1621,malX,Sigma70,1699306.0,1699286
332,ECK120009325,b2702,srlA,Sigma70,2825785.0,2825785
333,ECK120009326,b3831,udp,Sigma70,4016384.0,4016364
334,ECK120009327,b2800,fucA,Sigma70,2933860.0,2933720
335,ECK120009328,b1892,flhD,Sigma70,1978402.0,1978225
336,ECK120009329,b3571,malS,Sigma70,3737463.0,3737463
337,ECK120009330,b3588,aldB,Sigma38,3756542.0,3756542
338,ECK120009331,b1237,hns,Sigma70,1292965.0,1292965
339,ECK120009332,b2231,gyrA,Sigma70,2339465.0,2339465
340,ECK120009333,b3403,pck,Sigma70,3532672.0,3532784
341,ECK120009334,b0339,cynT,Sigma70,358765.0,358765
342,ECK120009335,b0338,cynR,Sigma70,358710.0,358722
343,ECK120009336,b2425,cysP,Sigma70,2543566.0,2543566
344,ECK120009337,b2752,cysD,Sigma70,2876377.0,2876377
345,ECK120009338,b2393,nupC,Sigma70,2513002.0,2513002
346,ECK120009339,b2365,dsdX,Sigma70,2477819.0,2477819
347,ECK120009340,b2364,dsdC,Sigma70,2477752.0,2477651
348,ECK120009343,b4079,fdhF,Sigma54,4299417.0,4299417
349,ECK120009344,b2725,hycA,Sigma54,2850471.0,2850471
350,ECK120009345,b2726,hypA,Sigma54,2850617.0,2850617
351,ECK120009346,b4111,proP,Sigma70,4330318.0,4330489
352,ECK120009347,b1222,narX,Sigma70,1277785.0,1277654
353,ECK120009348,b1474,fdnG,Sigma70,1547363.0,1547349
354,ECK120009349,b1109,ndh,Sigma70,1165983.0,1166071
355,ECK120009350,b4122,fumB,Sigma70,4347351.0,4347353
356,ECK120009351,b4139,aspA,Sigma70,4368439.0,4368375
357,ECK120009352,b2169,fruB,Sigma70,2263603.0,2263521
358,ECK120009353,b1702,ppsA,Sigma70,1787168.0,1787176
359,ECK120009354,b0584,fepA,Sigma70,612674.0,612509
360,ECK120009355,b0592,fepB,Sigma70,624735.0,624528
361,ECK120009356,b0590,fepD,Sigma70,622241.0,622241
362,ECK120009357,b0593,entC,Sigma70,624823.0,624869
363,ECK120009358,b1252,tonB,Sigma70,1311050.0,1311050
364,ECK120009359,b2150,mglB,Sigma70,2240573.0,2240363
365,ECK120009359,b2150,mglB,Sigma38,2240573.0,2240372
366,ECK120009360,b2096,gatY,Sigma70,2177237.0,2177237
367,ECK120009361,b2905,gcvT,Sigma70,3050781.0,3050712
368,ECK120009362,b2808,gcvA,Sigma70,2942646.0,2942593
369,ECK120009363,b0811,glnH,Sigma54,848058.0,848058
370,ECK120009364,b3927,glpF,Sigma70,4118168.0,4118111
371,ECK120009365,b1712,ihfA,Sigma38,1795727.0,1795612
372,ECK120009366,b0912,ihfB,Sigma38,963743.0,963766
373,ECK120009366,b0912,ihfB,Sigma70,963743.0,963804
374,ECK120009367,b0812,dps,Sigma70,848958.0,848929
375,ECK120009367,b0812,dps,Sigma38,848958.0,848958
376,ECK120009368,b3405,ompR,Sigma70,3536696.0,3536587
377,ECK120009369,b0001,thrL,Sigma70,143.0,134
378,ECK120009370,b0075,leuL,Sigma70,83743.0,83742
379,ECK120009371,b1183,umuD,Sigma70,1230733.0,1230733
380,ECK120009372,b0889,lrp,Sigma70,932321.0,932593
381,ECK120009373,b3212,gltB,Sigma38,3354504.0,3354658
382,ECK120009373,b3212,gltB,Sigma70,3354504.0,3354724
383,ECK120009374,b3460,livJ,Sigma70,3599768.0,3599682
384,ECK120009375,b3458,livK,Sigma70,3597765.0,3597582
385,ECK120009376,b2838,lysA,Sigma70,2978955.0,2978955
386,ECK120009377,b2839,lysR,Sigma70,2978948.0,2978948
387,ECK120009378,b1620,malI,Sigma70,1699235.0,1699235
388,ECK120009379,b3924,fpr,Sigma70,4114500.0,4114523
389,ECK120009380,b2159,nfo,Sigma70,2250801.0,2250801
390,ECK120009381,b1530,marR,Sigma70,1619085.0,1619085
391,ECK120009382,b3008,metC,Sigma70,3152068.0,3152220
392,ECK120009383,b2551,glyA,Sigma70,2685579.0,2685579
393,ECK120009384,b3599,mtlA,Sigma70,3772181.0,3772269
394,ECK120009385,b2574,nadB,Sigma70,2710350.0,2710350
395,ECK120009386,b0931,pncB,Sigma70,990421.0,990421
396,ECK120009387,b1817,manX,Sigma70,1901927.0,1902033
397,ECK120009388,b0336,codB,Sigma70,354877.0,354877
398,ECK120009389,b1241,adhE,Sigma38,1298420.0,1298177
399,ECK120009389,b1241,adhE,Sigma70,1298420.0,1298177
400,ECK120009390,b4070,nrfA,Sigma70,4287664.0,4287706
401,ECK120009391,b0019,nhaA,Sigma70,17450.0,17450
402,ECK120009392,b4106,phnC,Sigma70,4325207.0,4325204
403,ECK120009393,b3728,pstS,Sigma70,3911576.0,3911576
404,ECK120009393,b3728,pstS,Sigma38,3911576.0,3911576
405,ECK120009394,b1207,prs,Sigma70,1262184.0,1261940
406,ECK120009395,b2938,speA,Sigma70,3086055.0,3085927
407,ECK120009396,b2508,guaB,Sigma70,2634114.0,2634114
408,ECK120009397,b3748,rbsD,Sigma70,3933314.0,3933314
409,ECK120009398,b2062,wza,Sigma70,2137591.0,2137270
410,ECK120009399,b3907,rhaT,Sigma70,4100573.0,4100573
411,ECK120009400,b1852,zwf,Sigma70,1936382.0,1936382
412,ECK120009401,b0093,ftsQ,Sigma38,102865.0,103110
413,ECK120009401,b0093,ftsQ,Sigma70,102865.0,103137
414,ECK120009402,b4062,soxS,Sigma70,4277431.0,4277431
415,ECK120009403,b0996,torC,Sigma70,1058049.0,1058068
416,ECK120009404,b4240,treB,Sigma70,4466219.0,4466219
417,ECK120009405,b0063,araB,Sigma70,70084.0,70084
418,ECK120009406,b3846,fadB,Sigma70,4031021.0,4031039
419,ECK120009407,b2240,glpT,Sigma70,2352458.0,2352405
420,ECK120009408,b3941,metF,Sigma70,4132543.0,4132615
421,ECK120009409,b3904,rhaB,Sigma70,4097479.0,4097510
422,ECK120009410,b4393,trpR,Sigma70,4632696.0,4632691
423,ECK120009411,b4129,lysU,Sigma70,4354807.0,4354775
424,ECK120009412,b1243,oppA,Sigma28,1301078.0,1301182
425,ECK120009413,b1814,sdaA,Sigma32,1896798.0,1896916
426,ECK120009414,b2913,serA,Sigma70,3058463.0,3058463
