locus_tag,left,right,mode,final_state,tf,source
ECK125258271,3667676,3667695,activator,GadX,GadX,RegulonDB
ECK125258313,3667655,3667674,activator,GadX,GadX,RegulonDB
ECK120012094,3667660,3667680,activator,GadE-RcsB,GadE,RegulonDB
,,,,,,
ECK120034568,1157673,1157693,activator,SoxS,SoxS,RegulonDB
ECK120012231,1157674,1157688,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120012425,1488195,1488209,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120013803,1488178,1488192,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120012423,1488184,1488198,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120013277,3792647,3792661,activator,Lrp,Lrp,RegulonDB
ECK120012947,3792636,3792650,activator,Lrp,Lrp,RegulonDB
,,,,,,
ECK120013705,754919,754933,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120012996,754924,754938,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120013701,754814,754828,activator,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120013003,754807,754821,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120013507,848148,848164,activator,NtrC-P<sup>asp</sup>,NtrC,RegulonDB
ECK120013511,848174,848190,repressor,NtrC-P<sup>asp</sup>,NtrC,RegulonDB
ECK120013139,848161,848177,activator,NtrC-P<sup>asp</sup>,NtrC,RegulonDB
,,,,,,
ECK120013551,1936418,1936437,activator,SoxS,SoxS,RegulonDB
ECK120013181,1936420,1936439,activator,Rob,Rob,RegulonDB
,,,,,,
ECK125258487,2250758,2250777,activator,Rob,Rob,RegulonDB
ECK125285742,2250770,2250789,activator,SoxS,SoxS,RegulonDB
ECK120013247,2250759,2250778,activator,SoxS,SoxS,RegulonDB
,,,,,,
ECK125141983,1686680,1686699,activator,Rob,Rob,RegulonDB
ECK120013251,1686681,1686700,activator,SoxS,SoxS,RegulonDB
,,,,,,
gaos4_67,2799057,2799086,,,YidZ,Gao
ECK120013349,2799068,2799083,activator,Lrp,Lrp,RegulonDB
,,,,,,
ECK120013817,329428,329442,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120013480,329416,329430,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120033000,127683,127697,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120013638,127692,127706,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
gaos4_47,1755455,1755485,,,YidZ,Gao
gaos4_270,1755480,1755515,,,YfeC,Gao
ECK120013645,1755476,1755493,repressor,Cra,Cra,RegulonDB
,,,,,,
ECK125258672,1488019,1488038,activator,SoxS,SoxS,RegulonDB
ECK125258672,1488019,1488038,activator,Rob,Rob,RegulonDB
ECK120013801,1488026,1488040,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120016176,2312759,2312773,repressor,Lrp,Lrp,RegulonDB
ECK120013839,2312761,2312772,repressor,Lrp-leucine,Lrp,RegulonDB
,,,,,,
ECK120013871,2312852,2312866,repressor,Lrp,Lrp,RegulonDB
ECK120013853,2312853,2312867,repressor,Lrp,Lrp,RegulonDB
,,,,,,
ECK120014130,131455,131469,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120014128,131464,131478,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120014134,131399,131413,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120014132,131393,131407,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120014138,131369,131383,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
ECK120014136,131373,131387,repressor,ArcA-Phosphorylated,ArcA,RegulonDB
,,,,,,
ECK120034487,3656848,3656863,repressor,Lrp-leucine,Lrp,RegulonDB
ECK120017085,3656856,3656875,activator,GadX,GadX,RegulonDB
,,,,,,
ECK120030317,102695,102712,repressor,SdiA,SdiA,RegulonDB
ECK120018541,102697,102714,repressor,SdiA,SdiA,RegulonDB
,,,,,,
ECK120029432,3058479,3058493,repressor,Nac,Nac,RegulonDB
ECK120029430,3058468,3058482,repressor,Nac,Nac,RegulonDB
,,,,,,
ECK120048733,3656835,3656854,activator,GadX,GadX,RegulonDB
ECK120034485,3656839,3656854,repressor,Lrp-leucine,Lrp,RegulonDB
,,,,,,
ECK120048903,3656908,3656927,dual,GadX,GadX,RegulonDB
ECK125109421,3656899,3656918,activator,GadE,GadE,RegulonDB
ECK120034491,3656900,3656915,repressor,Lrp-leucine,Lrp,RegulonDB
,,,,,,
ECK125108671,3068873,3068889,activator,Lrp-leucine,Lrp,RegulonDB
ECK120034995,3068860,3068879,activator,ArgP-arginine,ArgP,RegulonDB
,,,,,,
gaos4_309,1298463,1298493,,,YciT,Gao
ECK120035008,1298472,1298485,repressor,Lrp,Lrp,RegulonDB
,,,,,,
ECK125285721,3653856,3653875,activator,GadX,GadX,RegulonDB
ECK120048731,3653866,3653885,activator,GadX,GadX,RegulonDB
,,,,,,
ECK125141215,3068880,3068900,activator,ArgP-arginine,ArgP,RegulonDB
ECK125108673,3068894,3068910,activator,Lrp-leucine,Lrp,RegulonDB
,,,,,,
gaos4_243,4551475,4551508,,,YdcN,Gao
ECK125108951,4551478,4551494,repressor,OxyR,OxyR,RegulonDB
,,,,,,
ECK125110193,3155238,3155262,activator,YqhC,YqhC,RegulonDB
ECK125110191,3155217,3155241,activator,YqhC,YqhC,RegulonDB
,,,,,,
ECK125258783,1619022,1619041,activator,Rob,Rob,RegulonDB
ECK125258783,1619022,1619041,activator,SoxS,SoxS,RegulonDB
ECK125134876,1619012,1619029,repressor,Cra,Cra,RegulonDB
,,,,,,
ECK125162227,1440872,1440891,activator,SoxS,SoxS,RegulonDB
ECK125162225,1440876,1440895,activator,SoxS,SoxS,RegulonDB
,,,,,,
ECK125285693,3664840,3664859,repressor,GadX,GadX,RegulonDB
ECK125258386,3664825,3664844,activator,GadX,GadX,RegulonDB
,,,,,,
gaos4_417,863884,863930,,,YqhC,Gao
gaos4_568,863882,863929,,,YbeF,Gao
gaos4_23,863884,863929,,,YidZ,Gao
,,,,,,
gaos4_532,1834142,1834184,,,YcaN,Gao
gaos4_49,1834130,1834177,,,YidZ,Gao
,,,,,,
gaos4_223,3136062,3136098,,,YdcN,Gao
gaos4_76,3136061,3136103,,,YidZ,Gao
,,,,,,
gaos4_409,4066583,4066621,,,YdhB,Gao
gaos4_528,4066582,4066630,,,YneJ,Gao
gaos4_536,4066578,4066617,,,YcaN,Gao
gaos4_570,4066579,4066621,,,YbeF,Gao
gaos4_584,4066599,4066632,,,YbhD,Gao
gaos4_95,4066582,4066629,,,YidZ,Gao
,,,,,,
gaos4_471,4328478,4328515,,,YebK,Gao
gaos4_104,4328485,4328529,,,YidZ,Gao
,,,,,,
gaos4_278,3138850,3138887,,,YfeC,Gao
gaos4_157,3138835,3138854,,,YcjW,Gao
,,,,,,
gaos4_415,89583,89623,,,YqhC,Gao
gaos4_183,89583,89620,,,YdcN,Gao
,,,,,,
gaos4_388,1250169,1250200,,,YdhB,Gao
gaos4_561,1250168,1250203,,,YfiE,Gao
gaos4_586,1250168,1250198,,,YhjB,Gao
gaos4_199,1250169,1250198,,,YdcN,Gao
,,,,,,
gaos4_312,1608737,1608761,,,YciT,Gao
gaos4_458,1608737,1608761,,,YebK,Gao
gaos4_203,1608739,1608761,,,YdcN,Gao
,,,,,,
gaos4_400,3242814,3242837,,,YdhB,Gao
gaos4_428,3242814,3242837,,,YqhC,Gao
gaos4_227,3242823,3242837,,,YdcN,Gao
,,,,,,
gaos4_578,3717921,3717960,,,YidL,Gao
gaos4_581,3717921,3717960,,,YehT,Gao
gaos4_234,3717903,3717943,,,YdcN,Gao
,,,,,,
gaos4_501,3803812,3803858,,,YiaU,Gao
gaos4_235,3803812,3803854,,,YdcN,Gao
,,,,,,
gaos4_494,4549516,4549528,,,YedW,Gao
gaos4_573,4549516,4549528,,,YcfQ,Gao
gaos4_242,4549516,4549527,,,YdcN,Gao
,,,,,,
gaos4_421,1608739,1608761,,,YqhC,Gao
gaos4_544,1608739,1608761,,,YdiP,Gao
gaos4_391,1608739,1608760,,,YdhB,Gao
,,,,,,
gaos4_431,3451328,3451350,,,YqhC,Gao
gaos4_468,3451328,3451350,,,YebK,Gao
gaos4_491,3451306,3451379,,,YedW,Gao
gaos4_507,3451332,3451365,,,YhjC,Gao
gaos4_521,3451328,3451363,,,YihW,Gao
gaos4_403,3451334,3451363,,,YdhB,Gao
,,,,,,
gaos4_433,3490475,3490497,,,YqhC,Gao
gaos4_404,3490483,3490497,,,YdhB,Gao
,,,,,,
gaos4_514,4465585,4465632,,,YhjC,Gao
gaos4_412,4465564,4465595,,,YdhB,Gao
,,,,,,
gaos4_523,113398,113418,,,YneJ,Gao
gaos4_416,113379,113405,,,YqhC,Gao
,,,,,,
gaos4_464,3208734,3208767,,,YebK,Gao
gaos4_427,3208730,3208759,,,YqhC,Gao
,,,,,,
gaos4_503,4465567,4465595,,,YiaU,Gao
gaos4_436,4465583,4465595,,,YqhC,Gao
,,,,,,
gaos4_486,2267821,2267851,,,YedW,Gao
gaos4_459,2267818,2267850,,,YebK,Gao
,,,,,,
gaos4_519,2744234,2744268,,,YihW,Gao
gaos4_462,2744235,2744267,,,YebK,Gao
,,,,,,
gaos4_506,3352671,3352702,,,YhjC,Gao
gaos4_467,3352666,3352707,,,YebK,Gao
,,,,,,
gaos4_510,3717903,3717933,,,YhjC,Gao
gaos4_469,3717903,3717932,,,YebK,Gao
,,,,,,
gaos4_549,3352525,3352565,,,YjhI,Gao
gaos4_567,3352535,3352569,,,YahB,Gao
gaos4_490,3352522,3352561,,,YedW,Gao
,,,,,,
gaos4_505,4617577,4617608,,,YiaU,Gao
gaos4_495,4617587,4617614,,,YedW,Gao
,,,,,,
gaos4_550,3579003,3579045,,,YjhI,Gao
gaos4_508,3578975,3579005,,,YhjC,Gao
,,,,,,
gaos4_575,4048012,4048046,,,YihL,Gao
gaos4_511,4047990,4048023,,,YhjC,Gao
,,,,,,
gaos4_559,2924227,2924268,,,YeaM,Gao
gaos4_541,2924227,2924258,,,YgaV,Gao
,,,,,,
gaos4_560,3982780,3982824,,,YeaM,Gao
gaos4_542,3982759,3982787,,,YgaV,Gao
,,,,,,
gaos4_551,4066582,4066627,,,YjhI,Gao
gaos4_547,4066582,4066608,,,YdiP,Gao
