,locus_tag,name,tss,strand
115,BSU_01580,ybaR,176926,1
116,BSU_01590,ybaS,178598,1
117,BSU_01600,ybbA,183358,-1
118,BSU_01610,feuC,183361,-1
119,BSU_01620,feuB,183364,-1
120,BSU_01640,btr,185056,-1
121,BSU_01650,ybbC,193009,-1
123,BSU_01720,ybbK,194072,-1
124,BSU_tRNA_75,trnSL-Glu2,194178,1
125,BSU_01730,sigW,194788,1
126,BSU_01740,rsiW,194821,1
127,BSU_01750,cdaA,196132,1
129,BSU_01770,glmM,199878,1
130,BSU_misc_RNA_5,glmS ribozyme,199957,1
131,BSU_01780,glmS,200014,1
132,BSU_01800,alkA,203507,-1
133,BSU_01810,adaA,203608,1
134,new_204977_205210,S72,204977,1
135,BSU_01889,ybzH,211414,1
136,BSU_01890,ybcL,212401,1
137,BSU_01900,ybcM,213283,1
138,BSU_01910,skfA,213888,1
140,BSU_01935,skfC,216321,1
141,BSU_02010,ybdK,221861,1
142,BSU_02019,ybzI,222945,1
143,BSU_02030,prkD,224181,-1
144,BSU_02040,ybdN,224970,-1
145,BSU_02050,ybdO,225023,1
146,BSU_02060,ybxG,226436,1
147,BSU_02070,csgA,228021,1
148,BSU_02090,ybxI,229382,-1
149,BSU_02100,cypC,229493,1
150,BSU_02110,ybyB,231118,-1
151,BSU_02120,aimA,231288,1
152,BSU_02130,glpQ,233928,-1
153,BSU_02140,glpT,235401,-1
154,new_234998_235624,S81,234998,1
155,BSU_02160,ybfA,235904,1
156,BSU_02180,ybfE,238569,-1
157,BSU_02181,ybfEn,241889,-1
158,BSU_02210,ybfH,243695,-1
159,BSU_02230,purT,243871,1
160,BSU_02240,mpr,245121,1
162,BSU_02260,ybfK,246583,1
164,BSU_02280,ybfM,246908,1
166,BSU_02310,ybfO,249934,1
169,BSU_02340,gltP,254805,-1
170,BSU_02350,gamP,257635,-1
171,BSU_02360,gamA,258596,-1
172,BSU_02370,gamR,256685,1
173,BSU_02380,ybgB,257750,1
174,BSU_02390,ybgE,258889,1
175,BSU_02400,ybgF,261647,-1
176,BSU_02410,ybgG,262658,-1
177,BSU_02420,glnT,265269,-1
178,BSU_02440,glnK,265279,1
179,BSU_02460,ycbC,267772,1
182,BSU_02490,ycbF,273206,1
184,BSU_02530,rtpA,276798,1
186,BSU_02550,ycbL,278308,1
188,BSU_02590,ycbP,282200,-1
189,BSU_02600,cwlJ,282446,1
190,BSU_02610,ycbR,282963,1
191,BSU_02620,phoD,283984,1
193,BSU_02650,pcp,287449,-1
194,BSU_02660,ycbU,287471,1
195,BSU_02670,lmrB,290740,-1
196,BSU_02690,ansZ,290888,1
197,BSU_02700,lip,292159,1
198,BSU_02710,yczC,293301,-1
199,BSU_02720,yccF,293466,1
200,BSU_02740,natR,296315,-1
201,BSU_02750,natA,296394,1
202,BSU_02770,yccK,298401,1
204,BSU_02800,ycdC,302355,1
205,BSU_02810,cwlK,304390,-1
206,BSU_02820,rapJ,304379,1
207,BSU_02830,ycdF,305616,1
209,BSU_02850,znuA,308272,1
211,BSU_02870,znuB,308911,1
212,BSU_02880,yceB,311915,-1
213,BSU_02890,yceC,311859,1
216,BSU_02920,yceF,312067,1
219,BSU_02950,niaP,317687,1
220,BSU_02970,yceK,320725,-1
221,BSU_02980,opuAA,320952,1
223,BSU_03000,opuAC,320989,1
224,BSU_03010,amhX,325266,-1
225,BSU_03020,ycgA,325280,1
226,BSU_03030,ycgB,326116,1
228,BSU_03050,ldh,329715,1
230,BSU_03070,mdr,334062,-1
231,BSU_03080,ycgE,334027,1
232,BSU_03090,ycgF,334600,1
233,BSU_03100,ycgG,335301,1
234,BSU_03110,ycgH,337469,-1
235,BSU_03120,ycgI,337525,1
236,BSU_03130,nadE,338204,1
237,BSU_03140,tmrB,339779,-1
238,new_339807_339955_c,S111,339965,-1
239,BSU_03150,aroK,339881,1
240,BSU_03160,ycgJ,341412,-1
241,BSU_03170,ycgK,341441,1
243,BSU_03190,ycgL,342981,1
244,BSU_03200,putB,344499,1
246,BSU_03220,putP,346478,1
247,new_347670_349525_c,S117,349535,-1
248,BSU_03230,putR,348694,1
249,BSU_03240,ycgQ,351794,-1
250,BSU_03250,ycgR,352735,-1
251,BSU_03260,ycgS,352803,-1
252,BSU_03270,ycgT,352794,1
253,BSU_03280,nasF,355641,-1
254,BSU_03290,nasE,358211,-1
255,BSU_03300,nasD,362797,-1
256,BSU_03330,nasA,362897,1
257,BSU_03340,folEB,364221,1
258,BSU_03350,yciB,365802,1
259,BSU_03370,yckA,368892,-1
261,BSU_03390,yckC,369188,1
262,BSU_03400,yckD,369746,1
263,BSU_03410,yckE,370218,1
264,BSU_03420,nin,372164,-1
265,BSU_03430,nucA,372626,-1
266,BSU_03440,tlpC,374531,-1
267,BSU_03450,hxlB,375839,-1
268,BSU_03470,hxlR,375946,1
269,BSU_03480,srfAA,376678,1
270,BSU_03530,ycxA,403164,1
271,BSU_03540,ycxB,404513,-1
272,BSU_03550,ycxC,405046,-1
273,BSU_03570,sfp/2,408174,-1
274,BSU_03580,yczE,408919,-1
275,BSU_03590,tcyC,411523,-1
277,BSU_03620,bsdA,412195,-1
278,BSU_03630,bsdB,412533,1
279,BSU_03660,yclE,415291,1
280,BSU_03670,dtpT,417761,-1
281,BSU_03680,yclG,417751,1
282,BSU_03690,gerKD,420005,-1
283,BSU_03700,gerKA,420089,1
284,BSU_03750,yclJ,426537,1
285,BSU_03770,rapC,428799,1
286,BSU_03780,phrC,429697,1
287,BSU_03788,yczM,430501,-1
289,BSU_03790,thrD,432039,-1
290,BSU_03800,fpbN,432210,1
291,BSU_03810,fpbO,432271,1
292,BSU_03840,ycnB,438427,-1
294,BSU_03860,ycnD,439629,-1
295,BSU_03870,ycnE,440355,-1
296,BSU_03880,yczG,439575,1
297,BSU_03890,gabR,441510,-1
298,BSU_03900,gabT,441543,1
299,BSU_03910,gabD,442793,1
300,BSU_03920,glcU,444430,1
302,BSU_03940,ycnI,449070,-1
304,BSU_03970,ycnL,449167,1
305,BSU_03981,mtlA,449641,1
306,BSU_04000,ycsA,452789,1
307,BSU_04010,sipU,453994,1
308,BSU_04020,yczH,455301,-1
309,BSU_04030,ycsD,455319,1
310,BSU_04039,yczO,455967,-1
311,BSU_04040,ycsE,456021,1
312,BSU_04050,pxpA,456926,1
314,BSU_04070,ycsI,461239,1
315,BSU_04080,pxpB,462398,1
316,BSU_04120,yczI,463169,1
317,BSU_04130,yczJ,463820,-1
318,BSU_04140,pbpC,463903,1
319,BSU_04160,mtlR,467042,1
320,BSU_04170,ydaB,469275,1
321,BSU_04180,ydaC,471583,-1
322,BSU_04190,ydaD,471679,1
324,BSU_04210,ydaF,473140,1
325,BSU_04220,ydaG,473775,1
326,new_474268_474634,S140,474268,1
327,BSU_04230,amj,474698,1
328,BSU_04240,ydzA,475918,-1
329,BSU_04250,lrpC,475908,1
331,BSU_04270,ydaJ,478812,1
332,BSU_04320,kimA,486082,1
333,BSU_04340,ydaP,488811,1
334,new_490527_490638_c,S144,490638,-1
335,new_490639_490854,S145,490639,1
336,BSU_04359,ydzK,491077,-1
337,BSU_04360,mntH,492498,-1
338,BSU_04380,ydaT,493477,-1
339,BSU_04390,ydbA,493510,1
340,BSU_04400,gsiB,494479,1
341,BSU_04410,ydbB,494982,1
343,BSU_04430,ydbD,496586,-1
344,BSU_04440,dctB,497716,-1
345,BSU_04450,dctS,496981,1
346,BSU_04460,dctR,500124,1
347,BSU_04480,ydbI,501517,1
348,BSU_04510,ydbL,504658,1
349,BSU_04520,ydbM,505114,1
350,BSU_04530,fbpB,506672,-1
351,BSU_04540,ydbO,506836,1
352,BSU_04550,ydbP,508109,-1
353,BSU_04560,ddl,508090,1
355,BSU_04580,cshA,510818,1
356,BSU_04590,ydbS,512756,1
357,BSU_04600,ydbT,512787,1
358,BSU_04610,ydcA,515649,-1
359,BSU_04620,acpS,515108,1
360,BSU_04630,ydcC,516115,1
361,BSU_04640,alr,517330,1
363,BSU_04660,ndoA,518496,1
364,new_519083_519559_c,S163,519559,-1
365,BSU_04670,rsbR,519362,1
367,BSU_04690,rsbT,522056,1
370,BSU_04760,ydcG,524788,1
371,BSU_04780,ydcI,525697,1
372,BSU_04790,ydcK,527912,1
373,BSU_tRNA_45,trnS-Asn,528616,1
374,BSU_04800,int,531554,-1
376,BSU_04839,ydzL,531740,1
379,new_532412_532652_c,sncO,532652,-1
383,BSU_04870,nicK,537526,1
385,BSU_05000,yddK,547029,-1
386,BSU_05040,yddN,550948,-1
387,BSU_05050,lrpA,551073,1
388,BSU_05080,yddR,553661,1
389,BSU_05109,ydzN,557818,1
392,BSU_05130,ydeB,560664,-1
393,BSU_05140,ydzE,562523,-1
394,BSU_05170,ydeE,564591,-1
395,BSU_05180,ydeF,564674,1
396,BSU_05200,ydeH,567540,1
397,BSU_05210,ydeI,568211,1
398,BSU_05220,ydeJ,570005,-1
399,BSU_05230,ydeK,571323,-1
400,BSU_05240,ydeL,571313,1
401,BSU_05250,ydeM,572940,1
402,BSU_05260,ydeN,574469,-1
403,BSU_05280,ydeO,574656,1
404,BSU_05290,ydeP,576165,-1
405,BSU_05300,ydeQ,576175,1
406,BSU_05320,ydeS,578287,1
407,BSU_05330,aseR,579354,1
408,BSU_05350,ydfB,581676,1
409,BSU_05380,ydfE,585821,-1
410,BSU_05390,ydfF,585834,1
411,BSU_05400,ydfG,587118,-1
412,BSU_05430,ydfJ,589681,1
413,BSU_05440,nap,593301,-1
414,BSU_05450,ydfK,594123,-1
415,BSU_05460,ydfL,595040,-1
416,BSU_05470,mneP,596093,-1
417,BSU_05480,mhqN,596320,1
419,BSU_05500,mhqP,596833,1
420,BSU_05510,ydfQ,598659,1
421,BSU_05529,ydzR,600143,-1
422,BSU_05530,ydfR,600872,-1
423,BSU_05540,ydfS,600956,1
424,BSU_05550,cotP,602739,-1
425,BSU_05580,ydgC,602963,1
426,new_606414_606611_c,ncr1575,606615,-1
427,BSU_05620,ydgF,608140,-1
428,BSU_05630,bstG,608809,-1
429,BSU_05640,ydgG,608886,1
431,BSU_05660,ydgI,613337,-1
432,BSU_05680,ydgK,613552,1
433,BSU_05690,ydhB,615761,-1
434,BSU_05700,ydhC,615818,1
435,BSU_05710,ydhD,616631,1
436,BSU_05720,ydhE,618045,1
437,BSU_05730,ydhF,621522,-1
438,BSU_05740,phoB,621604,-1
439,BSU_05750,fra,621713,1
440,BSU_05760,ydhH,623329,-1
441,BSU_05780,ydhJ,622988,1
442,BSU_05790,ydhK,624406,1
443,BSU_05800,pbuE,626470,-1
444,BSU_05810,gmuB,626591,1
445,BSU_05830,gmuC,630116,1
446,BSU_05899,ydhU/2,634817,-1
447,BSU_tRNA_79,trnE-Arg,634920,1
448,BSU_05900,thiL,640606,1
449,BSU_05950,ydiF,646488,-1
450,BSU_05960,ydiG,646218,1
451,BSU_05970,rex,646411,1
452,BSU_05980,tatAY,647628,1
453,BSU_06000,ydiK,649721,-1
454,BSU_06020,groES,649696,1
456,BSU_06060,ydiO,655138,1
458,new_658495_658899,S214,658492,1
459,BSU_06083,ydzW/7,659341,-1
460,BSU_06090,ydiR,659560,1
462,BSU_06140,gutR,667304,-1
463,BSU_06150,gutB,667402,1
465,BSU_06170,fruC,670045,1
466,BSU_06180,pspA,671209,1
468,BSU_06220,ydjJ,675907,-1
469,BSU_06230,iolT,676154,1
470,BSU_06240,bdhA,679246,-1
471,BSU_06250,ydjM,678515,1
473,BSU_06270,ydjO,681508,-1
474,BSU_06280,ydjP,683237,-1
475,BSU_06290,yeaA,683390,-1
476,BSU_06300,cotA,685038,-1
477,BSU_06310,gabP,686596,-1
478,BSU_06320,mneS,686919,1
479,BSU_06330,yeaC,688138,1
480,BSU_06360,guaA,692609,1
481,BSU_06370,pbuG,694418,1
482,BSU_06380,yebC,696054,1
483,BSU_06390,yebD,697093,1
484,BSU_06400,yebE,697399,1
485,BSU_06410,yebG,697487,1
489,BSU_06440,purB,708029,1
490,BSU_06540,yezC,711954,-1
491,BSU_06559,yezF,713956,-1
492,BSU_06560,yerA,713619,1
494,BSU_06580,yerC,715398,1
495,BSU_06590,yerD,718390,-1
496,BSU_06600,pcrB,718571,1
497,BSU_06640,yerI,724870,1
498,BSU_06650,sapB,726774,-1
499,BSU_06660,opuE,727706,-1
500,BSU_06670,gatC,728598,1
501,BSU_06700,yerO,732905,-1
502,BSU_06710,swrC,732646,1
503,BSU_06720,dgkB,736378,1
505,BSU_06811,yezG,747928,-1
506,BSU_06812,yeeF,749600,-1
507,BSU_06830,rapH,750928,1
509,BSU_06840,yeeI,752359,1
510,BSU_06850,yeeK,753020,1
511,BSU_06860,yezE,753790,1
512,BSU_06890,cotJA,755877,1
514,BSU_06910,cotJC,757067,1
515,BSU_06940,yesL,758046,1
516,BSU_06970,rhiL,761622,1
517,BSU_07130,lplD,782720,1
518,BSU_07150,hmoA,785465,-1
519,BSU_07160,yetH,785942,-1
520,new_785976_786536_c,S249,786536,-1
521,BSU_07170,yetI,786640,1
522,BSU_07190,yezD,787660,1
525,BSU_07220,yetL,790188,-1
526,BSU_07240,yetN,792589,-1
527,BSU_07250,yetO,792642,1
528,BSU_07260,yfnI,795959,1
529,BSU_07270,yfnH,798360,1
531,BSU_07290,yfnF,801046,1
533,BSU_07310,yfnD,801209,1
534,BSU_07320,yfnC,804593,-1
535,BSU_07330,yfnB,805410,-1
536,BSU_07340,mtrA,806907,-1
537,BSU_07350,yfmT,807024,1
538,BSU_07370,yfmR,809516,1
539,BSU_07380,yfmQ,811518,1
540,BSU_07390,yfmP,812116,1
542,BSU_07420,yfmM,815994,-1
543,BSU_07430,yfmL,815808,1
544,BSU_07450,yfmJ,818854,-1
545,new_818976_820073,S253,818976,1
546,BSU_07460,yfmI,820575,-1
547,new_820648_820823,yfmH,820648,1
549,BSU_07490,fecF,826783,-1
551,BSU_07510,fecD,827324,-1
554,BSU_07540,yfmA,826093,1
555,BSU_07550,yflT,826720,1
556,BSU_07560,pel,827925,1
557,BSU_07570,yflS,829334,1
558,BSU_07580,citS,830920,1
560,BSU_07610,citM,834312,1
561,BSU_07620,yflN,835702,1
562,BSU_07630,nos,836620,1
563,BSU_07640,yflL,838038,-1
564,BSU_07660,yflJ,839051,-1
565,new_839062_840126,S265,839063,1
566,BSU_07670,yflI,840515,-1
567,BSU_07680,yflH,841664,-1
569,BSU_07700,nagP,840626,1
570,BSU_07710,ltaS,844071,-1
571,BSU_07720,yflD,843132,1
572,BSU_07735,yflB,844212,1
573,BSU_07750,yflA,844748,1
574,BSU_07760,yfkT,850227,-1
575,BSU_07770,yfkS,850425,-1
576,BSU_07780,yfkR,852163,-1
577,BSU_07800,treP,850321,1
578,BSU_07810,treA,853531,1
579,BSU_07830,hypO,854375,1
580,BSU_07840,yfkN,859552,-1
581,BSU_07850,yfkM,859702,1
582,BSU_07860,yfkL,861847,-1
584,BSU_07880,yfkJ,861953,1
585,BSU_07890,yfkI,861992,1
586,new_863681_863837,S275,863681,1
587,BSU_07910,yfkF,865077,-1
588,BSU_07920,chaA,864500,1
589,BSU_07930,yfkD,865155,1
590,BSU_07940,yfkC,869187,-1
591,BSU_07970,yfjT,869247,1
592,BSU_07980,pdaA,869513,1
593,BSU_07990,yfjR,871282,-1
594,BSU_08000,yfjQ,872320,-1
595,BSU_08010,yfjP,872394,1
597,BSU_08029,yfzA,875137,1
598,BSU_08030,yfjN,876178,1
599,BSU_08040,yfjM,877564,1
601,BSU_08060,acoA,878974,1
602,BSU_08100,acoR,883717,1
603,BSU_08110,sspH,885613,1
604,BSU_08120,yfjF,889747,-1
605,new_887222_887809,S283,887211,1
606,BSU_08180,malA,889996,1
607,BSU_08190,glvR,891402,1
608,BSU_08210,yfiB,893857,1
609,BSU_08230,catD,897540,1
610,BSU_08290,lnrJ,903786,1
611,BSU_08340,padR,909826,-1
612,BSU_08350,lipB,909975,1
613,BSU_08360,yfiQ,910795,1
614,new_911330_911718_c,S286,911718,-1
615,BSU_08370,yfiR,912620,-1
616,BSU_08380,yfiS,913852,-1
617,BSU_08390,bstA,913884,1
618,BSU_08400,yfiU,916052,-1
619,BSU_08410,yfiV,916647,-1
620,BSU_08425,mprF,916721,1
621,BSU_08440,yfiY,920387,-1
622,BSU_08450,yfiZ,920382,1
624,BSU_08470,yfhB,922575,1
626,BSU_08490,yfhD,924433,-1
627,BSU_08500,yfhE,924609,-1
628,BSU_08510,yfhF,925580,-1
629,BSU_08520,recX,925460,1
630,BSU_08540,yfhI,926843,1
631,BSU_08550,sspK,928317,-1
632,BSU_08560,yfhJ,928316,1
633,BSU_08570,yfhK,928757,1
634,BSU_08580,yfhL,929390,1
635,BSU_08600,csbB,930671,1
637,BSU_08620,yfhP,935587,-1
638,BSU_08630,mutY,934940,1
639,BSU_08640,yfhS,937023,-1
641,BSU_08660,sspE,935582,1
642,BSU_08670,ygaB,938271,1
643,BSU_08680,ygaC,938656,1
645,BSU_08700,ygaE,942327,-1
646,BSU_08710,gsaB,943785,-1
647,BSU_08720,ygaF,943852,1
648,BSU_08730,perR,944440,1
649,BSU_08740,ygzB,945334,-1
650,BSU_08750,ygxA,945324,1
657,BSU_tRNA_32,trnD-Val,945417,1
664,BSU_tRNA_39,trnD-His,946424,1
670,BSU_08760,spo0M,954198,-1
671,BSU_08770,ygzA,954257,1
672,BSU_08779,ygzC,954817,-1
673,BSU_08780,ygaJ,954860,1
674,BSU_08790,thiC,955662,1
675,BSU_08800,ygaK,959105,-1
676,BSU_08810,senS,959227,1
677,BSU_08820,katA,961023,-1
678,new_961009_961338,S309,960987,1
679,BSU_08830,ssuB,961271,1
681,BSU_08850,ssuC,965190,1
682,BSU_08880,rpsNB,965875,1
683,BSU_08899,ygzD,966914,-1
684,BSU_tRNA_82,trnSL-Gly1,967014,1
685,BSU_08900,yhzB,967897,-1
686,BSU_08920,yhbB,969126,1
687,BSU_08930,cspR,970099,1
688,BSU_08940,yhbD,970710,1
691,new_972833_973008_c,S313,973008,-1
692,BSU_08970,prkA,973108,1
693,BSU_08980,yhbH,975144,1
694,BSU_08990,yhbI,976518,1
696,BSU_09010,yhcA,976892,1
698,BSU_09030,yhcC,977068,1
700,BSU_09050,yhcE,980434,1
703,BSU_09110,yhcJ,984789,1
704,BSU_09120,dgcK,986844,-1
705,BSU_09130,tcyP,986959,1
706,BSU_09140,yhcM,988915,-1
707,BSU_09150,yhcN,988998,1
708,BSU_09165,yhcO,989673,1
709,BSU_09180,yhcQ,991292,-1
710,BSU_09190,yhcR,991371,1
711,BSU_09210,yhcT,996595,-1
712,BSU_09220,yhcU,996607,1
713,BSU_09230,yhcV,997159,1
714,BSU_09240,yhcW,997676,1
715,BSU_09260,yhxA,1000282,1
716,BSU_09280,glpF,1002354,1
717,BSU_09300,glpD,1004176,1
718,BSU_09310,pgcA,1006433,1
719,BSU_09320,yhcY,1008642,1
720,BSU_09350,yhdB,1011273,-1
721,BSU_09360,yhdC,1011391,1
722,BSU_09370,lytF,1013302,-1
723,BSU_09380,nsrR,1013889,-1
724,new_1013861_1013971,S326,1013861,1
725,BSU_09390,ygxB,1015527,-1
726,BSU_09400,spoVR,1015624,1
727,BSU_09410,phoA,1018487,-1
728,BSU_09420,lytE,1018650,1
729,BSU_09430,citR,1021001,-1
730,BSU_09440,citA,1021032,1
732,BSU_09460,bcaP,1023200,1
733,BSU_09470,yhdH,1024835,1
734,BSU_09480,yhdI,1027747,-1
735,BSU_09490,yhdJ,1027733,1
736,BSU_09500,yhdK,1030086,-1
737,BSU_09510,yhdL,1030162,-1
739,BSU_09530,yhdN,1030226,1
741,BSU_09550,mpfA,1033911,-1
742,BSU_09560,yhdQ,1033977,-1
743,BSU_09570,yhdR,1034010,1
744,BSU_09590,yhdT,1035397,1
745,BSU_09600,fluC,1038465,-1
746,BSU_09630,yhdX,1038529,1
747,BSU_09640,yhdY,1038871,1
748,BSU_09650,srtN,1040061,1
749,BSU_09660,yheN,1041812,-1
750,BSU_09670,dat,1041728,1
751,BSU_09680,nhaC,1044317,-1
752,BSU_09690,nhaX,1044915,-1
753,BSU_09700,bmrB,1044968,1
754,BSU_09730,yheG,1049791,-1
755,BSU_09740,yheF,1049949,-1
756,BSU_09750,sspB,1050350,-1
757,BSU_09760,yheE,1050719,-1
758,BSU_09770,yheD,1052589,-1
759,BSU_09780,yheC,1053363,-1
760,BSU_09790,yheB,1053458,1
761,BSU_09810,yhaZ,1056250,-1
762,new_1056384_1056537,rosA,1056373,1
763,BSU_09830,yhaX,1056671,1
764,BSU_09840,hemZ,1057649,1
765,BSU_09850,khtU,1061362,-1
766,BSU_09880,yhaR,1061430,1
767,BSU_09889,yhzD,1062511,-1
768,BSU_09890,yhaQ,1062566,1
769,BSU_09910,yhaO,1064811,1
770,BSU_09920,sbcE,1067385,1
771,BSU_09930,yhaM,1069011,1
772,BSU_09940,yhaL,1070069,1
773,BSU_09950,prsA,1071304,-1
774,BSU_09958,sscA,1071379,1
776,new_1071709_1071971_c,S348,1071971,-1
777,BSU_09965,yhaJ,1072609,-1
778,BSU_09980,yhaI,1072732,1
779,BSU_09990,scoC,1073765,-1
780,BSU_10000,yhaH,1074348,-1
781,BSU_10009,yhzF,1073737,1
782,BSU_10010,trpP,1075246,-1
783,BSU_10020,serC,1076418,-1
784,BSU_10030,hit,1076999,-1
785,new_1077024_1077320_c,S357,1077324,-1
786,BSU_10040,ecsA,1077410,1
787,BSU_10070,sndC,1081385,-1
789,BSU_10100,hmoB,1083763,-1
790,BSU_10110,pbpF,1083783,1
791,BSU_10120,hemE,1086062,1
793,BSU_10150,yhgD,1089696,1
794,BSU_10160,yhgE,1090092,1
795,BSU_10170,fabHB,1093779,-1
796,BSU_10180,yhfC,1093832,1
797,new_1094366_1094987_c,S359,1094986,-1
798,BSU_10200,yhfE,1095024,1
799,BSU_10220,gltT,1097950,-1
800,BSU_10230,yhfH,1098298,-1
801,BSU_10240,yhfI,1098365,1
802,BSU_10270,lcfB,1100926,1
803,BSU_10280,yhfM,1102971,-1
804,BSU_10290,yhfN,1103051,1
805,BSU_10300,aprE,1105626,-1
806,BSU_10310,yhfO,1105972,1
809,BSU_10340,yhfR,1109353,-1
810,BSU_10350,yhfS,1111949,-1
811,BSU_10360,yhfT,1112524,-1
812,BSU_10380,hemAT,1113975,-1
813,BSU_10390,yhfW,1115610,-1
814,BSU_10400,yhxC,1115659,1
815,BSU_10410,yhzC,1116855,-1
816,BSU_10420,comK,1116836,1
817,BSU_10430,yhxD,1118677,-1
818,BSU_10440,yhjA,1117835,1
819,BSU_10450,yhjB,1120947,-1
820,BSU_10470,yhjD,1121446,-1
821,BSU_10480,yhjE,1121258,1
822,BSU_10490,sipV,1121508,1
823,BSU_10500,yhjG,1122762,1
824,BSU_10510,yhjH,1124388,1
825,BSU_10520,glcP,1129653,-1
826,new_1125843_1126369,S372,1125844,1
828,BSU_10560,ntdR,1128482,1
829,BSU_10570,yhjN,1132143,-1
830,BSU_10590,yhjP,1133410,1
831,BSU_10600,yhjQ,1136171,-1
833,BSU_10620,addB,1136292,1
835,BSU_10650,sbcC,1147424,1
836,BSU_10670,gerPF,1150514,-1
837,new_1150464_1151119,S381,1150464,1
838,BSU_10730,yisI,1151067,-1
839,BSU_10740,yisJ,1152122,-1
840,BSU_10750,yisK,1152198,1
842,BSU_10770,wprA,1153742,1
843,BSU_10780,yisN,1157125,-1
844,BSU_10790,asnO,1157182,1
845,BSU_10800,bstH,1159710,-1
846,BSU_10810,yisP,1159899,1
847,BSU_10830,yisR,1162208,1
848,BSU_10850,iolX,1164254,1
849,BSU_10860,bstC,1165987,-1
850,BSU_10880,yisV,1166718,1
851,BSU_10890,yisX,1168972,-1
852,BSU_10900,yisY,1168908,1
853,BSU_10910,yisZ,1172512,-1
854,BSU_10940,yitC,1172620,1
855,BSU_10960,yitE,1174816,-1
856,BSU_10970,yitF,1177273,-1
857,BSU_10990,yitH,1178702,-1
858,BSU_11010,yitJ,1180868,-1
859,BSU_11020,yitK,1181442,-1
860,BSU_11030,yitL,1181437,1
861,BSU_11040,yitM,1183116,-1
862,BSU_11055,yitO,1184529,-1
863,BSU_11079,yizB,1184645,1
865,BSU_11110,yitS,1188615,-1
866,BSU_11120,yitT,1188127,1
867,BSU_11130,ipi,1188652,1
868,BSU_11139,yizC,1190430,-1
869,BSU_11140,yitU,1191360,-1
870,BSU_11150,yitV,1191381,1
871,BSU_11160,yitW,1192219,1
