,locus_tag,name,left,right,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right
103,BSU_01140,ybaC,134171,135127,1,134136,A,134116,134134,134093,134111
104,BSU_01150,rpsJ,135364,135672,1,135170,A,135150,135168,135127,135145
105,BSU_01480,truA,152937,153680,1,153211,?,153191,153209,153168,153186
106,new_153039_153507_c,S58,153039,153507,-1,153529,K,153511,153529,153484,153502
107,BSU_misc_RNA_4,ldlM,153736,153793,1,153725,A,153705,153723,153680,153698
108,BSU_01510,ybaJ,155156,155923,1,154838,A,154820,154838,154793,154811
109,BSU_01520,ybaK,156109,156552,1,156089,"F, G",156070,156088,156046,156064
110,BSU_01530,cwlD,156612,157325,1,156588,"E, F",156570,156588,156543,156561
111,BSU_01540,salA,157421,158479,1,157370,A,157350,157368,157326,157344
112,BSU_01550,gerD,158515,159072,-1,159100,"F, G",159081,159099,159057,159075
113,BSU_01570,pdaB,159779,160543,-1,160581,"E, F",160561,160579,160536,160554
114,BSU_rRNA_23,rrnI-16S,160893,162445,1,160675,A,160657,160675,160632,160650
115,BSU_01580,ybaR,177083,178519,1,176926,A,176908,176926,176883,176901
116,BSU_01590,ybaS,178665,179585,1,178598,A,178580,178598,178555,178573
117,BSU_01600,ybbA,179595,180347,-1,183358,A,183340,183358,183314,183332
118,BSU_01610,feuC,180344,181354,-1,183361,A,183341,183359,183316,183334
119,BSU_01620,feuB,181347,182351,-1,183364,A,183345,183363,183320,183338
120,BSU_01640,btr,183414,185003,-1,185056,A,185036,185054,185011,185029
121,BSU_01650,ybbC,185194,186438,-1,193009,A,192991,193009,192965,192983
123,BSU_01720,ybbK,193570,194025,-1,194072,A,194053,194071,194028,194046
124,BSU_tRNA_75,trnSL-Glu2,194204,194279,1,194178,A,194158,194176,194134,194152
125,BSU_01730,sigW,194849,195412,1,194788,"W, X, Y",194768,194786,194744,194762
126,BSU_01740,rsiW,195426,196052,1,194821,W,194801,194819,194777,194795
127,BSU_01750,cdaA,196213,197034,1,196132,A,196114,196132,196087,196105
129,BSU_01770,glmM,198497,199843,1,199878,K,199860,199878,199833,199851
130,BSU_misc_RNA_5,glmS ribozyme,200016,200187,1,199957,A,199938,199956,199912,199930
131,BSU_01780,glmS,200277,202079,1,200014,?,199996,200014,199969,199987
132,BSU_01800,alkA,202547,203458,-1,203507,A,203487,203505,203464,203482
133,BSU_01810,adaA,203729,204364,1,203608,A,203589,203607,203564,203582
134,new_204977_205210,S72,204977,205210,1,204977,A,204957,204975,204934,204952
135,BSU_01889,ybzH,211429,211731,1,211414,A,211394,211412,211371,211389
136,BSU_01890,ybcL,211859,213031,1,212401,A,212382,212400,212356,212374
137,BSU_01900,ybcM,213155,213469,1,213283,?,213264,213282,213239,213257
138,BSU_01910,skfA,213941,214108,1,213888,A,213870,213888,213844,213862
140,BSU_01935,skfC,215404,216894,1,216321,H,216302,216320,216278,216296
141,BSU_02010,ybdK,221950,222912,1,221861,A,221842,221860,221818,221836
142,BSU_02019,ybzI,222971,223234,1,222945,A,222927,222945,222900,222918
143,BSU_02030,prkD,223219,223989,-1,224181,K,224162,224180,224136,224154
144,BSU_02040,ybdN,224075,224932,-1,224970,A,224952,224970,224926,224944
145,BSU_02050,ybdO,225064,226248,1,225023,D,225003,225021,224978,224996
146,BSU_02060,ybxG,226566,227954,1,226436,A,226416,226434,226391,226409
147,BSU_02070,csgA,228066,228314,1,228021,"F, G",228003,228021,227978,227996
148,BSU_02090,ybxI,228549,229352,-1,229382,H,229362,229380,229338,229356
149,BSU_02100,cypC,229525,230778,1,229493,B,229473,229491,229448,229466
150,BSU_02110,ybyB,230819,231079,-1,231118,B,231098,231116,231074,231092
151,BSU_02120,aimA,231348,232967,1,231288,A,231269,231287,231243,231261
152,BSU_02130,glpQ,233014,233895,-1,233928,"?, A",233909,233927,233883,233901
153,BSU_02140,glpT,233994,235328,-1,235401,?,235381,235399,235357,235375
154,new_234998_235624,S81,234998,235624,1,234998,K,234978,234996,234954,234972
155,BSU_02160,ybfA,235965,236882,1,235904,A,235886,235904,235860,235878
156,BSU_02180,ybfE,238164,238448,-1,238569,"E, F",238551,238569,238525,238543
157,BSU_02181,ybfEn,238354,238476,-1,241889,?,241869,241887,241845,241863
158,BSU_02210,ybfH,241917,242837,-1,243695,A,243677,243695,243651,243669
159,BSU_02230,purT,243892,245046,1,243871,A,243852,243870,243827,243845
160,BSU_02240,mpr,245190,246131,1,245121,"E, F",245102,245120,245077,245095
162,BSU_02260,ybfK,246658,247548,1,246583,A,246563,246581,246538,246556
164,BSU_02280,ybfM,248268,248756,1,246908,D,246888,246906,246865,246883
166,BSU_02310,ybfO,249979,251319,1,249934,"W, X, Y",249916,249934,249890,249908
169,BSU_02340,gltP,253518,254762,-1,254805,H,254787,254805,254762,254780
170,BSU_02350,gamP,254907,256802,-1,257635,A,257615,257633,257590,257608
171,BSU_02360,gamA,256823,257572,-1,258596,B,258576,258594,258551,258569
172,BSU_02370,gamR,257791,258498,1,256685,A,256667,256685,256640,256658
173,BSU_02380,ybgB,258532,258807,1,257750,A,257730,257748,257705,257723
174,BSU_02390,ybgE,259016,260086,1,258889,A,258871,258889,258844,258862
175,BSU_02400,ybgF,260123,261535,-1,261647,A,261629,261647,261603,261621
176,BSU_02410,ybgG,261656,262603,-1,262658,A,262639,262657,262615,262633
177,BSU_02420,glnT,262732,264168,-1,265269,A,265249,265267,265225,265243
178,BSU_02440,glnK,265476,266708,1,265279,A,265259,265277,265235,265253
179,BSU_02460,ycbC,267890,268816,1,267772,A,267754,267772,267729,267747
182,BSU_02490,ycbF,271800,273167,1,273206,A,273186,273204,273161,273179
184,BSU_02530,rtpA,277160,277321,1,276798,A,276780,276798,276753,276771
186,BSU_02550,ycbL,278377,279057,1,278308,A,278289,278307,278265,278283
188,BSU_02590,ycbP,281769,282155,-1,282200,B,282182,282200,282156,282174
189,BSU_02600,cwlJ,282469,282897,1,282446,"E, F",282428,282446,282401,282419
190,BSU_02610,ycbR,283003,283734,1,282963,A,282945,282963,282919,282937
191,BSU_02620,phoD,284011,285762,1,283984,"?, A",283966,283984,283941,283959
193,BSU_02650,pcp,286773,287420,-1,287449,A,287429,287447,287405,287423
194,BSU_02660,ycbU,287499,288611,1,287471,A,287452,287470,287428,287446
195,BSU_02670,lmrB,288653,290092,-1,290740,A,290722,290740,290695,290713
196,BSU_02690,ansZ,290915,292042,1,290888,A,290869,290887,290845,290863
197,BSU_02700,lip,292205,292843,1,292159,A,292141,292159,292116,292134
198,BSU_02710,yczC,292881,293264,-1,293301,A,293283,293301,293258,293276
199,BSU_02720,yccF,293499,294575,1,293466,A,293448,293466,293422,293440
200,BSU_02740,natR,295584,296285,-1,296315,A,296295,296313,296272,296290
201,BSU_02750,natA,296429,297169,1,296394,A,296376,296394,296349,296367
202,BSU_02770,yccK,298466,299398,1,298401,H,298382,298400,298356,298374
204,BSU_02800,ycdC,302435,303796,1,302355,A,302335,302353,302312,302330
205,BSU_02810,cwlK,303804,304307,-1,304390,A,304372,304390,304346,304364
206,BSU_02820,rapJ,304430,305551,1,304379,A,304359,304377,304336,304354
207,BSU_02830,ycdF,305658,306434,1,305616,B,305596,305614,305571,305589
209,BSU_02850,znuA,308332,309291,1,308272,A,308252,308270,308228,308246
211,BSU_02870,znuB,310000,310842,1,308911,A,308892,308910,308868,308886
212,BSU_02880,yceB,310880,311875,-1,311915,A,311897,311915,311870,311888
213,BSU_02890,yceC,312159,312758,1,311859,A,311840,311858,311816,311834
216,BSU_02920,yceF,314025,314798,1,312067,"A, W, X, Y",312049,312067,312024,312042
219,BSU_02950,niaP,317725,318927,1,317687,A,317669,317687,317644,317662
220,BSU_02970,yceK,320421,320723,-1,320725,A,320707,320725,320680,320698
221,BSU_02980,opuAA,321013,322269,1,320952,A,320933,320951,320908,320926
223,BSU_03000,opuAC,323119,324000,1,320989,A,320970,320988,320945,320963
224,BSU_03010,amhX,324038,325189,-1,325266,A,325246,325264,325221,325239
225,BSU_03020,ycgA,325339,326772,1,325280,A,325260,325278,325235,325253
226,BSU_03030,ycgB,326888,327469,1,326116,H,326097,326115,326071,326089
228,BSU_03050,ldh,329774,330739,1,329715,A,329697,329715,329670,329688
230,BSU_03070,mdr,332441,333979,-1,334062,A,334043,334061,334017,334035
231,BSU_03080,ycgE,334092,334556,1,334027,A,334009,334027,333982,334000
232,BSU_03090,ycgF,334630,335259,1,334600,"E, F",334582,334600,334557,334575
233,BSU_03100,ycgG,335329,336090,1,335301,K,335282,335300,335256,335274
234,BSU_03110,ycgH,336092,337432,-1,337469,"F, G",337449,337467,337426,337444
235,BSU_03120,ycgI,337562,338158,1,337525,"F, G",337506,337524,337481,337499
236,BSU_03130,nadE,338288,339106,1,338204,A,338186,338204,338160,338178
237,BSU_03140,tmrB,339156,339749,-1,339779,A,339760,339778,339736,339754
238,new_339807_339955_c,S111,339807,339955,-1,339965,"E, F",339945,339963,339922,339940
239,BSU_03150,aroK,340025,340585,1,339881,A,339861,339879,339836,339854
240,BSU_03160,ycgJ,340613,341374,-1,341412,A,341392,341410,341368,341386
241,BSU_03170,ycgK,341492,342466,1,341441,A,341423,341441,341396,341414
243,BSU_03190,ycgL,343578,344360,1,342981,"F, G",342961,342979,342937,342955
244,BSU_03200,putB,344551,345462,1,344499,A,344481,344499,344456,344474
246,BSU_03220,putP,347150,348571,1,346478,A,346460,346478,346435,346453
247,new_347670_349525_c,S117,347670,349525,-1,349535,D,349515,349533,349492,349510
248,BSU_03230,putR,348724,349959,1,348694,A,348676,348694,348649,348667
249,BSU_03240,ycgQ,349996,350853,-1,351794,"W, X, Y",351775,351793,351750,351768
250,BSU_03250,ycgR,350858,351742,-1,352735,A,352716,352734,352692,352710
251,BSU_03260,ycgS,351842,352696,-1,352803,"E, F",352785,352803,352760,352778
252,BSU_03270,ycgT,352858,353868,1,352794,A,352775,352793,352749,352767
253,BSU_03280,nasF,353900,355351,-1,355641,A,355621,355639,355598,355616
254,BSU_03290,nasE,355412,355732,-1,358211,A,358192,358210,358168,358186
255,BSU_03300,nasD,355764,358181,-1,362797,"?, A",362777,362795,362753,362771
256,BSU_03330,nasA,362937,364142,1,362897,A,362879,362897,362852,362870
257,BSU_03340,folEB,364259,365173,1,364221,A,364202,364220,364178,364196
258,BSU_03350,yciB,365170,365754,1,365802,A,365782,365800,365758,365776
259,BSU_03370,yckA,367305,367985,-1,368892,A,368873,368891,368847,368865
261,BSU_03390,yckC,369236,369691,1,369188,"E, F",369168,369186,369145,369163
262,BSU_03400,yckD,369773,370105,1,369746,"F, G",369727,369745,369703,369721
263,BSU_03410,yckE,370259,371692,1,370218,A,370198,370216,370175,370193
264,BSU_03420,nin,371729,372127,-1,372164,?,372145,372163,372120,372138
265,BSU_03430,nucA,372154,372603,-1,372626,A,372608,372626,372583,372601
266,BSU_03440,tlpC,372771,374492,-1,374531,D,374512,374530,374486,374504
267,BSU_03450,hxlB,374603,375160,-1,375839,A,375819,375837,375794,375812
268,BSU_03470,hxlR,376032,376394,1,375946,A,375927,375945,375901,375919
269,BSU_03480,srfAA,376968,387731,1,376678,A,376658,376676,376635,376653
270,BSU_03530,ycxA,403217,404443,1,403164,A,403144,403162,403119,403137
271,BSU_03540,ycxB,404458,405015,-1,404513,?,404494,404512,404469,404487
272,BSU_03550,ycxC,405069,406007,-1,405046,A,405027,405045,405002,405020
273,BSU_03570,sfp/2,407638,408135,-1,408174,A,408154,408172,408129,408147
274,BSU_03580,yczE,408240,408887,-1,408919,A,408899,408917,408876,408894
275,BSU_03590,tcyC,409208,409951,-1,411523,A,411505,411523,411480,411498
277,BSU_03620,bsdA,411578,412450,-1,412195,B,412175,412193,412150,412168
278,BSU_03630,bsdB,412540,413154,1,412533,A,412515,412533,412490,412508
279,BSU_03660,yclE,415350,416195,1,415291,A,415272,415290,415247,415265
280,BSU_03670,dtpT,416235,417713,-1,417761,A,417741,417759,417717,417735
281,BSU_03680,yclG,417993,419747,1,417751,A,417733,417751,417708,417726
282,BSU_03690,gerKD,419763,419984,-1,420005,"F, G",419987,420005,419960,419978
283,BSU_03700,gerKA,420110,421744,1,420089,"F, G",420069,420087,420045,420063
284,BSU_03750,yclJ,426577,427260,1,426537,A,426517,426535,426493,426511
285,BSU_03770,rapC,428831,429979,1,428799,A,428779,428797,428755,428773
286,BSU_03780,phrC,429963,430085,1,429697,"E, F",429677,429695,429654,429672
287,BSU_03788,yczM,430185,430274,-1,430501,K,430483,430501,430458,430476
289,BSU_03790,thrD,430623,431987,-1,432039,A,432019,432037,431996,432014
290,BSU_03800,fpbN,432372,433322,1,432210,A,432192,432210,432166,432184
291,BSU_03810,fpbO,433315,434262,1,432271,A,432253,432271,432228,432246
292,BSU_03840,ycnB,436036,437454,-1,438427,A,438409,438427,438384,438402
294,BSU_03860,ycnD,438516,439265,-1,439629,A,439609,439627,439584,439602
295,BSU_03870,ycnE,439282,439569,-1,440355,"F, G",440335,440353,440310,440328
296,BSU_03880,yczG,439709,440023,1,439575,A,439557,439575,439530,439548
297,BSU_03890,gabR,440025,441464,-1,441510,A,441490,441508,441467,441485
298,BSU_03900,gabT,441571,442881,1,441543,A,441525,441543,441499,441517
299,BSU_03910,gabD,442950,444338,1,442793,B,442775,442793,442748,442766
300,BSU_03920,glcU,444461,445324,1,444430,"F, G",444412,444430,444387,444405
302,BSU_03940,ycnI,446174,446788,-1,449070,A,449051,449069,449026,449044
304,BSU_03970,ycnL,449198,449551,1,449167,A,449147,449165,449122,449140
305,BSU_03981,mtlA,449724,451160,1,449641,A,449622,449640,449598,449616
306,BSU_04000,ycsA,452830,453894,1,452789,A,452771,452789,452744,452762
307,BSU_04010,sipU,454029,454592,1,453994,A,453976,453994,453950,453968
308,BSU_04020,yczH,454652,455260,-1,455301,A,455283,455301,455256,455274
309,BSU_04030,ycsD,455346,455738,1,455319,A,455300,455318,455276,455294
310,BSU_04039,yczO,455771,455935,-1,455967,B,455949,455967,455922,455940
311,BSU_04040,ycsE,456068,456817,1,456021,A,456003,456021,455976,455994
312,BSU_04050,pxpA,457023,457796,1,456926,A,456906,456924,456882,456900
314,BSU_04070,ycsI,459049,459822,1,461239,?,461221,461239,461195,461213
315,BSU_04080,pxpB,459867,460589,1,462398,K,462379,462397,462354,462372
316,BSU_04120,yczI,463245,463490,1,463169,A,463149,463167,463124,463142
317,BSU_04130,yczJ,463496,463783,-1,463820,A,463801,463819,463777,463795
318,BSU_04140,pbpC,463934,465940,1,463903,A,463884,463902,463860,463878
319,BSU_04160,mtlR,467130,469214,1,467042,A,467024,467042,466998,467016
320,BSU_04170,ydaB,469426,470937,1,469275,B,469255,469273,469230,469248
321,BSU_04180,ydaC,470957,471502,-1,471583,B,471564,471582,471539,471557
322,BSU_04190,ydaD,471709,472569,1,471679,B,471661,471679,471636,471654
324,BSU_04210,ydaF,473174,473725,1,473140,A,473121,473139,473096,473114
325,BSU_04220,ydaG,473803,474225,1,473775,B,473755,473773,473730,473748
326,new_474268_474634,S140,474268,474634,1,474268,A,474250,474268,474223,474241
327,BSU_04230,amj,474731,475540,1,474698,"W, X, Y",474679,474697,474654,474672
328,BSU_04240,ydzA,475584,475874,-1,475918,A,475899,475917,475875,475893
329,BSU_04250,lrpC,476059,476493,1,475908,A,475889,475907,475863,475881
331,BSU_04270,ydaJ,478944,480032,1,478812,B,478792,478810,478768,478786
332,BSU_04320,kimA,486432,488255,1,486082,A,486062,486080,486038,486056
333,BSU_04340,ydaP,488830,490554,1,488811,B,488792,488810,488767,488785
334,new_490527_490638_c,S144,490527,490638,-1,490638,?,490618,490636,490593,490611
335,new_490639_490854,S145,490639,490854,1,490639,"E, F",490621,490639,490596,490614
336,BSU_04359,ydzK,490777,491043,-1,491077,A,491058,491076,491033,491051
337,BSU_04360,mntH,491147,492424,-1,492498,A,492478,492496,492454,492472
338,BSU_04380,ydaT,492989,493441,-1,493477,B,493459,493477,493433,493451
339,BSU_04390,ydbA,493559,494377,1,493510,A,493492,493510,493467,493485
340,BSU_04400,gsiB,494506,494877,1,494479,B,494460,494478,494436,494454
341,BSU_04410,ydbB,495009,495350,1,494982,A,494964,494982,494937,494955
343,BSU_04430,ydbD,495740,496561,-1,496586,B,496568,496586,496543,496561
344,BSU_04440,dctB,496646,497698,-1,497716,A,497697,497715,497671,497689
345,BSU_04450,dctS,497768,499375,1,496981,A,496962,496980,496938,496956
346,BSU_04460,dctR,499365,500045,1,500124,A,500104,500122,500080,500098
347,BSU_04480,ydbI,501579,502631,1,501517,?,501497,501515,501474,501492
348,BSU_04510,ydbL,504689,505024,1,504658,A,504638,504656,504613,504631
349,BSU_04520,ydbM,505152,506297,1,505114,A,505094,505112,505069,505087
350,BSU_04530,fbpB,506322,506501,-1,506672,A,506652,506670,506629,506647
351,BSU_04540,ydbO,506866,507738,1,506836,"E, F",506818,506836,506791,506809
352,BSU_04550,ydbP,507753,508073,-1,508109,A,508091,508109,508065,508083
353,BSU_04560,ddl,508248,509312,1,508090,?,508072,508090,508046,508064
355,BSU_04580,cshA,511157,512641,1,510818,"F, G",510800,510818,510774,510792
356,BSU_04590,ydbS,512814,513293,1,512756,"W, X, Y",512737,512755,512712,512730
357,BSU_04600,ydbT,513283,514764,1,512787,W,512767,512785,512743,512761
358,BSU_04610,ydcA,515016,515615,-1,515649,"A, E",515631,515649,515606,515624
359,BSU_04620,acpS,515710,516075,1,515108,A,515090,515108,515063,515081
360,BSU_04630,ydcC,516241,517257,1,516115,"E, F",516095,516113,516071,516089
361,BSU_04640,alr,517372,518541,1,517330,A,517311,517329,517285,517303
363,BSU_04660,ndoA,518943,519293,1,518496,"E, F",518478,518496,518451,518469
364,new_519083_519559_c,S163,519083,519559,-1,519559,D,519539,519557,519516,519534
365,BSU_04670,rsbR,519408,520232,1,519362,A,519344,519362,519319,519337
367,BSU_04690,rsbT,520606,521007,1,522056,B,522038,522056,522013,522031
370,BSU_04760,ydcG,524782,525222,1,524788,A,524769,524787,524745,524763
371,BSU_04780,ydcI,525743,527902,1,525697,A,525678,525696,525652,525670
372,BSU_04790,ydcK,528129,528581,1,527912,A,527893,527911,527868,527886
373,BSU_tRNA_45,trnS-Asn,528703,528778,1,528616,A,528596,528614,528571,528589
374,BSU_04800,int,529505,530611,-1,531554,A,531535,531553,531509,531527
376,BSU_04839,ydzL,531978,532238,1,531740,A,531722,531740,531695,531713
379,new_532412_532652_c,sncO,532583,532642,-1,532652,A,532633,532651,532608,532626
383,BSU_04870,nicK,534773,535831,1,537526,?,537507,537525,537482,537500
385,BSU_05000,yddK,546166,546966,-1,547029,A,547009,547027,546986,547004
386,BSU_05040,yddN,550240,551259,-1,550948,A,550929,550947,550905,550923
387,BSU_05050,lrpA,551519,551929,1,551073,A,551053,551071,551029,551047
388,BSU_05080,yddR,553711,554475,1,553661,A,553641,553659,553617,553635
389,BSU_05109,ydzN,557873,558058,1,557818,A,557799,557817,557774,557792
392,BSU_05130,ydeB,560151,560612,-1,560664,A,560644,560662,560619,560637
393,BSU_05140,ydzE,561180,561416,-1,562523,A,562505,562523,562479,562497
394,BSU_05170,ydeE,563614,564486,-1,564591,?,564572,564590,564547,564565
395,BSU_05180,ydeF,564713,566101,1,564674,A,564656,564674,564629,564647
396,BSU_05200,ydeH,567662,568108,1,567540,A,567520,567538,567496,567514
397,BSU_05210,ydeI,568345,568938,1,568211,A,568193,568211,568168,568186
398,BSU_05220,ydeJ,569290,569949,-1,570005,A,569986,570004,569962,569980
399,BSU_05230,ydeK,570371,571234,-1,571323,A,571305,571323,571279,571297
400,BSU_05240,ydeL,571389,572780,1,571313,A,571293,571311,571268,571286
401,BSU_05250,ydeM,572974,573399,1,572940,A,572922,572940,572895,572913
402,BSU_05260,ydeN,573452,574024,-1,574469,A,574450,574468,574425,574443
403,BSU_05280,ydeO,574690,575562,1,574656,A,574637,574655,574613,574631
404,BSU_05290,ydeP,575712,576098,-1,576165,A,576147,576165,576120,576138
405,BSU_05300,ydeQ,576209,576802,1,576175,A,576156,576174,576130,576148
406,BSU_05320,ydeS,578337,578933,1,578287,A,578269,578287,578244,578262
407,BSU_05330,aseR,579541,579876,1,579354,A,579334,579352,579311,579329
408,BSU_05350,ydfB,581694,582479,1,581676,H,581658,581676,581631,581649
409,BSU_05380,ydfE,585155,585778,-1,585821,A,585802,585820,585778,585796
410,BSU_05390,ydfF,585868,586548,1,585834,A,585814,585832,585791,585809
411,BSU_05400,ydfG,586628,587071,-1,587118,A,587099,587117,587073,587091
412,BSU_05430,ydfJ,589717,591891,1,589681,A,589662,589680,589637,589655
413,BSU_05440,nap,592303,593205,-1,593301,A,593281,593299,593257,593275
414,BSU_05450,ydfK,593407,594096,-1,594123,A,594105,594123,594080,594098
415,BSU_05460,ydfL,594186,594998,-1,595040,A,595020,595038,594997,595015
416,BSU_05470,mneP,595109,596002,-1,596093,A,596075,596093,596049,596067
417,BSU_05480,mhqN,596478,597098,1,596320,A,596302,596320,596275,596293
419,BSU_05500,mhqP,598154,598543,1,596833,B,596814,596832,596788,596806
420,BSU_05510,ydfQ,598729,599067,1,598659,A,598639,598657,598614,598632
421,BSU_05529,ydzR,599875,600105,-1,600143,K,600124,600142,600100,600118
422,BSU_05530,ydfR,600229,600906,-1,600872,"F, G",600853,600871,600828,600846
423,BSU_05540,ydfS,601019,601726,1,600956,"F, G",600937,600955,600913,600931
424,BSU_05550,cotP,601741,602172,-1,602739,K,602720,602738,602695,602713
425,BSU_05580,ydgC,603012,603599,1,602963,A,602943,602961,602918,602936
426,new_606414_606611_c,ncr1575,606406,606606,-1,606615,A,606597,606615,606571,606589
427,BSU_05620,ydgF,606699,608075,-1,608140,A,608121,608139,608096,608114
428,BSU_05630,bstG,608246,608764,-1,608809,A,608791,608809,608766,608784
429,BSU_05640,ydgG,608933,609391,1,608886,A,608867,608885,608842,608860
431,BSU_05660,ydgI,612191,612820,-1,613337,A,613319,613337,613293,613311
