,locus_tag,name,left,right,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right
209,BSU_02850,znuA,308332,309291,1,308272,A,308267,308272,308233,308238
211,BSU_02870,znuB,310000,310842,1,308911,A,308906,308911,308878,308883
212,BSU_02880,yceB,310880,311875,-1,311915,A,311928,311933,311950,311955
213,BSU_02890,yceC,312159,312758,1,311859,A,311844,311849,311821,311826
216,BSU_02920,yceF,314025,314798,1,312067,"A, W, X, Y",312057,312062,312033,312038
219,BSU_02950,niaP,317725,318927,1,317687,A,317669,317674,317645,317650
220,BSU_02970,yceK,320421,320723,-1,320725,A,320739,320744,320757,320762
221,BSU_02980,opuAA,321013,322269,1,320952,A,320944,320949,320921,320926
223,BSU_03000,opuAC,323119,324000,1,320989,A,320977,320982,320955,320960
224,BSU_03010,amhX,324038,325189,-1,325266,A,325279,325284,325300,325305
225,BSU_03020,ycgA,325339,326772,1,325280,A,325267,325272,325245,325250
226,BSU_03030,ycgB,326888,327469,1,326116,H,326097,326102,326080,326085
228,BSU_03050,ldh,329774,330739,1,329715,A,329704,329709,329684,329689
230,BSU_03070,mdr,332441,333979,-1,334062,A,334076,334081,334094,334099
231,BSU_03080,ycgE,334092,334556,1,334027,A,334008,334013,333988,333993
232,BSU_03090,ycgF,334630,335259,1,334600,"E, F",334587,334592,334556,334561
233,BSU_03100,ycgG,335329,336090,1,335301,K,335289,335294,335256,335261
234,BSU_03110,ycgH,336092,337432,-1,337469,"F, G",337480,337485,337494,337499
235,BSU_03120,ycgI,337562,338158,1,337525,"F, G",337516,337521,337495,337500
236,BSU_03130,nadE,338288,339106,1,338204,A,338197,338202,338164,338169
237,BSU_03140,tmrB,339156,339749,-1,339779,A,339794,339799,339804,339809
238,new_339807_339955_c,S111,339807,339955,-1,339965,"E, F",339978,339983,340005,340010
239,BSU_03150,aroK,340025,340585,1,339881,A,339871,339876,339836,339841
240,BSU_03160,ycgJ,340613,341374,-1,341412,A,341414,341419,341445,341450
241,BSU_03170,ycgK,341492,342466,1,341441,A,341433,341438,341397,341402
243,BSU_03190,ycgL,343578,344360,1,342981,"F, G",342964,342969,342951,342956
244,BSU_03200,putB,344551,345462,1,344499,A,344487,344492,344454,344459
246,BSU_03220,putP,347150,348571,1,346478,A,346466,346471,346437,346442
247,new_347670_349525_c,S117,347670,349525,-1,349535,D,349545,349550,349564,349569
248,BSU_03230,putR,348724,349959,1,348694,A,348679,348684,348658,348663
249,BSU_03240,ycgQ,349996,350853,-1,351794,"W, X, Y",351803,351808,351827,351832
250,BSU_03250,ycgR,350858,351742,-1,352735,A,352743,352748,352764,352769
251,BSU_03260,ycgS,351842,352696,-1,352803,"E, F",352808,352813,352832,352837
252,BSU_03270,ycgT,352858,353868,1,352794,A,352779,352784,352754,352759
253,BSU_03280,nasF,353900,355351,-1,355641,A,355641,355646,355666,355671
254,BSU_03290,nasE,355412,355732,-1,358211,A,358224,358229,358236,358241
255,BSU_03300,nasD,355764,358181,-1,362797,"?, A",362801,362806,362835,362840
256,BSU_03330,nasA,362937,364142,1,362897,A,362883,362888,362865,362870
257,BSU_03340,folEB,364259,365173,1,364221,A,364216,364221,364181,364186
258,BSU_03350,yciB,365170,365754,1,365802,A,365784,365789,365772,365777
259,BSU_03370,yckA,367305,367985,-1,368892,A,368898,368903,368931,368936
261,BSU_03390,yckC,369236,369691,1,369188,"E, F",369172,369177,369150,369155
262,BSU_03400,yckD,369773,370105,1,369746,"F, G",369733,369738,369701,369706
263,BSU_03410,yckE,370259,371692,1,370218,A,370209,370214,370175,370180
264,BSU_03420,nin,371729,372127,-1,372164,?,372174,372179,372192,372197
265,BSU_03430,nucA,372154,372603,-1,372626,A,372635,372640,372662,372667
266,BSU_03440,tlpC,372771,374492,-1,374531,D,374535,374540,374571,374576
267,BSU_03450,hxlB,374603,375160,-1,375839,A,375845,375850,375875,375880
268,BSU_03470,hxlR,376032,376394,1,375946,A,375927,375932,375906,375911
269,BSU_03480,srfAA,376968,387731,1,376678,A,376659,376664,376640,376645
270,BSU_03530,ycxA,403217,404443,1,403164,A,403154,403159,403133,403138
271,BSU_03540,ycxB,404458,405015,-1,404513,?,404519,404524,404549,404554
272,BSU_03550,ycxC,405069,406007,-1,405046,A,405060,405065,405079,405084
273,BSU_03570,sfp/2,407638,408135,-1,408174,A,408184,408189,408213,408218
274,BSU_03580,yczE,408240,408887,-1,408919,A,408924,408929,408946,408951
275,BSU_03590,tcyC,409208,409951,-1,411523,A,411537,411542,411561,411566
277,BSU_03620,bsdA,411578,412450,-1,412195,B,412209,412214,412233,412238
278,BSU_03630,bsdB,412540,413154,1,412533,A,412520,412525,412491,412496
279,BSU_03660,yclE,415350,416195,1,415291,A,415277,415282,415254,415259
280,BSU_03670,dtpT,416235,417713,-1,417761,A,417776,417781,417787,417792
281,BSU_03680,yclG,417993,419747,1,417751,A,417737,417742,417718,417723
282,BSU_03690,gerKD,419763,419984,-1,420005,"F, G",420007,420012,420045,420050
283,BSU_03700,gerKA,420110,421744,1,420089,"F, G",420076,420081,420055,420060
284,BSU_03750,yclJ,426577,427260,1,426537,A,426528,426533,426496,426501
285,BSU_03770,rapC,428831,429979,1,428799,A,428784,428789,428755,428760
286,BSU_03780,phrC,429963,430085,1,429697,"E, F",429681,429686,429659,429664
287,BSU_03788,yczM,430185,430274,-1,430501,K,430506,430511,430536,430541
289,BSU_03790,thrD,430623,431987,-1,432039,A,432043,432048,432076,432081
290,BSU_03800,fpbN,432372,433322,1,432210,A,432196,432201,432176,432181
291,BSU_03810,fpbO,433315,434262,1,432271,A,432257,432262,432241,432246
292,BSU_03840,ycnB,436036,437454,-1,438427,A,438427,438432,438463,438468
294,BSU_03860,ycnD,438516,439265,-1,439629,A,439641,439646,439667,439672
295,BSU_03870,ycnE,439282,439569,-1,440355,"F, G",440364,440369,440394,440399
296,BSU_03880,yczG,439709,440023,1,439575,A,439569,439574,439539,439544
297,BSU_03890,gabR,440025,441464,-1,441510,A,441516,441521,441535,441540
298,BSU_03900,gabT,441571,442881,1,441543,A,441528,441533,441506,441511
299,BSU_03910,gabD,442950,444338,1,442793,B,442785,442790,442758,442763
300,BSU_03920,glcU,444461,445324,1,444430,"F, G",444425,444430,444394,444399
302,BSU_03940,ycnI,446174,446788,-1,449070,A,449075,449080,449099,449104
304,BSU_03970,ycnL,449198,449551,1,449167,A,449154,449159,449132,449137
305,BSU_03981,mtlA,449724,451160,1,449641,A,449626,449631,449597,449602
306,BSU_04000,ycsA,452830,453894,1,452789,A,452776,452781,452757,452762
307,BSU_04010,sipU,454029,454592,1,453994,A,453974,453979,453951,453956
308,BSU_04020,yczH,454652,455260,-1,455301,A,455315,455320,455340,455345
309,BSU_04030,ycsD,455346,455738,1,455319,A,455307,455312,455275,455280
310,BSU_04039,yczO,455771,455935,-1,455967,B,455968,455973,455999,456004
311,BSU_04040,ycsE,456068,456817,1,456021,A,456010,456015,455977,455982
312,BSU_04050,pxpA,457023,457796,1,456926,A,456916,456921,456888,456893
314,BSU_04070,ycsI,459049,459822,1,461239,?,461233,461238,461198,461203
315,BSU_04080,pxpB,459867,460589,1,462398,K,462383,462388,462356,462361
316,BSU_04120,yczI,463245,463490,1,463169,A,463157,463162,463125,463130
317,BSU_04130,yczJ,463496,463783,-1,463820,A,463825,463830,463860,463865
318,BSU_04140,pbpC,463934,465940,1,463903,A,463883,463888,463868,463873
319,BSU_04160,mtlR,467130,469214,1,467042,A,467032,467037,467007,467012
320,BSU_04170,ydaB,469426,470937,1,469275,B,469260,469265,469230,469235
321,BSU_04180,ydaC,470957,471502,-1,471583,B,471589,471594,471623,471628
322,BSU_04190,ydaD,471709,472569,1,471679,B,471672,471677,471635,471640
324,BSU_04210,ydaF,473174,473725,1,473140,A,473135,473140,473097,473102
325,BSU_04220,ydaG,473803,474225,1,473775,B,473770,473775,473731,473736
326,new_474268_474634,S140,474268,474634,1,474268,A,474252,474257,474223,474228
327,BSU_04230,amj,474731,475540,1,474698,"W, X, Y",474693,474698,474660,474665
328,BSU_04240,ydzA,475584,475874,-1,475918,A,475924,475929,475950,475955
329,BSU_04250,lrpC,476059,476493,1,475908,A,475899,475904,475877,475882
331,BSU_04270,ydaJ,478944,480032,1,478812,B,478794,478799,478782,478787
332,BSU_04320,kimA,486432,488255,1,486082,A,486073,486078,486038,486043
333,BSU_04340,ydaP,488830,490554,1,488811,B,488795,488800,488778,488783
334,new_490527_490638_c,S144,490527,490638,-1,490638,?,490650,490655,490663,490668
335,new_490639_490854,S145,490639,490854,1,490639,"E, F",490628,490633,490599,490604
336,BSU_04359,ydzK,490777,491043,-1,491077,A,491082,491087,491103,491108
337,BSU_04360,mntH,491147,492424,-1,492498,A,492512,492517,492527,492532
338,BSU_04380,ydaT,492989,493441,-1,493477,B,493477,493482,493505,493510
339,BSU_04390,ydbA,493559,494377,1,493510,A,493504,493509,493473,493478
340,BSU_04400,gsiB,494506,494877,1,494479,B,494461,494466,494446,494451
341,BSU_04410,ydbB,495009,495350,1,494982,A,494971,494976,494947,494952
343,BSU_04430,ydbD,495740,496561,-1,496586,B,496598,496603,496621,496626
344,BSU_04440,dctB,496646,497698,-1,497716,A,497718,497723,497751,497756
345,BSU_04450,dctS,497768,499375,1,496981,A,496965,496970,496941,496946
346,BSU_04460,dctR,499365,500045,1,500124,A,500106,500111,500093,500098
347,BSU_04480,ydbI,501579,502631,1,501517,?,501505,501510,501486,501491
348,BSU_04510,ydbL,504689,505024,1,504658,A,504645,504650,504613,504618
349,BSU_04520,ydbM,505152,506297,1,505114,A,505102,505107,505082,505087
350,BSU_04530,fbpB,506322,506501,-1,506672,A,506685,506690,506707,506712
351,BSU_04540,ydbO,506866,507738,1,506836,"E, F",506816,506821,506804,506809
352,BSU_04550,ydbP,507753,508073,-1,508109,A,508114,508119,508145,508150
353,BSU_04560,ddl,508248,509312,1,508090,?,508072,508077,508051,508056
355,BSU_04580,cshA,511157,512641,1,510818,"F, G",510804,510809,510780,510785
356,BSU_04590,ydbS,512814,513293,1,512756,"W, X, Y",512747,512752,512721,512726
357,BSU_04600,ydbT,513283,514764,1,512787,W,512777,512782,512752,512757
358,BSU_04610,ydcA,515016,515615,-1,515649,"A, E",515658,515663,515685,515690
359,BSU_04620,acpS,515710,516075,1,515108,A,515102,515107,515064,515069
360,BSU_04630,ydcC,516241,517257,1,516115,"E, F",516097,516102,516079,516084
361,BSU_04640,alr,517372,518541,1,517330,A,517313,517318,517298,517303
363,BSU_04660,ndoA,518943,519293,1,518496,"E, F",518490,518495,518451,518456
364,new_519083_519559_c,S163,519083,519559,-1,519559,D,519569,519574,519591,519596
365,BSU_04670,rsbR,519408,520232,1,519362,A,519350,519355,519322,519327
367,BSU_04690,rsbT,520606,521007,1,522056,B,522046,522051,522022,522027
370,BSU_04760,ydcG,524782,525222,1,524788,A,524779,524784,524746,524751
371,BSU_04780,ydcI,525743,527902,1,525697,A,525689,525694,525653,525658
372,BSU_04790,ydcK,528129,528581,1,527912,A,527900,527905,527875,527880
373,BSU_tRNA_45,trnS-Asn,528703,528778,1,528616,A,528607,528612,528581,528586
374,BSU_04800,int,529505,530611,-1,531554,A,531558,531563,531590,531595
376,BSU_04839,ydzL,531978,532238,1,531740,A,531730,531735,531701,531706
379,new_532412_532652_c,sncO,532583,532642,-1,532652,A,532654,532659,532686,532691
383,BSU_04870,nicK,534773,535831,1,537526,?,537506,537511,537487,537492
385,BSU_05000,yddK,546166,546966,-1,547029,A,547044,547049,547056,547061
386,BSU_05040,yddN,550240,551259,-1,550948,A,550959,550964,550975,550980
387,BSU_05050,lrpA,551519,551929,1,551073,A,551061,551066,551030,551035
388,BSU_05080,yddR,553711,554475,1,553661,A,553644,553649,553622,553627
389,BSU_05109,ydzN,557873,558058,1,557818,A,557806,557811,557785,557790
392,BSU_05130,ydeB,560151,560612,-1,560664,A,560675,560680,560689,560694
393,BSU_05140,ydzE,561180,561416,-1,562523,A,562534,562539,562559,562564
394,BSU_05170,ydeE,563614,564486,-1,564591,?,564603,564608,564628,564633
395,BSU_05180,ydeF,564713,566101,1,564674,A,564656,564661,564631,564636
396,BSU_05200,ydeH,567662,568108,1,567540,A,567530,567535,567506,567511
397,BSU_05210,ydeI,568345,568938,1,568211,A,568203,568208,568179,568184
398,BSU_05220,ydeJ,569290,569949,-1,570005,A,570007,570012,570035,570040
399,BSU_05230,ydeK,570371,571234,-1,571323,A,571331,571336,571350,571355
400,BSU_05240,ydeL,571389,572780,1,571313,A,571293,571298,571269,571274
401,BSU_05250,ydeM,572974,573399,1,572940,A,572929,572934,572895,572900
402,BSU_05260,ydeN,573452,574024,-1,574469,A,574479,574484,574504,574509
403,BSU_05280,ydeO,574690,575562,1,574656,A,574649,574654,574615,574620
404,BSU_05290,ydeP,575712,576098,-1,576165,A,576171,576176,576193,576198
405,BSU_05300,ydeQ,576209,576802,1,576175,A,576166,576171,576144,576149
406,BSU_05320,ydeS,578337,578933,1,578287,A,578267,578272,578248,578253
407,BSU_05330,aseR,579541,579876,1,579354,A,579348,579353,579323,579328
408,BSU_05350,ydfB,581694,582479,1,581676,H,581666,581671,581641,581646
409,BSU_05380,ydfE,585155,585778,-1,585821,A,585836,585841,585847,585852
410,BSU_05390,ydfF,585868,586548,1,585834,A,585814,585819,585804,585809
411,BSU_05400,ydfG,586628,587071,-1,587118,A,587133,587138,587150,587155
412,BSU_05430,ydfJ,589717,591891,1,589681,A,589668,589673,589646,589651
413,BSU_05440,nap,592303,593205,-1,593301,A,593310,593315,593334,593339
414,BSU_05450,ydfK,593407,594096,-1,594123,A,594133,594138,594148,594153
415,BSU_05460,ydfL,594186,594998,-1,595040,A,595040,595045,595076,595081
416,BSU_05470,mneP,595109,596002,-1,596093,A,596099,596104,596129,596134
417,BSU_05480,mhqN,596478,597098,1,596320,A,596309,596314,596281,596286
419,BSU_05500,mhqP,598154,598543,1,596833,B,596826,596831,596788,596793
420,BSU_05510,ydfQ,598729,599067,1,598659,A,598647,598652,598618,598623
421,BSU_05529,ydzR,599875,600105,-1,600143,K,600146,600151,600171,600176
422,BSU_05530,ydfR,600229,600906,-1,600872,"F, G",600885,600890,600909,600914
423,BSU_05540,ydfS,601019,601726,1,600956,"F, G",600941,600946,600926,600931
424,BSU_05550,cotP,601741,602172,-1,602739,K,602754,602759,602774,602779
425,BSU_05580,ydgC,603012,603599,1,602963,A,602952,602957,602928,602933
426,new_606414_606611_c,ncr1575,606406,606606,-1,606615,A,606629,606634,606641,606646
427,BSU_05620,ydgF,606699,608075,-1,608140,A,608142,608147,608172,608177
428,BSU_05630,bstG,608246,608764,-1,608809,A,608816,608821,608841,608846
429,BSU_05640,ydgG,608933,609391,1,608886,A,608874,608879,608841,608846
431,BSU_05660,ydgI,612191,612820,-1,613337,A,613342,613347,613365,613370
