##gnf-version 1
# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.1 Date: 12/12/2022
# ___________________________________________________________________________
# Created: 12/14/2022 13:38:07
# Columns:
# (1) regulatorId. Transcription Factor (TF) identifier
# (2) regulatorName. Transcription Factor (TF) Name
# (3) regulatorGeneName. Gene(s) coding for the TF
# (4) regulatedId. Gene ID regulated by the TF (regulated Gene)
# (5) regulatedName. Gene regulated by the TF (regulated Gene)
# (6) function. Regulatory Function of the TF on the regulated Gene (+ activator, - repressor, +- dual, ? unknown)
# (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed, Strong, Weak)
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel
ECK120011186	Fis	fis	ECK120000229	dnaA	-	Strong
ECK120011186	Fis	fis	ECK120000236	dnaN	-	Strong
ECK120011186	Fis	fis	ECK120000272	fadA	+	Weak
ECK120011186	Fis	fis	ECK120000273	fadB	+	Weak
ECK120011186	Fis	fis	ECK120000311	fis	-	Strong
ECK120011186	Fis	fis	ECK120000350	fumB	-	Weak
ECK120011186	Fis	fis	ECK120000376	glnA	+	Strong
ECK120011186	Fis	fis	ECK120000378	glnG	+	Strong
ECK120011186	Fis	fis	ECK120000380	glnL	+	Strong
ECK120011186	Fis	fis	ECK120000382	glnQ	-	Weak
ECK120011186	Fis	fis	ECK120000384	glpA	+	Weak
ECK120011186	Fis	fis	ECK120000385	glpB	+	Weak
ECK120011186	Fis	fis	ECK120000386	glpC	+	Weak
ECK120011186	Fis	fis	ECK120000392	glpQ	+	Weak
ECK120011186	Fis	fis	ECK120000394	glpT	+	Weak
ECK120011186	Fis	fis	ECK120000400	gltX	-	Confirmed
ECK120011186	Fis	fis	ECK120000413	guaA	-	Confirmed
ECK120011186	Fis	fis	ECK120000414	guaB	-	Confirmed
ECK120011186	Fis	fis	ECK120000416	gyrA	-	Strong
ECK120011186	Fis	fis	ECK120000417	gyrB	-	Strong
ECK120011186	Fis	fis	ECK120000450	hns	+	Strong
ECK120011186	Fis	fis	ECK120000459	hupA	+	Strong
ECK120011186	Fis	fis	ECK120000460	hupB	-	Strong
ECK120011186	Fis	fis	ECK120000461	hyaA	-	Weak
ECK120011186	Fis	fis	ECK120000462	hyaB	-	Weak
ECK120011186	Fis	fis	ECK120000463	hyaC	-	Weak
ECK120011186	Fis	fis	ECK120000464	hyaD	-	Weak
ECK120011186	Fis	fis	ECK120000465	hyaE	-	Weak
ECK120011186	Fis	fis	ECK120000466	hyaF	-	Weak
ECK120011186	Fis	fis	ECK120000498	infB	+	Weak
ECK120011186	Fis	fis	ECK120000502	katE	-	Weak
ECK120011186	Fis	fis	ECK120000516	rsmA	+	Weak
ECK120011186	Fis	fis	ECK120000536	lpd	+	Strong
ECK120011186	Fis	fis	ECK120000547	malE	+	Weak
ECK120011186	Fis	fis	ECK120000548	malF	+	Weak
ECK120011186	Fis	fis	ECK120000549	malG	+	Weak
ECK120011186	Fis	fis	ECK120000564	mazE	+	Confirmed
ECK120011186	Fis	fis	ECK120000565	mazG	+	Confirmed
ECK120011186	Fis	fis	ECK120000585	mglA	-	Weak
ECK120011186	Fis	fis	ECK120000587	mglC	-	Weak
ECK120011186	Fis	fis	ECK120000608	mtlA	-	Weak
ECK120011186	Fis	fis	ECK120000609	mtlD	-	Weak
ECK120011186	Fis	fis	ECK120000630	nanA	-	Weak
ECK120011186	Fis	fis	ECK120000631	narG	-	Weak
ECK120011186	Fis	fis	ECK120000632	narH	-	Weak
ECK120011186	Fis	fis	ECK120000633	narI	-	Weak
ECK120011186	Fis	fis	ECK120000634	narJ	-	Weak
ECK120011186	Fis	fis	ECK120000635	narK	-	Weak
ECK120011186	Fis	fis	ECK120000642	ndh	+	Confirmed
ECK120011186	Fis	fis	ECK120000642	ndh	-	Confirmed
ECK120011186	Fis	fis	ECK120000646	nirB	-	Strong
ECK120011186	Fis	fis	ECK120000647	nirC	-	Strong
ECK120011186	Fis	fis	ECK120000648	nirD	-	Strong
ECK120011186	Fis	fis	ECK120000653	nrdA	+	Confirmed
ECK120011186	Fis	fis	ECK120000654	nrdB	+	Confirmed
ECK120011186	Fis	fis	ECK120000658	nusA	+	Weak
ECK120011186	Fis	fis	ECK120000661	ogt	-	Strong
ECK120011186	Fis	fis	ECK120000684	pdxA	+	Weak
ECK120011186	Fis	fis	ECK120000693	pflB	-	Weak
ECK120011186	Fis	fis	ECK120000734	pnp	+	Weak
ECK120011186	Fis	fis	ECK120000778	ptsG	+	Strong
ECK120011186	Fis	fis	ECK120000778	ptsG	-	Strong
ECK120011186	Fis	fis	ECK120000798	pyrD	-	Weak
ECK120011186	Fis	fis	ECK120000803	queA	+	Strong
ECK120011186	Fis	fis	ECK120000819	recF	-	Strong
ECK120011186	Fis	fis	ECK120000865	rplM	-	Weak
ECK120011186	Fis	fis	ECK120000899	rpsI	-	Weak
ECK120011186	Fis	fis	ECK120000905	rpsO	+	Weak
ECK120011186	Fis	fis	ECK120001002	topA	+	Strong
ECK120011186	Fis	fis	ECK120001002	topA	-	Strong
ECK120011186	Fis	fis	ECK120001005	tpr	+	Confirmed
ECK120011186	Fis	fis	ECK120001007	trg	+	Weak
ECK120011186	Fis	fis	ECK120001011	trmA	+	Weak
ECK120011186	Fis	fis	ECK120001026	tufB	+	Strong
ECK120011186	Fis	fis	ECK120001141	fau	+	Strong
ECK120011186	Fis	fis	ECK120001141	fau	-	Strong
ECK120011186	Fis	fis	ECK120001159	truB	+	Weak
ECK120011186	Fis	fis	ECK120001160	rbfA	+	Weak
ECK120011186	Fis	fis	ECK120001161	rimP	+	Weak
ECK120011186	Fis	fis	ECK120001224	mazF	+	Confirmed
ECK120011186	Fis	fis	ECK120001282	dusB	-	Strong
ECK120011186	Fis	fis	ECK120001358	osmY	-	Weak
ECK120011186	Fis	fis	ECK120001381	dps	-	Strong
ECK120011186	Fis	fis	ECK120001397	msrA	-	Weak
ECK120011186	Fis	fis	ECK120001398	marA	+	Confirmed
ECK120011186	Fis	fis	ECK120001399	marR	+	Confirmed
ECK120011186	Fis	fis	ECK120001411	acs	-	Confirmed
ECK120011186	Fis	fis	ECK120001446	gadB	-	Weak
ECK120011186	Fis	fis	ECK120001464	sra	+	Weak
ECK120011186	Fis	fis	ECK120001547	marB	+	Confirmed
ECK120011186	Fis	fis	ECK120001560	proP	+	Confirmed
ECK120011186	Fis	fis	ECK120001636	emrD	+	Strong
ECK120011186	Fis	fis	ECK120001707	nuoM	+	Strong
ECK120011186	Fis	fis	ECK120001708	nuoF	+	Strong
ECK120011186	Fis	fis	ECK120001715	nrfA	-	Strong
ECK120011186	Fis	fis	ECK120001718	grcA	+	Weak
ECK120011186	Fis	fis	ECK120001870	actP	-	Confirmed
ECK120011186	Fis	fis	ECK120001871	yjcH	-	Confirmed
ECK120011186	Fis	fis	ECK120001872	nrfB	-	Strong
ECK120011186	Fis	fis	ECK120001873	nrfC	-	Strong
ECK120011186	Fis	fis	ECK120001874	nrfD	-	Strong
ECK120011186	Fis	fis	ECK120001875	nrfE	-	Strong
ECK120011186	Fis	fis	ECK120001876	nrfF	-	Strong
ECK120011186	Fis	fis	ECK120001877	nrfG	-	Strong
ECK120011186	Fis	fis	ECK120001891	mtlR	-	Weak
ECK120011186	Fis	fis	ECK120001988	nuoA	+	Strong
ECK120011186	Fis	fis	ECK120001989	nuoB	+	Strong
ECK120011186	Fis	fis	ECK120001990	nuoC	+	Strong
ECK120011186	Fis	fis	ECK120001991	nuoE	+	Strong
ECK120011186	Fis	fis	ECK120001992	nuoG	+	Strong
ECK120011186	Fis	fis	ECK120001993	nuoH	+	Strong
ECK120011186	Fis	fis	ECK120001994	nuoI	+	Strong
ECK120011186	Fis	fis	ECK120001995	nuoJ	+	Strong
ECK120011186	Fis	fis	ECK120001996	nuoK	+	Strong
ECK120011186	Fis	fis	ECK120001997	nuoL	+	Strong
ECK120011186	Fis	fis	ECK120001998	nuoN	+	Strong
ECK120011186	Fis	fis	ECK120002082	cbpA	-	Confirmed
ECK120011186	Fis	fis	ECK120002083	cbpM	-	Confirmed
ECK120011186	Fis	fis	ECK120002126	gadX	-	Weak
ECK120011186	Fis	fis	ECK120002156	xylG	-	Weak
ECK120011186	Fis	fis	ECK120002157	xylH	-	Weak
ECK120011186	Fis	fis	ECK120002173	aldB	-	Strong
ECK120011186	Fis	fis	ECK120002193	acnB	-	Weak
ECK120011186	Fis	fis	ECK120002228	yfaE	+	Confirmed
ECK120011186	Fis	fis	ECK120002448	xylF	-	Weak
ECK120011186	Fis	fis	ECK120002449	xylR	-	Weak
ECK120011186	Fis	fis	ECK120002451	alaT	+	Strong
ECK120011186	Fis	fis	ECK120002452	alaU	+	Strong
ECK120011186	Fis	fis	ECK120002453	alaV	+	Strong
ECK120011186	Fis	fis	ECK120002454	alaW	+	Weak
ECK120011186	Fis	fis	ECK120002455	alaX	+	Weak
ECK120011186	Fis	fis	ECK120002457	argU	+	Weak
ECK120011186	Fis	fis	ECK120002459	argW	+	Weak
ECK120011186	Fis	fis	ECK120002460	argX	+	Weak
ECK120011186	Fis	fis	ECK120002468	aspV	+	Weak
ECK120011186	Fis	fis	ECK120002470	glnU	+	Weak
ECK120011186	Fis	fis	ECK120002471	glnV	+	Weak
ECK120011186	Fis	fis	ECK120002472	glnW	+	Weak
ECK120011186	Fis	fis	ECK120002473	glnX	+	Weak
ECK120011186	Fis	fis	ECK120002474	gltT	+	Strong
ECK120011186	Fis	fis	ECK120002475	gltU	+	Strong
ECK120011186	Fis	fis	ECK120002476	gltV	+	Strong
ECK120011186	Fis	fis	ECK120002477	gltW	+	Strong
ECK120011186	Fis	fis	ECK120002478	glyT	+	Strong
ECK120011186	Fis	fis	ECK120002479	glyU	+	Weak
ECK120011186	Fis	fis	ECK120002484	hisR	+	Weak
ECK120011186	Fis	fis	ECK120002485	ileT	+	Strong
ECK120011186	Fis	fis	ECK120002486	ileU	+	Strong
ECK120011186	Fis	fis	ECK120002487	ileV	+	Strong
ECK120011186	Fis	fis	ECK120002489	leuP	+	Strong
ECK120011186	Fis	fis	ECK120002490	leuQ	+	Strong
ECK120011186	Fis	fis	ECK120002491	leuT	+	Weak
ECK120011186	Fis	fis	ECK120002493	leuV	+	Strong
ECK120011186	Fis	fis	ECK120002494	leuW	+	Weak
ECK120011186	Fis	fis	ECK120002495	leuX	+	Weak
ECK120011186	Fis	fis	ECK120002497	lysT	+	Weak
ECK120011186	Fis	fis	ECK120002498	lysV	+	Confirmed
ECK120011186	Fis	fis	ECK120002499	lysW	+	Weak
ECK120011186	Fis	fis	ECK120002500	metT	+	Weak
ECK120011186	Fis	fis	ECK120002501	metU	+	Weak
ECK120011186	Fis	fis	ECK120002503	metY	+	Weak
ECK120011186	Fis	fis	ECK120002506	pheU	+	Weak
ECK120011186	Fis	fis	ECK120002507	pheV	+	Weak
ECK120011186	Fis	fis	ECK120002508	proK	+	Weak
ECK120011186	Fis	fis	ECK120002509	proL	+	Weak
ECK120011186	Fis	fis	ECK120002510	proM	+	Weak
ECK120011186	Fis	fis	ECK120002511	rnpB	+	Strong
ECK120011186	Fis	fis	ECK120002511	rnpB	-	Strong
ECK120011186	Fis	fis	ECK120002512	rrfA	+	Strong
ECK120011186	Fis	fis	ECK120002513	rrfB	+	Strong
ECK120011186	Fis	fis	ECK120002514	rrfC	+	Strong
ECK120011186	Fis	fis	ECK120002515	rrfD	+	Strong
ECK120011186	Fis	fis	ECK120002516	rrfE	+	Strong
ECK120011186	Fis	fis	ECK120002517	rrfG	+	Strong
ECK120011186	Fis	fis	ECK120002518	rrfH	+	Strong
ECK120011186	Fis	fis	ECK120002519	rrlA	+	Strong
ECK120011186	Fis	fis	ECK120002520	rrlB	+	Strong
ECK120011186	Fis	fis	ECK120002521	rrlC	+	Strong
ECK120011186	Fis	fis	ECK120002522	rrlD	+	Strong
ECK120011186	Fis	fis	ECK120002523	rrlE	+	Strong
ECK120011186	Fis	fis	ECK120002524	rrlG	+	Strong
ECK120011186	Fis	fis	ECK120002525	rrlH	+	Strong
ECK120011186	Fis	fis	ECK120002526	rrsA	+	Strong
ECK120011186	Fis	fis	ECK120002527	rrsB	+	Strong
ECK120011186	Fis	fis	ECK120002528	rrsC	+	Strong
ECK120011186	Fis	fis	ECK120002529	rrsD	+	Strong
ECK120011186	Fis	fis	ECK120002530	rrsE	+	Strong
ECK120011186	Fis	fis	ECK120002531	rrsG	+	Strong
ECK120011186	Fis	fis	ECK120002532	rrsH	+	Strong
ECK120011186	Fis	fis	ECK120002533	rrfF	+	Strong
ECK120011186	Fis	fis	ECK120002535	serT	+	Weak
ECK120011186	Fis	fis	ECK120002539	serX	+	Weak
ECK120011186	Fis	fis	ECK120002541	ssrS	+	Strong
ECK120011186	Fis	fis	ECK120002541	ssrS	-	Strong
ECK120011186	Fis	fis	ECK120002543	thrT	+	Strong
ECK120011186	Fis	fis	ECK120002544	thrU	+	Strong
ECK120011186	Fis	fis	ECK120002545	thrV	+	Strong
ECK120011186	Fis	fis	ECK120002546	thrW	+	Weak
ECK120011186	Fis	fis	ECK120002548	tyrT	+	Confirmed
ECK120011186	Fis	fis	ECK120002549	tyrU	+	Strong
ECK120011186	Fis	fis	ECK120002550	tyrV	+	Confirmed
ECK120011186	Fis	fis	ECK120002551	valT	+	Weak
ECK120011186	Fis	fis	ECK120002552	valU	+	Confirmed
ECK120011186	Fis	fis	ECK120002555	valX	+	Confirmed
ECK120011186	Fis	fis	ECK120002556	valY	+	Confirmed
ECK120011186	Fis	fis	ECK120002568	gadA	-	Weak
ECK120011186	Fis	fis	ECK120002695	nanT	-	Weak
ECK120011186	Fis	fis	ECK120003214	hlyE	-	Weak
ECK120011186	Fis	fis	ECK120003375	gadC	-	Weak
ECK120011186	Fis	fis	ECK120003414	cspI	-	Weak
ECK120011186	Fis	fis	ECK120003422	flxA	+	Weak
ECK120011186	Fis	fis	ECK120003569	yoaG	-	Strong
ECK120011186	Fis	fis	ECK120003570	yeaR	-	Strong
ECK120011186	Fis	fis	ECK120004106	glcC	-	Weak
ECK120011186	Fis	fis	ECK120004150	patA	?	Weak
ECK120011186	Fis	fis	ECK120004222	nanQ	-	Weak
ECK120011186	Fis	fis	ECK120004223	nanK	-	Weak
ECK120011186	Fis	fis	ECK120004224	nanE	-	Weak
ECK120011186	Fis	fis	ECK125302577	malH	+	Weak
ECK120011186	Fis	fis	ECK125303716	narS	-	Weak
ECK120011190	Rob	rob	ECK120000032	aldA	+	Weak
ECK120011190	Rob	rob	ECK120000086	aslB	+	Weak
ECK120011190	Rob	rob	ECK120000201	dapD	+	Weak
ECK120011190	Rob	rob	ECK120000272	fadA	-	Weak
ECK120011190	Rob	rob	ECK120000273	fadB	-	Weak
ECK120011190	Rob	rob	ECK120000274	fadL	-	Weak
ECK120011190	Rob	rob	ECK120000351	fumC	+	Strong
ECK120011190	Rob	rob	ECK120000563	map	+	Weak
ECK120011190	Rob	rob	ECK120000631	narG	+	Weak
ECK120011190	Rob	rob	ECK120000644	nfo	+	Weak
ECK120011190	Rob	rob	ECK120000843	rimK	+	Weak
ECK120011190	Rob	rob	ECK120000942	sodA	+	Weak
ECK120011190	Rob	rob	ECK120000998	tolC	+	Weak
ECK120011190	Rob	rob	ECK120001147	ygiB	+	Weak
ECK120011190	Rob	rob	ECK120001148	ygiC	+	Weak
ECK120011190	Rob	rob	ECK120001199	zwf	+	Strong
ECK120011190	Rob	rob	ECK120001236	nfsA	+	Weak
ECK120011190	Rob	rob	ECK120001296	acnA	+	Weak
ECK120011190	Rob	rob	ECK120001334	rob	-	Strong
ECK120011190	Rob	rob	ECK120001341	mltF	+	Weak
ECK120011190	Rob	rob	ECK120001349	glgS	+	Weak
ECK120011190	Rob	rob	ECK120001377	glnD	+	Weak
ECK120011190	Rob	rob	ECK120001386	inaA	+	Strong
ECK120011190	Rob	rob	ECK120001398	marA	+	Confirmed
ECK120011190	Rob	rob	ECK120001399	marR	+	Confirmed
ECK120011190	Rob	rob	ECK120001411	acs	-	Weak
ECK120011190	Rob	rob	ECK120001484	fadD	-	Weak
ECK120011190	Rob	rob	ECK120001547	marB	+	Confirmed
ECK120011190	Rob	rob	ECK120001646	acrA	+	Strong
ECK120011190	Rob	rob	ECK120001647	acrB	+	Strong
ECK120011190	Rob	rob	ECK120001870	actP	-	Weak
ECK120011190	Rob	rob	ECK120001871	yjcH	-	Weak
ECK120011190	Rob	rob	ECK120002037	mdtD	+	Weak
ECK120011190	Rob	rob	ECK120002192	yacH	+	Weak
ECK120011190	Rob	rob	ECK120002265	chaC	+	Weak
ECK120011190	Rob	rob	ECK120002336	yiaG	-	Weak
ECK120011190	Rob	rob	ECK120002346	mdaB	+	Weak
ECK120011190	Rob	rob	ECK120002395	ybjC	+	Weak
ECK120011190	Rob	rob	ECK120002505	micF	+	Strong
ECK120011190	Rob	rob	ECK120002564	nfsB	+	Weak
ECK120011190	Rob	rob	ECK120002996	acrZ	+	Weak
ECK120011190	Rob	rob	ECK120003022	ldtB	+	Weak
ECK120011190	Rob	rob	ECK120003023	ybiT	+	Weak
ECK120011190	Rob	rob	ECK120003047	ybjN	+	Weak
ECK120011190	Rob	rob	ECK120003331	ydcL	+	Weak
ECK120011190	Rob	rob	ECK120003532	astC	-	Weak
ECK120011190	Rob	rob	ECK120003749	elaB	-	Weak
ECK120011190	Rob	rob	ECK120004197	yhbO	-	Weak
ECK120011190	Rob	rob	ECK120004204	yhbW	+	Weak
ECK120011194	TyrR	tyrR	ECK120000074	aroF	-	Strong
ECK120011194	TyrR	tyrR	ECK120000075	aroG	-	Confirmed
ECK120011194	TyrR	tyrR	ECK120000078	aroL	-	Confirmed
ECK120011194	TyrR	tyrR	ECK120000079	aroM	-	Confirmed
ECK120011194	TyrR	tyrR	ECK120000080	aroP	-	Confirmed
ECK120011194	TyrR	tyrR	ECK120000320	folA	+	Confirmed
ECK120011194	TyrR	tyrR	ECK120000610	mtr	+	Confirmed
ECK120011194	TyrR	tyrR	ECK120001028	tyrA	-	Strong
ECK120011194	TyrR	tyrR	ECK120001029	tyrB	-	Confirmed
ECK120011194	TyrR	tyrR	ECK120001030	tyrP	+	Confirmed
ECK120011194	TyrR	tyrR	ECK120001030	tyrP	-	Confirmed
ECK120011194	TyrR	tyrR	ECK120001031	tyrR	-	Weak
ECK120011194	TyrR	tyrR	ECK120001081	yaiA	-	Confirmed
ECK120011202	ArgP	argP	ECK120000084	asd	+	Strong
ECK120011202	ArgP	argP	ECK120000200	dapB	+	Confirmed
ECK120011202	ArgP	argP	ECK120000201	dapD	+	Strong
ECK120011202	ArgP	argP	ECK120000229	dnaA	+	Strong
ECK120011202	ArgP	argP	ECK120000236	dnaN	+	Strong
ECK120011202	ArgP	argP	ECK120000365	gdhA	+	Confirmed
ECK120011202	ArgP	argP	ECK120000483	argP	-	Weak
ECK120011202	ArgP	argP	ECK120000542	lysA	+	Strong
ECK120011202	ArgP	argP	ECK120000543	lysC	+	Strong
ECK120011202	ArgP	argP	ECK120000653	nrdA	+	Strong
ECK120011202	ArgP	argP	ECK120000654	nrdB	+	Strong
ECK120011202	ArgP	argP	ECK120000819	recF	+	Strong
ECK120011202	ArgP	argP	ECK120001142	argO	+	Confirmed
ECK120011202	ArgP	argP	ECK120001308	lysP	+	Confirmed
ECK120011202	ArgP	argP	ECK120002228	yfaE	+	Strong
ECK120011210	CpxR	cpxR	ECK120000012	acrD	+	Strong
ECK120011210	CpxR	cpxR	ECK120000017	cpxR	+	Strong
ECK120011210	CpxR	cpxR	ECK120000075	aroG	+	Strong
ECK120011210	CpxR	cpxR	ECK120000142	cheA	-	Strong
ECK120011210	CpxR	cpxR	ECK120000145	cheW	-	Strong
ECK120011210	CpxR	cpxR	ECK120000159	cpxA	+	Strong
ECK120011210	CpxR	cpxR	ECK120000310	lpxD	+	Weak
ECK120011210	CpxR	cpxR	ECK120000432	hha	+	Strong
ECK120011210	CpxR	cpxR	ECK120000448	skp	+	Weak
ECK120011210	CpxR	cpxR	ECK120000456	degP	+	Strong
ECK120011210	CpxR	cpxR	ECK120000538	lpxA	+	Weak
ECK120011210	CpxR	cpxR	ECK120000594	motA	-	Strong
ECK120011210	CpxR	cpxR	ECK120000595	motB	-	Strong
ECK120011210	CpxR	cpxR	ECK120000663	ompC	+	Strong
ECK120011210	CpxR	cpxR	ECK120000664	ompF	-	Strong
ECK120011210	CpxR	cpxR	ECK120000748	ppiA	+	Strong
ECK120011210	CpxR	cpxR	ECK120000766	psd	-	Weak
ECK120011210	CpxR	cpxR	ECK120000888	rpoH	+	Weak
ECK120011210	CpxR	cpxR	ECK120000917	sbmA	+	Weak
ECK120011210	CpxR	cpxR	ECK120000939	slt	+	Strong
ECK120011210	CpxR	cpxR	ECK120000941	bamE	-	Weak
ECK120011210	CpxR	cpxR	ECK120001023	tsr	-	Strong
ECK120011210	CpxR	cpxR	ECK120001047	ung	-	Strong
ECK120011210	CpxR	cpxR	ECK120001059	dsbC	+	Weak
ECK120011210	CpxR	cpxR	ECK120001099	yccA	+	Strong
ECK120011210	CpxR	cpxR	ECK120001228	ldtD	+	Strong
ECK120011210	CpxR	cpxR	ECK120001257	fabZ	+	Weak
ECK120011210	CpxR	cpxR	ECK120001270	dsbA	+	Strong
ECK120011210	CpxR	cpxR	ECK120001398	marA	+	Strong
ECK120011210	CpxR	cpxR	ECK120001399	marR	+	Strong
ECK120011210	CpxR	cpxR	ECK120001445	csgA	-	Strong
ECK120011210	CpxR	cpxR	ECK120001547	marB	+	Strong
ECK120011210	CpxR	cpxR	ECK120001565	baeS	+	Strong
ECK120011210	CpxR	cpxR	ECK120001566	baeR	+	Strong
ECK120011210	CpxR	cpxR	ECK120001587	dgcZ	+	Strong
ECK120011210	CpxR	cpxR	ECK120001608	bacA	+	Weak
ECK120011210	CpxR	cpxR	ECK120001655	yidQ	+	Weak
ECK120011210	CpxR	cpxR	ECK120001740	yebE	+	Strong
ECK120011210	CpxR	cpxR	ECK120001763	srkA	+	Strong
ECK120011210	CpxR	cpxR	ECK120001827	rpoE	-	Weak
ECK120011210	CpxR	cpxR	ECK120002037	mdtD	+	Strong
ECK120011210	CpxR	cpxR	ECK120002216	rseA	-	Weak
ECK120011210	CpxR	cpxR	ECK120002285	tomB	+	Strong
ECK120011210	CpxR	cpxR	ECK120002576	rprA	+	Strong
ECK120011210	CpxR	cpxR	ECK120002589	cyaR	-	Strong
ECK120011210	CpxR	cpxR	ECK120002840	yaiW	+	Weak
ECK120011210	CpxR	cpxR	ECK120002853	ppiD	+	Strong
ECK120011210	CpxR	cpxR	ECK120003124	efeU	-	Strong
ECK120011210	CpxR	cpxR	ECK120003139	csgG	-	Strong
ECK120011210	CpxR	cpxR	ECK120003140	csgF	-	Strong
ECK120011210	CpxR	cpxR	ECK120003141	csgE	-	Strong
ECK120011210	CpxR	cpxR	ECK120003142	csgD	-	Strong
ECK120011210	CpxR	cpxR	ECK120003143	csgB	-	Strong
ECK120011210	CpxR	cpxR	ECK120003144	csgC	-	Strong
ECK120011210	CpxR	cpxR	ECK120003167	ldtC	+	Strong
ECK120011210	CpxR	cpxR	ECK120003527	spy	+	Strong
ECK120011210	CpxR	cpxR	ECK120003619	ftnB	+	Strong
ECK120011210	CpxR	cpxR	ECK120003699	mdtA	+	Strong
ECK120011210	CpxR	cpxR	ECK120003700	mdtB	+	Strong
ECK120011210	CpxR	cpxR	ECK120003701	mdtC	+	Strong
ECK120011210	CpxR	cpxR	ECK120003917	rseC	-	Weak
ECK120011210	CpxR	cpxR	ECK120003918	rseB	-	Weak
ECK120011210	CpxR	cpxR	ECK120003962	kbp	+	Strong
ECK120011210	CpxR	cpxR	ECK120003963	yqaE	+	Strong
ECK120011210	CpxR	cpxR	ECK120004162	yqjA	+	Strong
