,k_d_RNAP,k_eq_opening,k_escape
b0091,-3.805262699455354,-2.0431382859654037,-1.946636728175773
b0092,-3.8338262328319916,-2.0150671518486103,-1.9186844483037948
b0093,-3.8329564518722856,-2.0159203269380903,-1.9195336604380075
b0094,-3.8439643902486718,-2.005130840694256,-1.908796056469355
b0095,-4.03294203746066,-1.825577645716064,-1.7310226404850084
b0096,-4.196262600596056,-1.7251092836797541,-1.6330797412537235
b0106,-3.3135297117488087,-2.5327828115794513,-2.4357452445664176
b0107,-3.3399839866291066,-2.5063425485782598,-2.4093087550907746
b0108,-3.071938555729409,-2.7743173210740193,-2.6772644736043514
b0109,-3.7386829378674133,-2.10890401662687,-2.0121997716982456
b0110,-3.666129689755959,-2.1809201285537028,-2.0840778166104004
b0111,-3.595576684511581,-2.2511592058151555,-2.1542345773154765
b0112,-3.943109187650182,-1.9090899773575192,-1.8134360517356938
b0113,-3.859075785956258,-1.990350791671366,-1.8940936724588435
b0114,-4.149252043186298,-1.7376574571578973,-1.6452075361642287
b0115,-4.070150199078292,-1.793225225304677,-1.6992997137292554
b0118,-4.113837978704391,-1.7590551980335563,-1.6659683909109755
b0119,-3.7067670362558016,-2.1405490959070668,-2.0437756733423593
b0120,-3.951165663290112,-1.9014139753749166,-1.805836599708556
b0121,-3.9378619144711813,-1.9141030761763937,-1.8184013130729564
b0122,-3.801769081963054,-2.046578571107589,-1.9500639719996864
b0123,-3.7962191690924976,-2.0520465511397084,-1.955511852571092
b0124,-3.761291891626204,-2.086528407207666,-1.9898830631081017
b0125,-3.871380019780778,-1.97834630408454,-1.8821583849416248
b0126,-4.104196842106716,-1.7660669760784133,-1.6727913692223975
b0131,-4.013126952623867,-1.8435018969631956,-1.7486545709018533
b0133,-3.948672217011326,-1.9037868578502535,-1.8081853814320341
b0134,-3.9054413875793106,-1.9452825707339765,-1.8493178734232856
b0139,-3.2011808386408718,-2.6450939943703236,-2.548046264828295
b0140,-3.0061334712987287,-2.840117605218996,-2.743063461020863
b0142,-3.6492675996349977,-2.1976924027177085,-2.10082666292905
b0143,-3.9027730890567423,-1.9478626006549233,-1.8518785864646818
b0144,-3.5572612065282025,-2.2893592752652814,-2.1924040804031897
b0145,-4.097559774886233,-1.771099031187042,-1.6776935216629998
b0146,-3.7245168741920165,-2.1229421740690095,-2.026205367144529
b0149,-3.689399270036237,-2.1577935523722944,-2.060988339285017
b0150,-3.86426585958965,-1.9852836849502653,-1.8890550750489032
b0151,-3.6548128656952943,-2.1921754977063235,-2.0953171663313745
b0152,-3.58829399183393,-2.2584175121610883,-2.161486438550977
b0153,-3.493730866440754,-2.3527548839268184,-2.2557637964612147
b0154,-3.853662114993813,-1.9956413268530289,-1.8993554897483054
b0156,-3.9142939050624315,-1.9367368960638918,-1.8408387051173634
b0157,-3.538938246181508,-2.3076370753430044,-2.2106698748069076
b0158,-3.545390036875217,-2.30120053089545,-2.2042373863354006
b0159,-3.921357454899473,-1.929934530463078,-1.8340921684727463
b0160,-3.633660204337351,-2.2132256946359212,-2.1163405512831233
b0161,-3.800989374638211,-2.047346563255005,-1.9508290950134646
b0162,-3.428108885060307,-2.4182880646147447,-2.3212731972546
b0166,-4.107734406471418,-1.7634503726693456,-1.6702441405898694
b0167,-3.651858055204542,-2.1951150574257206,-2.0982527434977634
b0171,-3.8941756899977142,-1.9561880916858774,-1.8601440481559064
b0172,-4.130685387771597,-1.747866897348349,-1.6551011938735665
b0174,-3.8672687159058574,-1.9823542589782546,-1.8861425932512919
b0176,-3.8896939984923327,-1.9605352539388994,-1.8644612156494889
b0177,-3.9875343973920687,-1.8671395647265951,-1.771958459041007
b0178,-4.110254157835077,-1.7616168213533339,-1.6684599644631264
b0179,-4.045024620617967,-1.8148555786824854,-1.720493689346127
b0180,-4.035370480497431,-1.8234086963790679,-1.728891601586257
b0181,-3.972460033884375,-1.8812629277724908,-1.785907040643298
b0182,-3.7927691908922156,-2.0554472677814313,-1.9589004468600604
b0183,-3.7071464440154593,-2.1401725565639356,-2.043399871318822
b0184,-3.7468863083838717,-2.1007809243043374,-2.004097016398679
b0185,-3.9318042296560765,-1.9199029549989888,-1.824147882997995
b0189,-3.835552340488308,-2.0133743241751514,-1.9169995533621005
b4406,-3.865211240390642,-1.9843612382237894,-1.8881379268359713
b0190,-3.672540368134685,-2.1745465157621044,-2.077713843437724
b0191,-3.662820766480531,-2.18421057008548,-2.087363445355514
b0192,-3.7028371338887034,-2.1444497411075325,-2.0476687923833548
b0194,-3.9491431527984844,-1.9033384960423152,-1.807741543160941
b0197,-4.1553809399814305,-1.7349048864061531,-1.642544040192564
b0198,-3.861289415511877,-1.988189007549454,-1.891943929032656
b0199,-3.8395803019430526,-2.009425735860285,-1.913069833808259
b0200,-3.7525057227035123,-2.0952193210302124,-1.998550010904006
b0207,-3.5955298703217378,-2.2512058592307804,-2.1542811882637753
b0209,-3.815897112437958,-2.032675015656247,-1.9362150845387969
b0210,-3.5670631495362333,-2.2795839748129967,-2.182635850930897
b0214,-3.6991620200255366,-2.148098229098839,-2.0513104221035783
b0215,-3.7992380441041536,-2.0490718254579443,-1.9525479671565857
b0219,-3.631821221229969,-2.2150564721769346,-2.1181691761057966
b0221,-3.55575731776775,-2.290859235611557,-2.1939029973989683
b0225,-3.7615830064982045,-2.08624055388916,-1.9895960284841105
b0226,-3.9061564792463352,-1.9445914583951358,-1.848631994425808
b0231,-3.5180259680586157,-2.3285044022243753,-2.2315252264894014
b0232,-3.556426292359753,-2.2901920033933814,-2.1932362279627373
b0233,-3.488665222640162,-2.3578121383280157,-2.2608188084662153
b0234,-3.3904224956791165,-2.45593903792595,-2.3589146591069086
b0237,-3.931930761623943,-1.9197816756598447,-1.8240276965702877
b0238,-3.8605054202410383,-1.9889545396384578,-1.8927051766346774
b0239,-3.6886805564755445,-2.158507485310692,-2.0617010360227734
b0241,-3.2255971192210358,-2.6206836141817345,-2.5236374767498257
b0245,-3.156434421802092,-2.689831873848774,-2.592781839888366
b0246,-2.9447998351642686,-2.90144836095067,-2.8043934385143525
b4504,-2.948400010982228,-2.897848322608414,-2.8007934373181667
b0247,-2.9960902105634903,-2.8501603069367616,-2.7531060117092916
b0248,-2.8894317948138672,-2.956814666186586,-2.859759274900255
b0249,-3.032961521861961,-2.8132912528889227,-2.7162375674771693
b0250,-3.7041730517366287,-2.143123676650901,-2.0463452637832447
b0252,-3.118845684716791,-2.7274152218979206,-2.6303637328500438
b0273,-3.8366698341595966,-2.0122786091121845,-1.9159090226935191
b0277,-3.429972895260581,-2.416426058143043,-2.3194117284434097
b0289,-3.4426215694993694,-2.403791687928664,-2.306781194974267
b0290,-3.35437735823848,-2.491957950506187,-2.394926518562221
b0291,-3.222929226063474,-2.6233508130801058,-2.5263044883379857
b0292,-3.2041640379971232,-2.64211146364899,-2.5450639145474647
b0293,-3.498047342192911,-2.3484457941406354,-2.2514566801401776
b0294,-3.2123366784389105,-2.633940727227567,-2.5368936919219554
b4506,-3.440357187929308,-2.40605341556413,-2.3090422109418323
b0296,-3.5216117627355747,-2.3249258568374946,-2.2279486140385636
b4671,-3.137560567652884,-2.7087028473332975,-2.6116520356131754
b0301,-3.2803497917086144,-2.5659484240776442,-2.468907001381195
b0304,-3.432765703329455,-2.413636301180756,-2.316622790088454
b0311,-3.5312520117686983,-2.315306020842785,-2.218334217432858
b0312,-3.6235915610899063,-2.223250687949711,-2.126354083613732
b0313,-3.669283122460837,-2.177784717674101,-2.080947094742891
b0314,-3.56200228164656,-2.2846308586970103,-2.187679024530237
b0315,-3.549253282310513,-2.297346749230409,-2.200386120879774
b0319,-3.0781587908912207,-2.7680976629339535,-2.6710449713190125
b0329,-3.980552956224466,-1.8736643508313051,-1.77840036537708
b0330,-3.3379585769638744,-2.5083667923754462,-2.4113326850027756
b0331,-3.195111679246955,-2.6511618353056927,-2.554113749942749
b0333,-3.1690795960626956,-2.67718885089578,-2.5801393977058886
b0334,-3.11999053392892,-2.726270516990189,-2.6292190669105167
b0335,-3.2225424566736374,-2.6237374828809066,-2.526691131269302
b0336,-3.750636950246702,-2.097068605874297,-2.00039437940727
b0337,-3.843045662405162,-2.006030630295525,-1.9096913696954008
b0338,-3.4565444096188496,-2.389886116402023,-2.2928802519775937
b0339,-3.267692261259456,-2.5786013058105985,-2.4815586297986925
b0340,-3.3852013333398427,-2.461155983962809,-2.3641304717568445
b0341,-3.248163276919753,-2.5981238707490473,-2.501079463592274
b0342,-3.304971512797681,-2.541337000086445,-2.4442983525727744
b0343,-3.174185737336756,-2.6720836330523237,-2.5750344291354876
b0344,-3.2184372075293926,-2.627841691225668,-2.530795058795138
b0345,-3.6455251612723507,-2.201416319982361,-2.1045457368446434
b0346,-3.6271577234607957,-2.219699632485037,-2.122806997351838
b0347,-3.16860947246632,-2.6776588910991825,-2.580609415397467
b0348,-3.156429961313989,-2.689836333610718,-2.5927862994542648
b0349,-3.237406076925387,-2.6088778881161097,-2.5118326224966525
b0350,-3.2530657329483805,-2.59322294561324,-2.4961789513451045
b0351,-3.2832597033683326,-2.56303963994229,-2.4659985211909
b0352,-3.281631180433931,-2.564667529064403,-2.467626239459138
b0353,-3.2851602328825384,-2.561139859193607,-2.4640989422770336
b0365,-3.2748397896128547,-2.5714563523886036,-2.474414370623554
b0366,-3.284021805119985,-2.5622778372591273,-2.4652367991245145
b0367,-3.249722833929434,-2.5965647951234376,-2.4995205178012614
b0368,-3.354570806918693,-2.491764625803784,-2.3947332272236164
b0369,-3.830682523608734,-2.0181513531442468,-1.9217544335892447
b0376,-3.650092524946746,-2.1968716262922254,-2.1000069708806968
b0377,-3.538574171195803,-2.308000310294679,-2.2110328861996815
b0378,-3.619266575547092,-2.22755785431537,-2.1306565645508737
b0380,-3.606493446137429,-2.240281417373624,-2.143367073962082
b0382,-3.8441533517564617,-2.004945790796717,-1.9086119306413636
b0383,-3.521192747355423,-2.325344015720886,-2.2283665445813585
b0384,-3.6586110851683773,-2.1883973568747948,-2.0915442644610556
b0385,-3.274600936886477,-2.5716951169944755,-2.4746531114719557
b0386,-3.7766150108479373,-2.0713867407888036,-1.9747867525621543
b0388,-3.8804642947470227,-1.9695024712546574,-1.873369342456441
b0389,-3.908469337351025,-1.9423571115389011,-1.8464147393924069
b0390,-3.68103939544663,-2.166099305909321,-2.0692800816912458
b0391,-3.907211574375385,-1.9435719973556427,-1.8476202990091806
b0392,-3.577079726424672,-2.269596580303348,-2.1726561914077127
b0396,-3.48508409406387,-2.3613875120797077,-2.2643926435092334
b0397,-3.532066883124304,-2.3144929387449857,-2.217521611865852
b0398,-3.552521301917309,-2.2940869372639567,-2.1971284902475015
b0399,-3.5970392420129844,-2.249701697898682,-2.1527784030476065
b0400,-3.463287511485239,-2.3831519981352622,-2.286148540131574
b0401,-3.7078626196333397,-2.139461816701537,-2.042690528431923
b0402,-3.616119459567761,-2.230692341026792,-2.13378772812279
b0403,-3.5257105670185886,-2.3208355641728406,-2.223860590062452
b0405,-3.6713438953764914,-2.175735941981983,-2.078901438357594
b0406,-3.866095766527501,-1.9834983223120057,-1.8872799982327446
b0407,-4.133070132674743,-1.7464158814894915,-1.6536936941502978
b0408,-3.9162452881369436,-1.9348561678606897,-1.8389731501566782
b0409,-3.8838106746252747,-1.9662490629888199,-1.8701369497765914
b0411,-3.95710932185434,-1.8957683586838205,-1.8002499451099112
b0413,-3.8159585407892176,-2.0326146158588765,-1.9361549338906119
b0414,-3.7714285560723977,-2.0765094901057926,-1.9798936223979775
b0415,-3.9254740774633112,-1.925977252712755,-1.8301686016240448
b0416,-3.981046969505069,-1.8732017013511228,-1.7779434696601653
b0417,-3.6781278605174803,-2.168992735728588,-2.0721688164292345
b0418,-3.7808323821758365,-2.0672229869546532,-1.9706363265870446
b0419,-3.78090064858463,-2.0671556021726962,-1.9705691606710491
b0420,-3.783723692900951,-2.0643694060466857,-1.967792104027095
b0421,-3.825406320807229,-2.0233307977025867,-1.9269106768650464
b0422,-3.8635586076050794,-1.985973888925123,-1.8897413365884688
b0423,-3.7225006753907532,-2.124941206761961,-2.0282000148040873
b0426,-4.019790667494269,-1.8374321054514422,-1.7426797154529576
b0427,-3.5029920348995525,-2.343509839821251,-2.2465230597656274
b0428,-3.964315638491966,-1.8889446575002462,-1.7935006638507527
b0429,-4.003698459832581,-1.852153963545273,-1.7571780569025393
b0430,-4.012135598668614,-1.8444082051311228,-1.7495470445476187
b0431,-4.06784980011212,-1.7951608948253044,-1.7011935965192342
b0433,-3.633807297879963,-2.2130792620382134,-2.1161942920474295
b0434,-3.9088051814418865,-1.942032790258196,-1.8460929211093005
b0435,-4.000375320853994,-1.855219893608509,-1.7602002481468317
b0437,-4.04458367599738,-1.8152436781166728,-1.7208745442485294
b0438,-4.043562082341032,-1.8161438167870572,-1.7217579555088829
b0439,-3.897148415940919,-1.9533072797806161,-1.8572836170754405
b0441,-3.87973909574557,-1.9702078421965823,-1.87407021915961
b0443,-3.513005794792331,-2.3335147261727873,-2.236532923190638
b0447,-3.5799019900084996,-2.2667829158077883,-2.1698448041524356
b0450,-3.3448671361687334,-2.5014622780660494,-2.4044292596227206
b0451,-3.4519216691234056,-2.3945029370253814,-2.297495486306106
b0452,-3.6865865875940758,-2.160587664723077,-2.063777648122616
b0458,-3.7707643970444575,-2.0771656645252214,-1.9805478031645423
b0460,-4.011289937895295,-1.845181972261984,-1.7503090691707721
b0461,-3.8891434027346587,-1.9610696493419792,-1.8649919857788244
b0462,-3.8539504936863183,-1.995359379190946,-1.8990750461484427
b0463,-3.8720170383499606,-1.9777255962143183,-1.8815414139920255
b0464,-3.5910901557478274,-2.2556305641493215,-2.1587019270893646
b0465,-3.6396321853315214,-2.2072811074863856,-2.1104031448938083
b0469,-3.904993891492456,-1.9457151309258247,-1.8497471708531792
b0470,-3.7583512193239534,-2.08943651804717,-1.9927829936577457
b0471,-4.006560175937013,-1.8495204251347244,-1.7545828404216304
b0472,-3.899790847576319,-1.9507483996506705,-1.854743184611021
b0473,-3.8608546144248006,-1.9886135552379927,-1.8923660978312984
b0474,-4.0511925627739,-1.8094545694253823,-1.7151955588071122
b0475,-3.6100684621945893,-2.236719828269351,-2.139809023923275
b0476,-3.3406395928773343,-2.5056873232284675,-2.4086536322861067
b0478,-3.7168312666698085,-2.13056365817688,-2.0338104530093255
b0483,-3.8466465917008588,-2.0025046929539627,-1.9061831341948974
b0484,-3.8818311888882913,-1.9681732581819247,-1.8720486583240723
b0485,-3.57334231479317,-2.2733228631469644,-2.1763795257318765
b0486,-3.546630509606371,-2.2999630691345034,-2.2030007252458272
b0488,-3.603865885986045,-2.2428993220175695,-2.1459824322440575
b0489,-3.680561059067048,-2.166574641983241,-2.0697546399905953
b0490,-3.5920566502365583,-2.2546672974354904,-2.157739513504571
b0491,-3.5394353764519746,-2.307141095561963,-2.210174201192311
b0492,-3.865511825054643,-1.984067980679826,-1.8878463608606968
b0493,-3.708558311554268,-2.1387714318359907,-2.0420015071222553
b0494,-3.7013843016199295,-2.14589196401805,-2.049108283570896
b0504,-3.182769984099985,-2.6635010141183284,-2.5664522495955886
b0505,-3.337405205354948,-2.50891984828684,-2.411885655916397
b0507,-3.251835526529739,-2.5944527629811063,-2.497408663787017
b0508,-3.1594432979942315,-2.6868234926339567,-2.5897735923035676
b0509,-3.198181099014527,-2.648093075419939,-2.55104516814628
b0511,-2.9788357499206137,-2.867413893270545,-2.770359361823782
b0512,-3.264712266622113,-2.5815802639431467,-2.484537308447875
b0513,-3.231579320095849,-2.6147030174044685,-2.5176573127328825
b0514,-3.305092817198886,-2.541215750885277,-2.4441771182450585
b0515,-3.5803133438720636,-2.2663728295549976,-2.169435053515518
b0516,-3.4168866474657054,-2.429498771709999,-2.3324808093979232
b0517,-3.081392469853128,-2.7648642938889085,-2.6678116859814094
b0522,-3.8252138955715447,-2.023519766223743,-1.9270988145297139
b0523,-3.8413378434697765,-2.0077035946639903,-1.911356084973555
b0526,-3.7923196207075796,-2.055890510620177,-1.9593421306021417
b0528,-3.7345205607582956,-2.113027445988727,-2.016313306609573
b0529,-3.897866152142034,-1.9526120636534718,-1.8565933806273751
b0554,-3.336208047527927,-2.510116327264082,-2.4130819521172637
b0555,-3.343025644535922,-2.503302672530463,-2.4062693587378154
b0556,-3.225986052862793,-2.6202947828253946,-2.523248672989447
b0557,-3.8541328245725235,-1.9951811217440385,-1.8988977411400265
b0564,-3.604544317721956,-2.2422233662612148,-2.1453071295653756
b0570,-3.63125409565298,-2.215621088641202,-2.118733134143222
b0571,-3.74916740631111,-2.098523009925723,-2.0018449608435307
b0572,-3.7608698020153586,-2.0869457801367153,-1.9902992518624472
b0573,-3.885430645193028,-1.964674986170792,-1.8685732121024077
b0574,-3.74508308176066,-2.1025660934892785,-2.0058776177647046
b0575,-3.617326326566701,-2.229490284084788,-2.132586937082198
b0576,-3.636999910891541,-2.2099011650237945,-2.1130200011450047
b0578,-3.8820034162971897,-1.9680058073004705,-1.8718822874780219
b0583,-3.45269547500801,-2.39373010886774,-2.2967229201712502
b0584,-3.6463683967595597,-2.200577214929819,-2.103707712282487
b0585,-3.560077227280816,-2.2865507225258366,-2.1895975105726126
b4511,-3.571372347683046,-2.2752870805820185,-2.1783422192185626
b0586,-3.6161050341044607,-2.2307067092431985,-2.1338020812713587
b0587,-3.082696570343598,-2.763560320356898,-2.6665077467400797
b0588,-3.5738804839239666,-2.272786278601334,-2.17584336110794
b0589,-3.4854844626375208,-2.3609877797928105,-2.2639930813711313
b0590,-3.5356635600536683,-2.3109042820036922,-2.2139350906435946
b0591,-3.540732407992814,-2.3058470845693733,-2.2088809939452485
b0592,-3.609026077767682,-2.2377582628039536,-2.140846417578665
b0593,-3.6754876575925066,-2.17161684191294,-2.0747887450037896
b0594,-3.637287842841609,-2.209614558385322,-2.1127337418762235
b0595,-3.661906935288398,-2.185119373131686,-2.0882709383136557
b0596,-3.6518813680681887,-2.195091863643132,-2.0982295808227476
b0597,-3.6669298600502684,-2.180124493092596,-2.0832833614182995
b0598,-3.7646411409847413,-2.0832171032020494,-1.98658127610638
b0602,-3.216239254453944,-2.630039099084266,-2.532992319542939
b0604,-3.6714712424322005,-2.1756093420818434,-2.0787750326617256
b0606,-3.871950659138442,-1.97779027202722,-1.881605699679255
b0607,-3.8315297587260573,-2.017320016757346,-1.9209268992515849
b0611,-3.7719906770254887,-2.075954157420626,-1.9793399840629835
b0613,-2.9129396777780805,-2.93330743984774,-2.8362522259943757
b0614,-2.9844378233987383,-2.8618120923131354,-2.7647576344965668
b0615,-3.023483544511361,-2.822768594011273,-2.7257147367234347
b0616,-2.9342730442658986,-2.9119747689462803,-2.8149197430480086
b0617,-2.853962024348552,-2.992283627380632,-2.895228017406002
b0618,-2.8518197479134377,-2.994425860999837,-2.8973702394548924
b0619,-3.4502403276545666,-2.3961821721066503,-2.2991741568523714
b0620,-3.5092822283263083,-2.337231206689596,-2.2402475128276618
b0621,-3.306692401316633,-2.5396168990171195,-2.4425784636753267
b0622,-3.4046435891165667,-2.4417302339224185,-2.3447091573679835
b0628,-3.8768450996818835,-1.9730238239757634,-1.8768684762926091
b0630,-3.7354406366078403,-2.1121158788575145,-2.015403902618743
b0631,-3.9122165786389664,-1.9387402303094836,-1.8428260931045997
b0633,-3.835594111714372,-2.013333363710426,-1.9169587859957782
b0634,-3.693985462253544,-2.1532384499476027,-2.0564412694780523
b0635,-3.6776478070183627,-2.1694698399162538,-2.072645155413662
b0636,-3.7753195398242383,-2.0726660720386945,-1.9760620652724963
b0637,-3.8761708146820166,-1.9736801843505916,-1.8775207547881965
b0643,-3.8602803241044574,-1.9891743553178645,-1.8929237662537857
b0652,-3.6839249623432146,-2.1632320567440564,-2.0664175786926284
b0653,-3.615955812067326,-2.2308553394394806,-2.1339505556880596
b0654,-3.6378561433241514,-2.209048881634957,-2.112168752753538
b0655,-3.9328657052387133,-1.9188857158767831,-1.8231398392956601
b0657,-3.7073964098366208,-2.1399244848101673,-2.0431522863760967
b0658,-3.963692347144205,-1.889533893934495,-1.7940833340424138
b0659,-3.873900309468394,-1.9758910215743386,-1.8797179786469893
b0660,-3.889656470905652,-1.9605716750965139,-1.8644973893038752
b0674,-3.806358225904822,-2.0420597705092587,-1.9455623654546912
b0675,-3.8112802197140248,-2.0372159383677153,-1.9407375710641346
b0676,-3.765936806481451,-2.081936367394065,-1.9853042801112248
b0677,-3.7562700654716177,-2.091495045231431,-1.9948358290213744
b0678,-3.7773128639462956,-2.0706976456991604,-1.974099836788925
b0679,-3.7009642479241176,-2.146308970747318,-2.049524505508432
b0680,-3.9367619575717865,-1.9151552432560432,-1.8194436493563997
b0681,-3.262996208210429,-2.583295735099582,-2.4862526212507183
b0682,-3.318489062646918,-2.5278258957771182,-2.4307889847335735
b0683,-4.095171601724531,-1.7729457714040575,-1.6794937222758821
b0684,-4.003188099060713,-1.852624288186995,-1.757641611162189
b0685,-3.701513831476651,-2.1457633755872116,-2.0489799375956554
b0687,-3.919284705613614,-1.9319290664739182,-1.8360700610295988
b0688,-3.91053719565034,-1.9403607009684305,-1.8444338260929303
b0691,-3.184958138152114,-2.6613132906905594,-2.5642646423991553
b0696,-3.4565755933891555,-2.389854973215,-2.2928491196638014
b0697,-3.2584313817816497,-2.5878590329142206,-2.490815506853763
b0698,-3.131504922777376,-2.714757644795407,-2.6177066042596917
b0707,-3.6530258921609127,-2.1939532099620873,-2.0970924604559436
b0708,-3.572793097156909,-2.273870469815078,-2.176926705454905
b0710,-3.835307758838053,-2.013614163741203,-1.9172382633596425
b0711,-3.8148418771021606,-2.033712655702431,-1.9372484605429097
b0712,-3.7820040227739837,-2.0660665390026143,-1.969483648967717
b0713,-3.724815860234114,-2.122645754892167,-2.0259096033618595
b0714,-3.5961061315584724,-2.2506315807352046,-2.153707433472423
b0721,-4.030239645325371,-1.827998959591643,-1.7334023036784092
b0722,-3.9448531939270763,-1.9074261326521074,-1.811788455584893
b0723,-3.98738478964896,-1.8672790764194187,-1.7720961590213844
b0724,-4.00721653706418,-1.8489172953602113,-1.7539885862919025
b0726,-3.9680307215102038,-1.8854364827402625,-1.7900321439611464
b0727,-4.053330354017216,-1.8075952222245502,-1.713372533936679
b0728,-4.067060014314629,-1.7958277937121583,-1.7018462287364926
b0729,-4.061755103803806,-1.8003368003615317,-1.7062604976214348
b0730,-3.545656568848113,-2.300934643669304,-2.2039716705685084
b0731,-2.996083875403348,-2.8501666417563842,-2.753112346436915
b0732,-3.390574418051034,-2.45578724053789,-2.3587628953124518
b0733,-3.9183018108728724,-1.9328753343506886,-1.8370085128969933
b0734,-3.9082447868626295,-1.9425739751265272,-1.846629932439798
b0750,-3.882202199583441,-1.9678125450771498,-1.8716902733283074
b0751,-3.84897858159666,-2.0002223782757236,-1.9039125103556827
b0754,-4.09452749568447,-1.7734469179265593,-1.6799823426576035
b0756,-3.910007486678491,-1.9408719936106211,-1.844941129338194
b0757,-3.748374557942835,-2.0993077568021614,-2.0026276610819322
b0758,-3.6428587055714474,-2.204069875434441,-2.1071959163455865
b0759,-3.7201931009859623,-2.127229437328463,-2.0304832997983757
b0762,-3.895338284921923,-1.955061184302649,-1.8590250648666615
b0763,-3.7252478904321658,-2.1222174435456487,-2.0254822414042213
b0764,-3.6429337559044876,-2.2039951848769817,-2.107121319967773
b0765,-3.59800303075469,-2.248741265174761,-2.1518188565096015
b0772,-3.812992680366138,-2.0355313509083475,-1.9390597555380238
b0774,-3.6815828709529304,-2.1655592517073954,-2.068740914266691
