mg_tu_id,mg_tss,mg_tss_strand,strain_id,strain_tss,strain_tss_strand,strain_name,strain_tu_length
ECK120026785,937328,1,NC_017626.1,1053308,1,042,2009
ECK120026784,932078,-1,NC_017626.1,1046881,-1,042,1059
ECK120026782,914895,-1,NC_017626.1,1029594,-1,042,937
ECK120026776,888057,-1,NC_017626.1,1001355,-1,042,80
ECK120026769,866537,1,NC_017626.1,978963,1,042,6264
ECK120026762,842153,-1,NC_017626.1,954217,-1,042,357
ECK120026759,838484,-1,NC_017626.1,950611,-1,042,294
ECK120026756,830669,-1,NC_017626.1,937508,-1,042,5667
ECK120026753,819858,1,NC_017626.1,930412,1,042,730
ECK120026751,807321,-1,NC_017626.1,875771,-1,042,1323
ECK120026749,794751,1,NC_017626.1,864690,1,042,171
ECK120026745,782061,1,NC_017626.1,851989,1,042,1824
ECK120026729,708236,1,NC_017626.1,784953,1,042,1881
ECK120026717,669072,-1,NC_017626.1,739858,-1,042,4970
ECK120026827,1105201,1,NC_017626.1,1195402,1,042,524
ECK120026826,1100252,1,NC_017626.1,1190453,1,042,535
ECK120026709,657250,1,NC_017626.1,733000,1,042,251
ECK120026708,651984,1,NC_017626.1,727734,1,042,2558
ECK120026593,310119,-1,NC_017626.1,353431,-1,042,5623
ECK120026640,454993,1,NC_017626.1,519245,1,042,1438
ECK120026675,557781,-1,NC_017626.1,644678,-1,042,1120
ECK120026667,515903,1,NC_017626.1,610674,1,042,1459
ECK120026662,503295,-1,NC_017626.1,567141,-1,042,1733
ECK120026661,498031,1,NC_017626.1,562178,1,042,986
ECK120026658,492056,1,NC_017626.1,556307,1,042,1967
ECK120026655,486492,1,NC_017626.1,550743,1,042,3406
ECK120026654,480794,-1,NC_017626.1,544341,-1,042,704
ECK120026652,479288,-1,NC_017626.1,543032,-1,042,507
ECK120026647,468352,1,NC_017626.1,532604,1,042,489
ECK120026643,464360,1,NC_017626.1,528612,1,042,440
ECK120026639,454210,-1,NC_017626.1,517809,-1,042,653
ECK120026594,310797,-1,NC_017626.1,359019,-1,042,713
ECK120026637,446687,-1,NC_017626.1,509554,-1,042,1385
ECK120026631,419488,1,NC_017626.1,479343,1,042,2871
ECK120026630,416977,-1,NC_017626.1,472465,-1,042,4367
ECK120026629,408574,1,NC_017626.1,468534,1,042,376
ECK120026628,408148,1,NC_017626.1,468108,1,042,313
ECK120026626,401319,1,NC_017626.1,461280,1,042,327
ECK120026621,389754,-1,NC_017626.1,449798,-1,042,1001
ECK120026613,375386,1,NC_017626.1,437945,1,042,1284
ECK120026596,312805,-1,NC_017626.1,361307,-1,042,431
ECK120026572,256502,1,NC_017626.1,330555,1,042,1269
ECK120021241,1618941,-1,NC_017626.1,1750053,-1,042,698
ECK120026568,250880,1,NC_017626.1,323212,1,042,2281
ECK120021263,2814816,-1,NC_017626.1,3076618,-1,042,598
ECK120026707,651952,-1,NC_017626.1,722380,-1,042,5321
ECK120026705,645034,-1,NC_017626.1,719946,-1,042,837
ECK120026553,222806,1,NC_017626.1,227655,1,042,602
ECK120026550,214280,1,NC_017626.1,219301,1,042,1699
ECK120026549,214187,-1,NC_017626.1,218699,-1,042,509
ECK120026538,179196,1,NC_017626.1,184969,1,042,1558
ECK120026537,179183,-1,NC_017626.1,182774,-1,042,2182
ECK120026535,164721,1,NC_017626.1,170611,1,042,2543
ECK120026526,106508,1,NC_017626.1,113200,1,042,1036
ECK120026525,87947,1,NC_017626.1,94639,1,042,1085
ECK120026524,84188,1,NC_017626.1,90880,1,042,1124
ECK120026521,71271,1,NC_017626.1,78204,1,042,844
ECK120026516,45592,1,NC_017626.1,52134,1,042,1548
ECK120026304,255737,-1,NC_017626.1,328312,-1,042,1478
ECK120026302,403687,1,NC_017626.1,463647,1,042,1131
ECK120026301,4602177,-1,NC_017626.1,5201408,-1,042,2038
ECK120026300,4601615,-1,NC_017626.1,5201408,-1,042,1476
ECK120026299,4602177,-1,NC_017626.1,5200889,-1,042,2557
ECK120026298,1717269,-1,NC_017626.1,1884355,-1,042,2243
ECK120026297,1718034,-1,NC_017626.1,1884355,-1,042,3008
ECK120026296,3513697,-1,NC_017626.1,3858728,-1,042,1063
ECK120021265,1799301,-1,NC_017626.1,1968348,-1,042,140
ECK120021264,1799763,-1,NC_017626.1,1968348,-1,042,602
ECK120021260,3700272,-1,NC_017626.1,4080428,-1,042,373
ECK120026595,311393,-1,NC_017626.1,359681,-1,042,647
ECK120021238,1437121,1,NC_017626.1,1586295,1,042,108
ECK120020473,475201,-1,NC_017626.1,538553,-1,042,900
ECK120021233,2290422,1,NC_017626.1,2563031,1,042,725
ECK120021227,1313991,1,NC_017626.1,1396111,1,042,667
ECK120021226,850419,1,NC_017626.1,962840,1,042,590
ECK120021223,1024438,1,NC_017626.1,1131919,1,042,2087
ECK120021222,3948021,-1,NC_017626.1,4412690,-1,042,893
ECK120021219,1734162,-1,NC_017626.1,1903082,-1,042,408
ECK120021212,1234916,1,NC_017626.1,1312172,1,042,781
ECK120021211,243406,-1,NC_017626.1,277573,-1,042,2547
ECK120021206,2025313,-1,NC_017626.1,2197521,-1,042,86
ECK120021202,880653,1,NC_017626.1,994032,1,042,1276
ECK120021162,2629031,-1,NC_017626.1,2869713,-1,042,2336
ECK120021196,142703,-1,NC_017626.1,148330,-1,042,695
ECK120021191,396363,-1,NC_017626.1,454914,-1,042,1233
ECK120021188,3843910,1,NC_017626.1,4275047,1,042,1820
ECK120021186,2976189,-1,NC_017626.1,3238137,-1,042,87
ECK120021185,2976385,-1,NC_017626.1,3238340,-1,042,81
ECK120021184,3374583,1,NC_017626.1,3736377,1,042,1653
ECK120021182,3389496,1,NC_017626.1,3751291,1,042,953
ECK120021180,3206380,-1,NC_017626.1,3576397,-1,042,1056
ECK120021176,3138700,1,NC_017626.1,3502888,1,042,893
ECK120021173,3041282,1,NC_017626.1,3319067,1,042,1011
ECK120021172,3005847,-1,NC_017626.1,3281975,-1,042,1839
ECK120021194,3544858,-1,NC_017626.1,3890448,-1,042,784
ECK120021065,1395973,-1,NC_017626.1,1517073,-1,042,1082
ECK120021147,2137863,1,NC_017626.1,2399987,1,042,1622
ECK120021138,1877657,1,NC_017626.1,2049469,1,042,1083
ECK120021137,1875600,-1,NC_017626.1,2046567,-1,042,845
ECK120021136,1874323,1,NC_017626.1,2046135,1,042,475
ECK120021134,1779328,-1,NC_017626.1,1947722,-1,042,938
ECK120021133,1746202,-1,NC_017626.1,1914195,-1,042,1331
ECK120021124,1495134,-1,NC_017626.1,1618813,-1,042,986
ECK120021123,1440831,-1,NC_017626.1,1586433,-1,042,3571
ECK120021122,1441029,1,NC_017626.1,1590202,1,042,295
ECK120021118,1388874,1,NC_017626.1,1510391,1,042,1021
ECK120021116,1273760,1,NC_017626.1,1358555,1,042,1418
ECK120021114,1258738,1,NC_017626.1,1344066,1,042,331
ECK120021111,1237285,-1,NC_017626.1,1312963,-1,042,1576
ECK120021110,1169033,1,NC_017626.1,1261471,1,042,297
ECK120021109,1168844,-1,NC_017626.1,1260638,-1,042,644
ECK120021104,1021083,1,NC_017626.1,1128564,1,042,684
ECK120021102,1018459,1,NC_017626.1,1125928,1,042,478
ECK120021094,3182433,1,NC_017626.1,3554717,1,042,890
ECK120021091,4428819,-1,NC_017626.1,5019035,-1,042,740
ECK120021089,4016343,-1,NC_017626.1,4487914,-1,042,989
ECK120021086,3216753,1,NC_017626.1,3587816,1,042,649
ECK120021072,1901772,-1,NC_017626.1,2072058,-1,042,1737
ECK120021071,1842163,-1,NC_017626.1,2010832,-1,042,300
ECK120021070,1841432,-1,NC_017626.1,2009752,-1,042,649
ECK120021069,1809263,-1,NC_017626.1,1977878,-1,042,566
ECK120021169,2799084,1,NC_017626.1,3059342,1,042,529
ECK120021067,1523227,1,NC_017626.1,1648917,1,042,1141
ECK120021062,880519,-1,NC_017626.1,993233,-1,042,665
ECK120011055,424985,1,NC_017626.1,486628,1,042,1096
ECK120020471,2652391,1,NC_017626.1,2907055,1,042,948
ECK120021059,4605777,1,NC_017626.1,5207046,1,042,263
ECK120021054,4556856,1,NC_017626.1,5175686,1,042,529
ECK120021047,4478445,1,NC_017626.1,5068574,1,042,444
ECK120021041,4394092,-1,NC_017626.1,4978760,-1,042,1164
ECK120021039,4275418,1,NC_017626.1,4753435,1,042,1639
ECK120021038,4275164,-1,NC_017626.1,4752777,-1,042,404
ECK120021027,3860253,1,NC_017626.1,4294688,1,042,923
ECK120021020,3719097,-1,NC_017626.1,4099513,-1,042,763
ECK120021017,3634743,1,NC_017626.1,4000242,1,042,1150
ECK120021009,3327759,1,NC_017626.1,3696595,1,042,324
ECK120020537,2303695,-1,NC_017626.1,2570090,-1,042,6038
ECK120020536,1791254,-1,NC_017626.1,1959140,-1,042,1446
ECK120020535,3545596,1,NC_017626.1,3891970,1,042,603
ECK120020534,176561,1,NC_017626.1,182334,1,042,393
ECK120020510,824601,1,NC_017626.1,937107,1,042,439
ECK120020504,674993,1,NC_017626.1,750749,1,042,507
ECK120020499,444658,1,NC_017626.1,508911,1,042,516
ECK120020498,399454,1,NC_017626.1,459237,1,042,351
ECK120020493,346432,1,NC_017626.1,409137,1,042,327
ECK120020489,240216,-1,NC_017626.1,276133,-1,042,797
ECK120020481,2465135,-1,NC_017626.1,2736876,-1,042,883
ECK120020474,441468,1,NC_017626.1,505721,1,042,1529
ECK120021061,878070,-1,NC_017626.1,990089,-1,042,1360
ECK120021236,3522826,1,NC_017626.1,3868920,1,042,2622
ECK120020467,507204,1,NC_017626.1,572783,1,042,83
ECK120017003,2178667,-1,NC_017626.1,2438717,-1,042,1155
ECK120020465,4278066,-1,NC_017626.1,4755944,-1,042,139
ECK120020463,3350577,1,NC_017626.1,3719413,1,042,120
ECK120020462,3311183,1,NC_017626.1,3680023,1,042,215
ECK120020461,2814802,1,NC_017626.1,3077202,1,042,71
ECK120020459,919103,-1,NC_017626.1,1033753,-1,042,975
ECK120020454,1923066,1,NC_017626.1,2095089,1,042,248
ECK120020452,4126908,1,NC_017626.1,4599168,1,042,317
ECK120020449,855947,1,NC_017626.1,968368,1,042,1608
ECK120020440,1930857,1,NC_017626.1,2104642,1,042,1202
ECK120020439,405686,-1,NC_017626.1,464746,-1,042,900
ECK120020438,4449686,-1,NC_017626.1,5039546,-1,042,564
ECK120020437,3637612,1,NC_017626.1,4003111,1,042,1529
ECK120020436,1185823,1,NC_017626.1,1278258,1,042,1247
ECK120020435,990591,1,NC_017626.1,1104915,1,042,2643
ECK120020433,2537319,-1,NC_017626.1,2787409,-1,042,933
ECK120020432,146745,-1,NC_017626.1,152636,-1,042,431
ECK120020431,4158394,-1,NC_017626.1,4632929,-1,042,109
ECK120020429,554577,1,NC_017626.1,642594,1,042,1419
ECK120020428,3318375,-1,NC_017626.1,3686867,-1,042,344
ECK120020427,1344638,-1,NC_017626.1,1479207,-1,042,1041
ECK120020426,3311786,-1,NC_017626.1,3680212,-1,042,414
ECK120020425,1712671,1,NC_017626.1,1882000,1,042,1600
ECK120020424,2949156,1,NC_017626.1,3211190,1,042,1417
ECK120020464,3986432,1,NC_017626.1,4451786,1,042,171
ECK120021140,1995717,1,NC_017626.1,2167854,1,042,371
ECK120016931,1705755,1,NC_017626.1,1875081,1,042,6406
ECK120016929,742798,1,NC_017626.1,804802,1,042,3928
ECK120016556,3039633,-1,NC_017626.1,3312969,-1,042,4449
ECK120016777,4432009,-1,NC_017626.1,5022278,-1,042,688
ECK120016727,1728353,1,NC_017626.1,1897681,1,042,5387
ECK120016726,1538687,-1,NC_017626.1,1662638,-1,042,2750
ECK120016724,3893829,1,NC_017626.1,4331244,1,042,1389
ECK120016722,2013146,1,NC_017626.1,2185439,1,042,6367
ECK120016700,1986775,1,NC_017626.1,2158923,1,042,653
ECK120016699,639002,1,NC_017626.1,716085,1,042,2316
ECK120016697,1720998,1,NC_017626.1,1890326,1,042,3135
ECK120016696,1074134,1,NC_017626.1,1172332,1,042,746
ECK120015338,656526,1,NC_017626.1,732276,1,042,591
ECK120016695,4256598,-1,NC_017626.1,4732031,-1,042,2555
ECK120016693,3550399,-1,NC_017626.1,3894295,-1,042,2413
ECK120016692,2013036,-1,NC_017626.1,2184993,-1,042,336
ECK120016691,1144728,-1,NC_017626.1,1232167,-1,042,3546
ECK120016590,1988200,1,NC_017626.1,2160348,1,042,345
ECK120016589,2962507,-1,NC_017626.1,3221094,-1,042,3447
ECK120016564,1757296,1,NC_017626.1,1926624,1,042,361
ECK120016562,197026,1,NC_017626.1,202050,1,042,11582
ECK120016561,3343396,1,NC_017626.1,3712233,1,042,4573
ECK120016560,3328853,-1,NC_017626.1,3697642,-1,042,47
ECK120016559,3296072,1,NC_017626.1,3663573,1,042,912
ECK120016694,3682016,-1,NC_017626.1,4059526,-1,042,1571
ECK120016555,2735961,1,NC_017626.1,2991864,1,042,922
ECK120016553,926479,-1,NC_017626.1,1042024,-1,042,317
ECK120015950,2041346,1,NC_017626.1,2213563,1,042,679
ECK120016554,926685,-1,NC_017626.1,1042024,-1,042,523
ECK120016552,3169749,1,NC_017626.1,3531706,1,042,2084
ECK120016551,2638975,-1,NC_017626.1,2890548,-1,042,3091
ECK120016550,2616068,1,NC_017626.1,2859118,1,042,1869
ECK120016549,2537315,1,NC_017626.1,2788338,1,042,1168
ECK120016547,1825688,-1,NC_017626.1,1994026,-1,042,631
ECK120016408,518490,-1,NC_017626.1,612196,-1,042,1065
ECK120016405,1442915,-1,NC_017626.1,1591027,-1,042,1061
ECK120016404,1121032,-1,NC_017626.1,1210902,-1,042,331
ECK120016403,1121058,-1,NC_017626.1,1210902,-1,042,357
ECK120016338,2065972,-1,NC_017626.1,2318723,-1,042,2584
ECK120016337,1289106,1,NC_017626.1,1373427,1,042,2149
ECK120016334,1290220,1,NC_017626.1,1374541,1,042,1035
ECK120016331,3669551,1,NC_017626.1,4046343,1,042,1691
ECK120016329,3692673,-1,NC_017626.1,4068236,-1,042,3518
ECK120016328,4351685,-1,NC_017626.1,4818422,-1,042,2370
ECK120016222,2850839,1,NC_017626.1,3113104,1,042,5577
ECK120016221,2850627,1,NC_017626.1,3112892,1,042,5789
ECK120016218,2013093,-1,NC_017626.1,2184993,-1,042,393
ECK120016181,2695767,1,NC_017626.1,2950274,1,042,1590
ECK120016180,855786,-1,NC_017626.1,967245,-1,042,962
ECK120015960,485699,1,NC_017626.1,549950,1,042,709
ECK120015958,1277821,1,NC_017626.1,1362616,1,042,1527
ECK120016558,3169801,1,NC_017626.1,3531758,1,042,2032
ECK120016557,3201042,1,NC_017626.1,3572113,1,042,2087
ECK120015945,4591412,1,NC_017626.1,5192671,1,042,1908
ECK120015944,4105686,-1,NC_017626.1,4575862,-1,042,2084
ECK120015372,3813852,1,NC_017626.1,4194258,1,042,1238
ECK120015502,4111524,-1,NC_017626.1,4583000,-1,042,784
ECK120015515,4012837,-1,NC_017626.1,4484424,-1,042,974
ECK120015514,4012855,-1,NC_017626.1,4484424,-1,042,992
ECK120015513,4012884,1,NC_017626.1,4485445,1,042,2429
ECK120015512,3068185,-1,NC_017626.1,3344105,-1,042,845
ECK120015511,3068126,-1,NC_017626.1,3344105,-1,042,786
ECK120015509,1727801,1,NC_017626.1,1897129,1,042,443
ECK120015508,1114213,-1,NC_017626.1,1204008,-1,042,406
ECK120015507,4439511,1,NC_017626.1,5030459,1,042,282
ECK120015506,3719431,1,NC_017626.1,4100610,1,042,337
ECK120015505,2578570,1,NC_017626.1,2821594,1,042,3069
ECK120015501,2587475,1,NC_017626.1,2830507,1,042,3233
ECK120015373,1263556,-1,NC_017626.1,1346223,-1,042,2661
ECK120015499,846631,-1,NC_017626.1,958162,-1,042,890
ECK120015492,883508,-1,NC_017626.1,996171,-1,042,716
ECK120015491,174921,-1,NC_017626.1,179375,-1,042,1319
ECK120015490,703175,-1,NC_017626.1,778449,-1,042,1572
ECK120015488,1719748,1,NC_017626.1,1889077,1,042,595
ECK120015487,1719777,1,NC_017626.1,1889106,1,042,566
ECK120015486,1682138,1,NC_017626.1,1851643,1,042,2045
ECK120015482,2493439,-1,NC_017626.1,2748517,-1,042,1435
ECK120015478,1586664,-1,NC_017626.1,1713263,-1,042,2462
ECK120015369,1823492,1,NC_017626.1,1992461,1,042,910
ECK120016928,742619,1,NC_017626.1,804623,1,042,4107
ECK120015368,607731,1,NC_017626.1,686354,1,042,256
ECK120015340,21120,-1,NC_017626.1,27316,-1,042,349
ECK120015766,2751759,1,NC_017626.1,3007550,1,042,1697
ECK120015523,1125522,1,NC_017626.1,1215726,1,042,624
ECK120015367,711939,-1,NC_017626.1,788323,-1,042,334
ECK120015365,3647982,-1,NC_017626.1,4012977,-1,042,330
ECK120015363,1810170,1,NC_017626.1,1979351,1,042,631
ECK120015362,1946110,1,NC_017626.1,2119898,1,042,743
ECK120015361,1946144,1,NC_017626.1,2119932,1,042,709
ECK120015360,1948674,-1,NC_017626.1,2120603,-1,042,1859
ECK120015359,1947439,-1,NC_017626.1,2120603,-1,042,624
ECK120015358,1948185,-1,NC_017626.1,2120603,-1,042,1370
ECK120015357,1806323,1,NC_017626.1,1975504,1,042,976
ECK120015355,601929,1,NC_017626.1,680047,1,042,1481
ECK120015354,1526020,-1,NC_017626.1,1650171,-1,042,1539
ECK120015353,1526011,-1,NC_017626.1,1650171,-1,042,1530
ECK120015352,8191,1,NC_017626.1,9626,1,042,1035
ECK120015350,1950617,-1,NC_017626.1,2122450,-1,042,1955
ECK120015349,3072857,-1,NC_017626.1,3348196,-1,042,1426
ECK120015348,3073823,-1,NC_017626.1,3346930,-1,042,3658
ECK120015347,3072857,-1,NC_017626.1,3346930,-1,042,2692
ECK120015345,1250944,-1,NC_017626.1,1332948,-1,042,3248
ECK120015344,1251003,1,NC_017626.1,1336255,1,042,1982
ECK120015343,2239391,-1,NC_017626.1,2502373,-1,042,2648
ECK120015341,1601460,1,NC_017626.1,1732782,1,042,6644
ECK120015339,21210,-1,NC_017626.1,27316,-1,042,439
ECK120016930,1705207,1,NC_017626.1,1874533,1,042,6954
ECK120015337,4635353,-1,NC_017626.1,5234768,-1,042,912
ECK120011090,4155078,-1,NC_017626.1,4628340,-1,042,1382
ECK120015175,3853192,-1,NC_017626.1,4287552,-1,042,74
ECK120015332,546411,-1,NC_017626.1,631346,-1,042,3150
ECK120015330,532300,-1,NC_017626.1,619477,-1,042,1005
ECK120015329,532390,1,NC_017626.1,620572,1,042,543
ECK120015327,65803,-1,NC_017626.1,70478,-1,042,2374
ECK120015324,4160802,-1,NC_017626.1,4634034,-1,042,1412
ECK120015323,2222120,-1,NC_017626.1,2485472,-1,042,2460
ECK120015322,2006115,1,NC_017626.1,2178418,1,042,1559
ECK120015321,1291405,1,NC_017626.1,1375726,1,042,960
ECK120015320,2509461,-1,NC_017626.1,2764935,-1,042,1037
ECK120015336,3348421,1,NC_017626.1,3717257,1,042,663
ECK120015319,1065559,1,NC_017626.1,1163932,1,042,1298
ECK120015317,2579308,1,NC_017626.1,2822332,1,042,2331
ECK120015316,3059353,-1,NC_017626.1,3335409,-1,042,709
ECK120015315,2512734,-1,NC_017626.1,2767980,-1,042,1266
ECK120015314,3497793,1,NC_017626.1,3844053,1,042,1408
ECK120015313,1147577,1,NC_017626.1,1239998,1,042,3827
ECK120015312,3101640,-1,NC_017626.1,3377669,-1,042,736
ECK120015311,3646112,1,NC_017626.1,4011437,1,042,1539
ECK120015310,1147338,1,NC_017626.1,1239759,1,042,4066
ECK120015309,3497754,1,NC_017626.1,3844014,1,042,1447
ECK120015178,817977,1,NC_017626.1,928531,1,042,1770
ECK120015318,1824984,-1,NC_017626.1,1993331,-1,042,622
ECK120015173,3808516,1,NC_017626.1,4188922,1,042,1301
ECK120015171,3088255,1,NC_017626.1,3365020,1,042,1423
ECK120011121,1308673,-1,NC_017626.1,1388940,-1,042,1852
ECK120015172,1556340,-1,NC_017626.1,1684869,-1,042,514
ECK120015155,3433686,-1,NC_017626.1,3793804,-1,042,1250
ECK120015153,2668982,1,NC_017626.1,2923473,1,042,4267
ECK120015152,3853257,-1,NC_017626.1,4287552,-1,042,139
ECK120011167,4338042,-1,NC_017626.1,4807908,-1,042,874
ECK120011166,1668591,-1,NC_017626.1,1824995,-1,042,2067
ECK120011165,1668603,-1,NC_017626.1,1825815,-1,042,1259
ECK120011164,4107474,1,NC_017626.1,4579734,1,042,1258
ECK120011163,4196859,-1,NC_017626.1,4670606,-1,042,527
ECK120011162,4196954,-1,NC_017626.1,4670606,-1,042,622
ECK120011157,4046940,1,NC_017626.1,4519136,1,042,2812
ECK120011154,1832399,1,NC_017626.1,2001368,1,042,835
ECK120011153,911076,-1,NC_017626.1,1024967,-1,042,1745
ECK120011141,2248560,-1,NC_017626.1,2512691,-1,042,1497
ECK120011140,1388844,-1,NC_017626.1,1509822,-1,042,539
ECK120011139,2599879,1,NC_017626.1,2842882,1,042,599
ECK120011138,2600437,1,NC_017626.1,2843440,1,042,511
ECK120011137,1339234,-1,NC_017626.1,1474124,-1,042,722
ECK120011127,1339190,-1,NC_017626.1,1474124,-1,042,678
ECK120011126,4233722,1,NC_017626.1,4713799,1,042,1685
ECK120011125,4233539,-1,NC_017626.1,4711961,-1,042,1655
ECK120011124,4233616,-1,NC_017626.1,4711961,-1,042,1732
ECK120011122,4467363,1,NC_017626.1,5057686,1,042,2958
ECK120015177,348471,-1,NC_017626.1,409562,-1,042,1614
ECK120015176,2668964,-1,NC_017626.1,2922497,-1,042,958
ECK120011120,2255252,-1,NC_017626.1,2519873,-1,042,1007
ECK120011119,2231819,1,NC_017626.1,2497621,1,042,909
ECK120011088,4124509,-1,NC_017626.1,4595691,-1,042,1078
ECK120011105,1330789,1,NC_017626.1,1466401,1,042,2856
ECK120011115,461838,1,NC_017626.1,526090,1,042,1948
ECK120011114,104636,1,NC_017626.1,111328,1,042,1820
ECK120011113,104693,1,NC_017626.1,111385,1,042,1763
ECK120011112,105045,1,NC_017626.1,111737,1,042,1411
ECK120011111,519949,-1,NC_017626.1,613111,-1,042,1609
ECK120011110,1862526,1,NC_017626.1,2034335,1,042,1240
ECK120011109,1862597,1,NC_017626.1,2034406,1,042,1169
ECK120011108,1862735,1,NC_017626.1,2034544,1,042,1031
ECK120011107,3477499,-1,NC_017626.1,3822869,-1,042,892
ECK120011106,3477525,-1,NC_017626.1,3822869,-1,042,918
ECK120011104,1330818,1,NC_017626.1,1466430,1,042,2827
ECK120011089,4153190,-1,NC_017626.1,4625387,-1,042,2743
ECK120011103,1330848,1,NC_017626.1,1466460,1,042,2797
ECK120011102,1330883,1,NC_017626.1,1466495,1,042,2762
ECK120011101,1330980,1,NC_017626.1,1466592,1,042,2665
ECK120011100,1556606,1,NC_017626.1,1685649,1,042,450
ECK120009346,4330320,1,NC_017626.1,4801060,1,042,1684
ECK120011098,1103344,-1,NC_017626.1,1191052,-1,042,2493
ECK120011097,458815,1,NC_017626.1,523067,1,042,2427
ECK120011096,4624856,1,NC_017626.1,5225237,1,042,2438
ECK120011091,4163399,1,NC_017626.1,4638043,1,042,2886
ECK120011087,4049899,1,NC_017626.1,4522096,1,042,117
ECK120015333,1982442,-1,NC_017626.1,2152244,-1,042,2346
ECK120011086,3966162,1,NC_017626.1,4431582,1,042,1569
ECK120011057,699222,-1,NC_017626.1,774359,-1,042,1709
ECK120011118,2999064,-1,NC_017626.1,3276953,-1,042,80
ECK120011116,461819,1,NC_017626.1,526071,1,042,1967
ECK120011085,3965687,1,NC_017626.1,4431107,1,042,403
ECK120011084,3965647,1,NC_017626.1,4431067,1,042,443
ECK120011083,3881861,-1,NC_017626.1,4315091,-1,042,1713
ECK120011082,3881841,-1,NC_017626.1,4315091,-1,042,1693
ECK120011081,3719940,1,NC_017626.1,4101119,1,042,373
ECK120011080,3719889,1,NC_017626.1,4101068,1,042,424
ECK120011079,3490851,-1,NC_017626.1,3836528,-1,042,585
ECK120011076,3100790,-1,NC_017626.1,3376419,-1,042,1136
ECK120011075,2909797,-1,NC_017626.1,3169222,-1,042,3154
ECK120011074,2909717,-1,NC_017626.1,3169222,-1,042,3074
ECK120011073,2822090,-1,NC_017626.1,3081646,-1,042,2709
ECK120011071,2640642,-1,NC_017626.1,2893965,-1,042,1341
ECK120011070,2441641,-1,NC_017626.1,2712685,-1,042,1358
ECK120011068,2055031,1,NC_017626.1,2310365,1,042,1484
ECK120011067,1994879,-1,NC_017626.1,2165011,-1,042,2005
ECK120011066,1862618,1,NC_017626.1,2034427,1,042,2116
ECK120011065,1806351,1,NC_017626.1,1975532,1,042,948
ECK120011064,1801346,-1,NC_017626.1,1969223,-1,042,1311
ECK120011061,1688551,1,NC_017626.1,1858056,1,042,1200
ECK120011060,1341870,1,NC_017626.1,1477480,1,042,1114
ECK120011059,985743,-1,NC_017626.1,1098858,-1,042,1224
ECK120011056,497139,1,NC_017626.1,561390,1,042,680
ECK120011054,367538,-1,NC_017626.1,429288,-1,042,1110
ECK120011099,1556596,1,NC_017626.1,1685639,1,042,460
ECK120011051,185977,-1,NC_017626.1,190114,-1,042,887
ECK120009808,3730807,-1,NC_017626.1,4107699,-1,042,2890
ECK120010945,3101798,-1,NC_017626.1,3377669,-1,042,894
ECK120011050,180845,1,NC_017626.1,186618,1,042,1463
ECK120011049,30775,1,NC_017626.1,37283,1,042,3263
ECK120011048,28343,1,NC_017626.1,34851,1,042,929
