Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_002695.1,3680441,3411226,2.82918552
NC_002695.1,3725437,3471855,5.60953997
NC_002695.1,3734907,3508118,3.126256913
NC_002695.1,3754013,3524882,34.76765963
NC_002695.1,3886840,3557707,2.549459527
NC_002695.1,3887784,3646787,5.189731021
NC_002695.1,3892426,3680453,2.882541478
NC_002695.1,3894921,3725449,3.069632981
NC_002695.1,3917060,3734919,4.62600553
NC_002695.1,3917271,3754025,6.121292107
NC_002695.1,3917883,3886852,19.42640774
NC_002695.1,3918876,3887796,2.355140774
NC_002695.1,3956086,3892438,15.01068376
NC_002695.1,3993848,3894933,2.131535948
NC_002695.1,4090665,3917072,66.94318753
NC_002695.1,4093309,3917283,167.6049522
NC_002695.1,4109380,3917895,2.466063348
NC_002695.1,4126288,3918888,6.632792861
NC_002695.1,4149736,3956098,134.9656863
NC_002695.1,4189763,3993860,2.807880845
NC_002695.1,4189912,4090677,4.702928607
NC_002695.1,4248980,4093321,2.817998994
NC_002695.1,4252222,4109392,4.116201609
NC_002695.1,4277139,4126300,3.401646556
NC_002695.1,4300271,4149748,3.66069633
NC_002695.1,4316303,4189775,7.846656611
NC_002695.1,4389098,4189924,47.35193565
NC_002695.1,4391753,4248992,3.014077426
NC_002695.1,4392097,4252234,9.582264957
NC_002695.1,4417590,4277151,3.481963298
NC_002695.1,4443690,4300283,358.0512821
NC_002695.1,4479649,4316315,2.505844646
NC_002695.1,4503326,4389110,2.513260432
NC_002695.1,4549087,4391765,125.1096657
NC_002695.1,4554795,4392109,140.4785696
NC_002695.1,4593422,4417602,2.793552036
NC_002695.1,4602904,4443702,2.103569633
NC_002695.1,4627237,4479661,9.427224736
NC_002695.1,4694719,4503338,4.059514832
NC_002695.1,4702126,4549099,2.887129211
NC_002695.1,4753664,4554807,2.942496229
NC_002695.1,4779244,4593434,2.609477124
NC_002695.1,4813651,4602916,2.623240322
NC_002695.1,4858280,4627249,3.114064857
NC_002695.1,4872217,4694731,5.47297637
NC_002695.1,4879486,4702138,2.985356963
NC_002695.1,4880064,4753676,2.320449975
NC_002695.1,4900662,4779256,2.133295626
NC_002695.1,4918584,4813663,2.776960784
NC_002695.1,4969826,4858292,2.942559075
NC_002695.1,5112388,4872229,4.59753645
NC_002695.1,5116619,4879498,3.397624434
NC_002695.1,5136780,4880076,2.82918552
NC_002695.1,5216707,4900674,66.27187029
NC_002695.1,5320649,4918596,3.445387129
NC_002695.1,5329552,4969838,5.480769231
NC_002695.1,5364051,5112400,2.403343389
NC_002695.1,5365024,5116631,3.612368024
NC_002695.1,5437611,5136792,4.486488185
NC_002695.1,5464056,5216719,3.657868276
NC_002695.1,5464123,5320661,3.377639517
