Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_017660.1,1306113,1306125,2.163976648
NC_017660.1,1321545,1321557,143.1986607
NC_017660.1,1339925,1339937,2.232915522
NC_017660.1,1372629,1372641,2.94582761
NC_017660.1,1385317,1385329,3.085250687
NC_017660.1,1389058,1389070,3.147149725
NC_017660.1,1402240,1402252,7.453897665
NC_017660.1,1418378,1418390,2.214457418
NC_017660.1,1421023,1421035,12.28743132
NC_017660.1,1450540,1450552,1.882726648
NC_017660.1,1462906,1462918,2.447802198
NC_017660.1,1464249,1464261,1.714800824
NC_017660.1,1496602,1496614,5.503348214
NC_017660.1,1507949,1507961,1.955872253
NC_017660.1,1511511,1511523,2.412860577
NC_017660.1,1514107,1514119,2.146462912
NC_017660.1,1517474,1517486,2.923677885
NC_017660.1,1533592,1533604,2.420072115
NC_017660.1,1562731,1562743,124.5879121
NC_017660.1,1575981,1575993,1.768715659
NC_017660.1,1621138,1621150,3.517084478
NC_017660.1,1623629,1623641,61.63650412
NC_017660.1,1628273,1628285,2.743389423
NC_017660.1,1629213,1629225,61.04301168
NC_017660.1,1666666,1666678,1.797304258
NC_017660.1,1691420,1691432,1.813444368
NC_017660.1,1704353,1704365,1.980511676
NC_017660.1,1779271,1779283,34.61907624
NC_017660.1,1799113,1799125,3.813100962
NC_017660.1,1845200,1845212,2.595724588
NC_017660.1,1853891,1853903,2.054000687
NC_017660.1,1911897,1911909,2.42239011
NC_017660.1,1915728,1915740,14.89457418
NC_017660.1,1933618,1933630,2.216432005
NC_017660.1,1958524,1958536,1.83696772
NC_017660.1,2012250,2012262,2.891741071
NC_017660.1,2047847,2047859,50.79833448
NC_017660.1,2049620,2049632,1.510903159
NC_017660.1,2054407,2054419,3.492273352
NC_017660.1,2071914,2071926,7.781335852
NC_017660.1,2132754,2132766,6.702781593
NC_017660.1,2167889,2167901,1.898265797
NC_017660.1,2172252,2172264,2.578725962
NC_017660.1,2191997,2192009,3.392599588
NC_017660.1,2194321,2194333,7.85782967
NC_017660.1,2224665,2224677,2.342977335
NC_017660.1,2227819,2227831,6.882554945
NC_017660.1,2233887,2233899,3.676510989
NC_017660.1,2237916,2237928,4.004721841
NC_017660.1,2291384,2291396,4.326923077
NC_017660.1,2298695,2298707,144.7595295
NC_017660.1,2328055,2328067,6.185611264
NC_017660.1,2336201,2336213,9.180460165
NC_017660.1,2361443,2361455,2.071943681
NC_017660.1,2366157,2366169,15.94359547
NC_017660.1,2430511,2430523,5.746222527
NC_017660.1,2473875,2473887,1.814302885
NC_017660.1,2480034,2480046,162.7961882
NC_017660.1,2530510,2530522,3.574089973
NC_017660.1,2539776,2539788,463.3812672
NC_017660.1,2552817,2552829,2.701150412
NC_017660.1,2591108,2591120,7.911658654
NC_017660.1,2597819,2597831,6.190676511
NC_017660.1,2607468,2607480,10.85345124
NC_017660.1,2652237,2652249,4.886589973
NC_017660.1,2709790,2709802,1.828382555
NC_017660.1,2718992,2719004,1.869505495
NC_017660.1,2792851,2792863,2.90418956
NC_017660.1,2797056,2797068,3.455786401
NC_017660.1,2812025,2812037,37.22793613
NC_017660.1,2820260,2820272,46.93286401
NC_017660.1,2821933,2821945,32.68698489
NC_017660.1,2868074,2868086,2.446686126
NC_017660.1,2880635,2880647,5.644660027
NC_017660.1,2892999,2893011,11.22201236
NC_017660.1,2904133,2904145,3.337225275
NC_017660.1,2904419,2904431,32.68861607
NC_017660.1,2909825,2909837,3.213083791
NC_017660.1,2920758,2920770,5.306662088
NC_017660.1,2930776,2930788,5.190333104
NC_017660.1,2932935,2932947,2.280563187
NC_017660.1,2981460,2981472,2.589800824
NC_017660.1,3020504,3020516,27.86177885
NC_017660.1,3022901,3022913,58.42247596
NC_017660.1,3048031,3048043,5.72029533
NC_017660.1,3048067,3048079,3.646806319
NC_017660.1,3057744,3057756,1.609460852
NC_017660.1,3061513,3061525,2.712568681
NC_017660.1,3062047,3062059,2.100703984
NC_017660.1,3102279,3102291,6.93853022
NC_017660.1,3125091,3125103,1.315075549
NC_017660.1,3129268,3129280,3.298162775
NC_017660.1,3139362,3139374,11.58190247
NC_017660.1,3156357,3156369,4.102850275
NC_017660.1,3156414,3156426,2.753090659
NC_017660.1,3157319,3157331,1.537345467
NC_017660.1,3159925,3159937,2.853537088
NC_017660.1,3165568,3165580,3.819539835
NC_017660.1,3169725,3169737,1.986778846
NC_017660.1,3171931,3171943,1.754721841
NC_017660.1,3180032,3180044,1.523179945
NC_017660.1,3225553,3225565,2.321686126
NC_017660.1,3249062,3249074,1.839028159
NC_017660.1,3273376,3273388,14.15470467
NC_017660.1,3282715,3282727,1.337139423
NC_017660.1,3289217,3289229,1.902901786
NC_017660.1,3289486,3289498,1.826923077
NC_017660.1,3309683,3309695,6.163118132
NC_017660.1,3311273,3311285,44.54713255
NC_017660.1,3312672,3312684,7.78228022
NC_017660.1,3329164,3329176,2.869419643
NC_017660.1,3336451,3336463,5.541037088
NC_017660.1,3349142,3349154,1.727506868
NC_017660.1,3350026,3350038,1.595123626
NC_017660.1,3363894,3363906,3.961366758
NC_017660.1,3453995,3454007,2.242273352
NC_017660.1,3463657,3463669,37.06284341
NC_017660.1,3480967,3480979,2.098300137
NC_017660.1,3486052,3486064,4.424708104
NC_017660.1,3506234,3506246,2.063787775
NC_017660.1,3531939,3531951,3.105597527
NC_017660.1,3539357,3539369,4.421274038
NC_017660.1,3550844,3550856,5.302541209
NC_017660.1,3572678,3572690,4.611692995
NC_017660.1,3578204,3578216,7.229481456
NC_017660.1,3580128,3580140,2.109975962
NC_017660.1,3580325,3580337,3.496222527
NC_017660.1,3589676,3589688,3.518715659
NC_017660.1,3619056,3619068,631.2257898
NC_017660.1,3656183,3656195,6.934924451
NC_017660.1,3661588,3661600,6.301253434
NC_017660.1,3694142,3694154,24.73325893
NC_017660.1,3702374,3702386,72.16165865
NC_017660.1,3721638,3721650,2.919557005
NC_017660.1,3724985,3724997,3.319625687
NC_017660.1,3797246,3797258,1.736006181
NC_017660.1,3811263,3811275,1.975875687
NC_017660.1,3826015,3826027,21.19436813
NC_017660.1,4036883,4036895,6.325463599
NC_017660.1,4051447,4051459,16.93028846
NC_017660.1,4088138,4088150,3.964285714
NC_017660.1,4137817,4137829,1.185782967
NC_017660.1,4139216,4139228,1.816964286
NC_017660.1,4152025,4152037,1.969179258
NC_017660.1,4156315,4156327,2.108258929
NC_017660.1,4168634,4168646,2.320140797
NC_017660.1,4175897,4175909,74.28202266
NC_017660.1,4175931,4175943,51.99605082
NC_017660.1,4185978,4185990,2.301425137
NC_017660.1,4227738,4227750,3.148351648
NC_017660.1,4229919,4229931,32.81215659
NC_017660.1,4260139,4260151,3.60259272
NC_017660.1,4270582,4270594,3.316191621
NC_017660.1,4301615,4301627,1.539320055
NC_017660.1,4308869,4308881,1.092376374
NC_017660.1,4310343,4310355,1.632039835
NC_017660.1,4312349,4312361,1.440161401
NC_017660.1,4324450,4324462,7.95990728
NC_017660.1,4335517,4335529,2.436383929
NC_017660.1,4337098,4337110,42.41346154
NC_017660.1,4387951,4387963,209.5345982
NC_017660.1,4388046,4388058,142.7534341
NC_017660.1,4390572,4390584,233.3173077
NC_017660.1,4400097,4400109,238.7342033
NC_017660.1,4400135,4400147,258.4709821
NC_017660.1,4442430,4442442,3.891912775
NC_017660.1,4447154,4447166,2.448317308
NC_017660.1,4461528,4461540,4.631438874
NC_017660.1,4508235,4508247,59.23875343
NC_017660.1,4514597,4514609,18.86658654
NC_017660.1,4546703,4546715,2.14268544
NC_017660.1,4556885,4556897,2.606198489
NC_017660.1,4575846,4575858,3.507039835
NC_017660.1,4610113,4610125,2.098128434
NC_017660.1,4664351,4664363,3.987723214
NC_017660.1,4726086,4726098,5.243818681
NC_017660.1,4805919,4805931,5.391311813
NC_017660.1,4807397,4807409,5.742273352
NC_017660.1,4842973,4842985,5.890281593
NC_017660.1,4851879,4851891,2.300738324
NC_017660.1,4899317,4899329,1.64268544
NC_017660.1,4899654,4899666,2.044471154
NC_017660.1,4902875,4902887,2.576751374
NC_017660.1,4904672,4904684,3.550738324
NC_017660.1,4911690,4911702,4.232142857
NC_017660.1,4916757,4916769,2.143887363
NC_017660.1,4918206,4918218,6.170243819
NC_017660.1,4934779,4934791,1.419471154
NC_017660.1,4987273,4987285,921.9523523
NC_017660.1,4987352,4987364,192.3699348
NC_017661.1,1428,1440,1.828331877
