Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_007779.1,1793696,1793708,3.2610256410000003,ECK120029427,thrS-infC-rpmI-rplT-pheMST-ihfA
NC_007779.1,1880122,1880134,2.213782051,ECK120021138,dgcP
NC_007779.1,1901257,1901269,2.406121795,ECK120021072,yoaE
NC_007779.1,1943011,1943023,2.571538462,ECK120009040,znuA
NC_007779.1,1989082,1989094,9.488653846,ECK120029858,ftnB
NC_007779.1,1998981,1998993,11.20567308,ECK120027145,dcyD-tcyLN
NC_007779.1,2243380,2243392,2.079326923,ECK120027229,folE-yeiB
NC_007779.1,2250295,2250307,352.47679489999996,ECK120011141,lysP
NC_007779.1,2312014,2312026,37.74583333,ECK120009266,alkB
NC_007779.1,2443817,2443829,7.406217949,ECK120009074,flk
NC_007779.1,2461569,2461581,4.856666667,ECK120009079,fadIJ
NC_007779.1,2577397,2577409,2.052371795,ECK120034153,talA
NC_007779.1,2585808,2585820,2.484839744,ECK120029323,narQ
NC_007779.1,2627296,2627308,3.9057692310000003,ECK120009396,guaBA
NC_007779.1,2667932,2667944,1.579647436,ECK120015153,hcaEFCBD
NC_007779.1,2695334,2695346,1.52474359,ECK120027352,pgpC-tadA
NC_007779.1,2750490,2750502,4.512211538,ECK120015766,recN
NC_007779.1,2799386,2799398,41.78910256,ECK120008916,nrdHIEF
NC_007779.1,2832631,2832643,2.586282051,ECK120030640,hypF
NC_007779.1,2905139,2905151,2.533589744,ECK125109845,eno
NC_007779.1,2956696,2956708,2.9401923080000003,ECK120027429,ppdAB-ygdB-ppdC-recC
NC_007779.1,2957574,2957586,1.879839744,ECK120027429,ppdAB-ygdB-ppdC-recC
NC_007779.1,3098084,3098096,2.002019231,ECK120011076,ansB
NC_007779.1,3150725,3150737,16.26974359,ECK120009382,metC
NC_007779.1,3215198,3215210,176.58730769999997,ECK120010891,aer
NC_007779.1,3318505,3318517,2.17525641,ECK120009085,argG
NC_007779.1,3330353,3330365,2.410480769,ECK125230247,rplU-rpmA-yhbE-obgE
NC_007779.1,3518521,3518533,1.307083333,ECK120009364,glpFKX
NC_007779.1,3526830,3526842,1.456666667,ECK125109839,pfkA
NC_007779.1,3535961,3535973,64.04118589999999,ECK120009256,rhaSR
NC_007779.1,3555821,3555833,3.030128205,ECK120027745,yihXY-dtd-yiiD
NC_007779.1,3556617,3556629,2.222532051,ECK120027745,yihXY-dtd-yiiD
NC_007779.1,3561025,3561037,2.7672756410000003,ECK120027744,yihVW
NC_007779.1,3580144,3580156,3.0924038460000003,ECK120009222,glnALG
NC_007779.1,3619328,3619340,2.2042948719999997,ECK120015513,metE
NC_007779.1,3686472,3686484,1.99025641,ECK120008930,rrsC-gltU-rrlC-rrfC
NC_007779.1,3728666,3728678,2.1016025640000002,ECK125134710,pstB-phoU
NC_007779.1,3786571,3786583,4.431730769,ECK120009117,tisB
NC_007779.1,3829468,3829480,2.912948718,ECK120015174,waaA
NC_007779.1,3879776,3879788,4.423269231,ECK120009543,selAB
NC_007779.1,3931852,3931864,2.129038462,ECK120009700,proK
NC_007779.1,3934408,3934420,1.912980769,ECK120009452,dppABCDF
NC_007779.1,3975215,3975227,2.214519231,ECK120049210,gadEF-mdtEF
NC_007779.1,4050386,4050398,1.923974359,ECK120009109,ugpBAECQ
NC_007779.1,4173360,4173372,1.8059294869999998,ECK120030197,gspCDEFGHIJKLMO
NC_007779.1,4232765,4232777,1.504391026,ECK120027780,yjbB
NC_007779.1,4366933,4366945,3.0925961539999998,ECK120034180,yjdC
NC_007779.1,4521415,4521427,6.740673077,ECK120009643,fecIR
