Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_007779.1,2518197,2518209,57.26900641
NC_007779.1,2530192,2530204,2.328974359
NC_007779.1,2577397,2577409,2.052371795
NC_007779.1,2585808,2585820,2.484839744
NC_007779.1,2627296,2627308,3.905769231
NC_007779.1,2667932,2667944,1.579647436
NC_007779.1,2695334,2695346,1.52474359
NC_007779.1,2750305,2750317,2.681826923
NC_007779.1,2750490,2750502,4.512211538
NC_007779.1,2758631,2758643,2.459455128
NC_007779.1,2760162,2760174,1.834935897
NC_007779.1,2763293,2763305,2.793525641
NC_007779.1,2777430,2777442,1.691185897
NC_007779.1,2782140,2782152,1.482628205
NC_007779.1,2785393,2785405,1.812916667
NC_007779.1,2799386,2799398,41.78910256
NC_007779.1,2832631,2832643,2.586282051
NC_007779.1,2905139,2905151,2.533589744
NC_007779.1,2923029,2923041,5.466410256
NC_007779.1,2956696,2956708,2.940192308
NC_007779.1,2957574,2957586,1.879839744
NC_007779.1,3014516,3014528,4.78724359
NC_007779.1,3098084,3098096,2.002019231
NC_007779.1,3145142,3145154,20.98141026
NC_007779.1,3146081,3146093,2.574070513
NC_007779.1,3150725,3150737,16.26974359
NC_007779.1,3153216,3153228,2.616378205
NC_007779.1,3215198,3215210,176.5873077
NC_007779.1,3243457,3243469,2.553141026
NC_007779.1,3252875,3252887,2.772852564
NC_007779.1,3258763,3258775,1.994487179
NC_007779.1,3263522,3263534,2.062403846
NC_007779.1,3318505,3318517,2.17525641
NC_007779.1,3330353,3330365,2.410480769
NC_007779.1,3348166,3348178,4.120224359
NC_007779.1,3350811,3350823,2.023173077
NC_007779.1,3373684,3373696,1.883814103
NC_007779.1,3373986,3373998,3.03400641
NC_007779.1,3390907,3390919,3.060160256
NC_007779.1,3518140,3518152,2.784871795
NC_007779.1,3518521,3518533,1.307083333
NC_007779.1,3526830,3526842,1.456666667
NC_007779.1,3535961,3535973,64.0411859
NC_007779.1,3555240,3555252,2.210769231
NC_007779.1,3555821,3555833,3.030128205
NC_007779.1,3556617,3556629,2.222532051
NC_007779.1,3561025,3561037,2.767275641
NC_007779.1,3574188,3574200,2.206025641
NC_007779.1,3580144,3580156,3.092403846
NC_007779.1,3619328,3619340,2.204294872
NC_007779.1,3686472,3686484,1.99025641
NC_007779.1,3728666,3728678,2.101602564
NC_007779.1,3746835,3746847,1.581826923
NC_007779.1,3754648,3754660,1.612532051
NC_007779.1,3786571,3786583,4.431730769
NC_007779.1,3829468,3829480,2.912948718
NC_007779.1,3846367,3846379,1.819391026
NC_007779.1,3879776,3879788,4.423269231
NC_007779.1,3906928,3906940,6.779551282
NC_007779.1,3918717,3918729,2.312179487
NC_007779.1,3931852,3931864,2.129038462
NC_007779.1,3934408,3934420,1.912980769
NC_007779.1,3964954,3964966,2.256858974
NC_007779.1,3975215,3975227,2.214519231
NC_007779.1,4042586,4042598,6.06974359
NC_007779.1,4050386,4050398,1.923974359
NC_007779.1,4057615,4057627,3.941570513
NC_007779.1,4059377,4059389,273.1629808
NC_007779.1,4065588,4065600,2.318782051
NC_007779.1,4100359,4100371,23.23554487
NC_007779.1,4103624,4103636,2.253974359
NC_007779.1,4173360,4173372,1.805929487
NC_007779.1,4232765,4232777,1.504391026
NC_007779.1,4262795,4262807,1.877211538
NC_007779.1,4267053,4267065,2.040897436
NC_007779.1,4287221,4287233,3.825096154
NC_007779.1,4366933,4366945,3.092596154
NC_007779.1,4469790,4469802,3.037884615
NC_007779.1,4478697,4478709,1.910192308
NC_007779.1,4521415,4521427,6.740673077
NC_007779.1,4522957,4522969,28.47967949
NC_007779.1,4524648,4524660,3.962596154
NC_007779.1,4530626,4530638,3.927596154
NC_007779.1,4556175,4556187,1.377564103
NC_007779.1,4576867,4576879,44.70653846
NC_007779.1,4610369,4610381,365.5515705
