Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio
NC_017635.1,1795894,1795906,4.585576923
NC_017635.1,1803768,1803780,2.307692308
NC_017635.1,1820762,1820774,5.377884615
NC_017635.1,1830857,1830869,2.271153846
NC_017635.1,1857843,1857855,5.803846154
NC_017635.1,1900953,1900965,2.042307692
NC_017635.1,1910811,1910823,4.090384615
NC_017635.1,1935942,1935954,35.69519231
NC_017635.1,1938343,1938355,6.361538462
NC_017635.1,2024572,2024584,2.830769231
NC_017635.1,2036769,2036781,3.042307692
NC_017635.1,2047681,2047693,2.323076923
NC_017635.1,2053100,2053112,13.19134615
NC_017635.1,2064508,2064520,8.676923077
NC_017635.1,2089433,2089445,3.024038462
NC_017635.1,2135586,2135598,14.72980769
NC_017635.1,2137246,2137258,11.04903846
NC_017635.1,2145482,2145494,14.9875
NC_017635.1,2348705,2348717,3.706730769
NC_017635.1,2358343,2358355,3.942307692
NC_017635.1,2365060,2365072,3.492307692
NC_017635.1,2416404,2416416,272.4125
NC_017635.1,2476114,2476126,45.09230769
NC_017635.1,2525658,2525670,4.735576923
NC_017635.1,2590017,2590029,8.338461538
NC_017635.1,2636316,2636328,3.719230769
NC_017635.1,2659703,2659715,4.270192308
NC_017635.1,2697209,2697221,106.6701923
NC_017635.1,2800361,2800373,4.891346154
NC_017635.1,2861927,2861939,4.256730769
NC_017635.1,2922767,2922779,5.975
NC_017635.1,2946834,2946846,33.50480769
NC_017635.1,2982430,2982442,2.775961538
NC_017635.1,3077614,3077626,6.659615385
NC_017635.1,3148140,3148152,2.926923077
NC_017635.1,3192888,3192900,3.124038462
NC_017635.1,3212730,3212742,15.29134615
NC_017635.1,3362786,3362798,25.64519231
NC_017635.1,3363726,3363738,3.314423077
NC_017635.1,3368372,3368384,23.85288462
NC_017635.1,3429267,3429279,75.43557692
NC_017635.1,3471849,3471861,3.104807692
NC_017635.1,3477811,3477823,2.621153846
NC_017635.1,3568299,3568311,5.817307692
NC_017635.1,3570943,3570955,2.959615385
NC_017635.1,3587091,3587103,5.302884615
NC_017635.1,3604013,3604025,3.575
NC_017635.1,3667719,3667731,11.37596154
NC_017635.1,3667868,3667880,66.40576923
NC_017635.1,3735263,3735275,2.8125
NC_017635.1,3738505,3738517,42.44615385
NC_017635.1,3759308,3759320,4.692307692
NC_017635.1,3776387,3776399,2.574038462
NC_017635.1,3782592,3782604,299.2884615
NC_017635.1,3784356,3784368,4.471153846
NC_017635.1,3790810,3790822,2.224038462
NC_017635.1,3798605,3798617,10.75288462
NC_017635.1,3840747,3840759,2.320192308
NC_017635.1,3860969,3860981,2.415384615
NC_017635.1,3871231,3871243,2.721153846
NC_017635.1,3902797,3902809,1.572115385
NC_017635.1,3923546,3923558,3.520192308
NC_017635.1,3963075,3963087,4.755769231
NC_017635.1,4011098,4011110,2.509615385
NC_017635.1,4016805,4016817,2.642307692
NC_017635.1,4076127,4076139,3.852884615
NC_017635.1,4184693,4184705,2.677884615
NC_017635.1,4241872,4241884,2.357692308
NC_017635.1,4277463,4277475,2.453846154
NC_017635.1,4286646,4286658,2.800961538
NC_017635.1,4306571,4306583,3.636538462
NC_017635.1,4307148,4307160,2.588461538
NC_017635.1,4326199,4326211,69.88846154
NC_017635.1,4334740,4334752,4.992307692
NC_017635.1,4368015,4368027,1.731730769
NC_017635.1,4376705,4376717,3.427884615
NC_017635.1,4524922,4524934,3.130769231
NC_017635.1,4529219,4529231,2.5
NC_017635.1,4549386,4549398,4.624038462
NC_017635.1,4620197,4620209,3.567307692
NC_017635.1,4723468,4723480,4.260576923
NC_017635.1,4732371,4732383,3.388461538
NC_017635.1,4782030,4782042,3.0875
NC_017635.1,4783829,4783841,4.130769231
NC_017635.1,4795911,4795923,2.606730769
NC_017635.1,4797363,4797375,5.886538462
NC_017635.1,4866441,4866453,372.5076923
NC_017635.1,4866507,4866519,73.66923077
NC_017635.1,4866530,4866542,55.83173077
,,,
,,,
,,,
,,,
,,,
