locus_tag,Unnamed: 0,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
ECK120009008,109,sra,-1.0,1556046.0,Sigma38,1556054.0,1556064.0,1556078.0,1556083.0,1555826.0,1556046.0
ECK120009009,110,ftsQ,1.0,102742.0,Sigma38,102727.0,102737.0,102708.0,102713.0,102742.0,103985.0
ECK120009010,111,fepDGC,-1.0,622192.0,Sigma70,622200.0,622205.0,622224.0,622229.0,619384.0,622192.0
ECK120009011,112,csiE,1.0,2665401.0,"Sigma70, Sigma38",2665391.0,2665396.0,2665367.0,2665372.0,2665401.0,2666715.0
ECK120009012,114,csiD-ygaF-gabDTP,1.0,2788927.0,Sigma38,2788916.0,2788926.0,2788899.0,2788904.0,2788927.0,2795653.0
ECK120009013,115,mdoGH,1.0,1109257.0,"Sigma70, Sigma24",1109248.0,1109253.0,1109221.0,1109226.0,1109257.0,1113560.0
ECK120009014,117,bamC,-1.0,2599014.0,Sigma24,2599023.0,2599027.0,2599045.0,2599050.0,2597803.0,2599014.0
ECK120009015,118,rfaDFCL,1.0,3793939.0,Sigma70,3793926.0,3793931.0,3793903.0,3793908.0,3793939.0,3798207.0
ECK120009016,119,rfaDFCL,1.0,3793896.0,Sigma70,3793878.0,3793884.0,3793865.0,3793871.0,3793896.0,3798207.0
ECK120009017,120,rfaDFCL,1.0,3793970.0,Sigma24,3793958.0,3793962.0,3793936.0,3793941.0,3793970.0,3798207.0
ECK120009018,121,fadD-sroD,-1.0,1889807.0,Sigma70,1889811.0,1889816.0,1889836.0,1889841.0,1888017.0,1889807.0
ECK120009019,122,hemA-prfA-prmC,1.0,1263676.0,Sigma70,1263663.0,1263668.0,1263641.0,1263646.0,1263676.0,1266927.0
ECK120009020,123,hemA,1.0,1263583.0,Sigma70,1263571.0,1263577.0,1263544.0,1263550.0,1263583.0,1264970.0
ECK120009021,124,iclR,-1.0,4223652.0,Sigma70,4223659.0,4223665.0,4223682.0,4223688.0,4222804.0,4223652.0
ECK120009022,125,secMA-mutT,1.0,,,,,,,107705.0,111433.0
ECK120009023,126,nagE,1.0,703840.0,Sigma70,703827.0,703832.0,703804.0,703809.0,703840.0,705965.0
ECK120009024,127,norVW,1.0,2832439.0,Sigma54,2832425.0,2832429.0,2832413.0,2832418.0,2832439.0,2835045.0
ECK120009025,128,garD,1.0,,,,,,,3275282.0,3276853.0
ECK120009026,129,gudPXD,-1.0,,,,,,,2918045.0,2922100.0
ECK120009027,130,mngAB,1.0,765811.0,Sigma32,765797.0,765802.0,765780.0,765785.0,765811.0,770611.0
ECK120009028,131,rpiB,1.0,4313257.0,Sigma70,4313245.0,4313250.0,4313222.0,4313227.0,4313257.0,4313827.0
ECK120009029,132,cdaR,1.0,182447.0,Sigma70,182434.0,182440.0,182404.0,182410.0,182447.0,183620.0
ECK120009030,133,alsRBACE,-1.0,4313137.0,Sigma70,4313142.0,4313147.0,4313167.0,4313172.0,4307783.0,4313137.0
ECK120009031,134,alsRBACE,-1.0,4313132.0,Sigma70,4313142.0,4313147.0,4313167.0,4313172.0,4307783.0,4313132.0
ECK120009032,135,gntR,-1.0,3578818.0,Sigma70,3578825.0,3578830.0,3578850.0,3578855.0,3577622.0,3578818.0
ECK120009033,136,gntR,-1.0,3578862.0,Sigma70,3578875.0,3578881.0,3578898.0,3578904.0,3577622.0,3578862.0
ECK120009034,137,gntR,-1.0,3578880.0,,,,,,3577622.0,3578880.0
ECK120009035,138,recAX,-1.0,2823819.0,Sigma70,2823825.0,2823830.0,2823847.0,2823852.0,2822139.0,2823819.0
ECK120009036,139,galETKM,-1.0,792177.0,Sigma70,792183.0,792189.0,792201.0,792207.0,787797.0,792177.0
ECK120009037,140,dcuB-fumB,-1.0,4349091.0,Sigma70,4349096.0,4349102.0,4349124.0,4349130.0,4345631.0,4349091.0
ECK120009038,141,znuCB,1.0,1942634.0,Sigma70,1942622.0,1942627.0,1942597.0,1942602.0,1942634.0,1944199.0
ECK120009039,142,zntA,1.0,3606422.0,Sigma70,3606410.0,3606415.0,3606384.0,3606389.0,3606422.0,3608649.0
ECK120009040,143,znuA,-1.0,1942661.0,Sigma38,1942668.0,1942678.0,1942690.0,1942695.0,1941651.0,1942661.0
ECK120009041,144,idnK,1.0,4494597.0,Sigma70,4494585.0,4494590.0,4494561.0,4494566.0,4494597.0,4495186.0
ECK120009042,145,idnDOTR,-1.0,4494435.0,Sigma70,4494441.0,4494447.0,4494471.0,4494477.0,4490141.0,4494435.0
ECK120009043,146,lacZYA,-1.0,366358.0,,,,,,361140.0,366358.0
ECK120009044,147,lacZYA,-1.0,366365.0,,,,,,361140.0,366365.0
ECK120009045,148,lacZYA,-1.0,366377.0,Sigma70,366387.0,366393.0,366410.0,366416.0,361140.0,366377.0
ECK120009046,149,ompA,-1.0,1020187.0,Sigma70,1020193.0,1020199.0,1020215.0,1020221.0,1019013.0,1020187.0
ECK120009047,150,csrB,-1.0,2924524.0,Sigma70,2924526.0,2924531.0,2924552.0,2924557.0,2924166.0,2924524.0
ECK120009048,151,crr,1.0,2535610.0,Sigma38,,,,,2535610.0,2536380.0
ECK120009049,152,nrdDG,-1.0,4462838.0,Sigma70,4462846.0,4462851.0,4462873.0,4462878.0,4459900.0,4462838.0
ECK120009050,153,crr,1.0,2535480.0,Sigma70,2535469.0,2535475.0,2535446.0,2535452.0,2535480.0,2536380.0
ECK120009051,154,bglGFB,-1.0,3906697.0,Sigma70,3906704.0,3906710.0,3906727.0,3906733.0,3902249.0,3906697.0
ECK120009052,155,csrC,1.0,4051036.0,Sigma70,4051023.0,4051029.0,4050997.0,4051003.0,4051036.0,4051280.0
ECK120009053,156,gabDTP,1.0,2790912.0,Sigma38,2790893.0,2790903.0,2790875.0,2790880.0,2790912.0,2795653.0
ECK120009054,157,gntRKU,-1.0,,,,,,,3575688.0,3578726.0
ECK120009055,158,idnR,-1.0,4491182.0,Sigma70,4491187.0,4491192.0,4491209.0,4491214.0,4490141.0,4491182.0
ECK120009056,159,gntT,1.0,3546449.0,Sigma70,3546434.0,3546440.0,3546407.0,3546413.0,3546449.0,3547875.0
ECK120009057,160,gntT,1.0,3546446.0,Sigma70,3546434.0,3546440.0,3546407.0,3546413.0,3546446.0,3547875.0
ECK120009058,161,gntP,-1.0,4551334.0,Sigma70,4551341.0,4551346.0,4551368.0,4551373.0,4549922.0,4551334.0
ECK120009059,162,gntXY,1.0,3544667.0,Sigma70,3544655.0,3544660.0,3544628.0,3544633.0,3544667.0,3546199.0
ECK120009060,163,ibpB,-1.0,3866981.0,Sigma54,3866983.0,3866987.0,3866995.0,3867000.0,3866469.0,3866981.0
ECK120009061,164,groSL,1.0,4370616.0,"Sigma32, Sigma70",4370600.0,4370605.0,4370580.0,4370585.0,4370616.0,4372671.0
ECK120009062,166,uxaCA,-1.0,3244857.0,Sigma70,3244863.0,3244868.0,3244890.0,3244895.0,3241827.0,3244857.0
ECK120009063,167,uxuR,1.0,4554458.0,Sigma70,4554447.0,4554452.0,4554424.0,4554429.0,4554458.0,4555349.0
ECK120009065,168,metA,1.0,4214159.0,Sigma70,4214146.0,4214151.0,4214125.0,4214130.0,4214159.0,4215209.0
ECK120009066,169,yjaB,-1.0,,,,,,,4213680.0,4214123.0
ECK120009067,170,uidABC,-1.0,1696152.0,Sigma70,1696164.0,1696170.0,1696176.0,1696182.0,1691586.0,1696152.0
ECK120009068,171,uidR,-1.0,1697075.0,Sigma70,1697081.0,1697086.0,1697108.0,1697113.0,1696462.0,1697075.0
ECK120009069,172,fusA-tufA,-1.0,3473685.0,Sigma24,3473689.0,3473693.0,3473710.0,3473715.0,3470145.0,3473685.0
ECK120009070,173,ulaABCDEF,1.0,4419927.0,Sigma70,4419915.0,4419920.0,4419892.0,4419897.0,4419927.0,4424386.0
ECK120009071,174,ulaG,-1.0,4419675.0,Sigma70,4419687.0,4419693.0,4419704.0,4419710.0,4418561.0,4419675.0
ECK120009072,175,pdxB-usg-truA-dedA,-1.0,2437884.0,Sigma70,2437897.0,2437903.0,2437911.0,2437917.0,2434082.0,2437884.0
ECK120009073,176,usg-truA-dedA,-1.0,2436890.0,Sigma70,2436897.0,2436903.0,2436921.0,2436927.0,2434082.0,2436890.0
ECK120009074,177,flk,1.0,2437912.0,Sigma70,2437899.0,2437905.0,2437879.0,2437885.0,2437912.0,2438945.0
ECK120009075,178,rsmA-apaGH,-1.0,52588.0,Sigma70,52593.0,52599.0,52621.0,52627.0,50380.0,52588.0
ECK120009076,179,pdxA-rsmA-apaGH,-1.0,,,,,,,50380.0,53416.0
ECK120009077,180,apaGH,-1.0,52034.0,Sigma70,52040.0,52046.0,52061.0,52067.0,50380.0,52034.0
ECK120009078,181,pdxA-rsmA,-1.0,,,,,,,51609.0,53416.0
ECK120009079,182,fadIJ,-1.0,2460511.0,Sigma70,2460517.0,2460522.0,2460540.0,2460545.0,2457015.0,2460511.0
ECK120009080,183,ydiQRST-fadK,1.0,,,,,,,1779617.0,1784677.0
ECK120009081,184,osmF-yehYXW,-1.0,2219523.0,Sigma38,2219530.0,2219540.0,2219554.0,2219559.0,2215745.0,2219523.0
ECK120009082,185,malZ,1.0,422495.0,Sigma70,422483.0,422489.0,422454.0,422460.0,422495.0,424553.0
ECK120009083,186,aes,-1.0,500051.0,Sigma70,500055.0,500061.0,500082.0,500088.0,498945.0,500051.0
ECK120009084,187,ynfEFGH-dmsD,1.0,1658003.0,"Sigma70, Sigma38",1657991.0,1657996.0,1657966.0,1657971.0,1658003.0,1665120.0
ECK120009085,189,argG,1.0,3318562.0,Sigma70,3318549.0,3318554.0,3318528.0,3318533.0,3318562.0,3319980.0
ECK120009086,190,yicR-rpmBG-mutM,-1.0,3812577.0,Sigma70,3812588.0,3812594.0,3812601.0,3812607.0,3810343.0,3812577.0
ECK120009087,191,mutM,-1.0,3811175.0,Sigma32,3811185.0,3811190.0,3811204.0,3811209.0,3810343.0,3811175.0
ECK120009088,192,rpmBG-mutM,-1.0,3811995.0,Sigma70,3812002.0,3812008.0,3812021.0,3812027.0,3810343.0,3811995.0
ECK120009089,193,mutY-yggX-mltC-nupG,1.0,3102988.0,Sigma70,3102978.0,3102984.0,3102953.0,3102959.0,3102988.0,3106970.0
ECK120009090,194,mutY-yggX-mltC-nupG,1.0,3102911.0,Sigma70,3102891.0,3102897.0,3102880.0,3102886.0,3102911.0,3106970.0
ECK120009091,195,yggX-mltC-nupG,1.0,3103993.0,Sigma70,3103981.0,3103987.0,3103959.0,3103965.0,3103993.0,3106970.0
ECK120009092,196,mutY-yggX,1.0,3102988.0,Sigma70,3102978.0,3102984.0,3102953.0,3102959.0,3102988.0,3104368.0
ECK120009093,197,mutY-yggX-mltC,1.0,3102988.0,Sigma70,3102978.0,3102984.0,3102953.0,3102959.0,3102988.0,3105512.0
ECK120009094,198,yggX,1.0,3103993.0,Sigma70,3103981.0,3103987.0,3103959.0,3103965.0,3103993.0,3104368.0
ECK120009095,199,yggX-mltC,1.0,3103993.0,Sigma70,3103981.0,3103987.0,3103959.0,3103965.0,3103993.0,3105512.0
ECK120009096,200,yicR-rpmBG,-1.0,3812577.0,Sigma70,3812588.0,3812594.0,3812601.0,3812607.0,3811209.0,3812577.0
ECK120009097,201,arcB,-1.0,3353049.0,Sigma70,3353055.0,3353061.0,3353081.0,3353087.0,3350689.0,3353049.0
ECK120009098,202,mcrBC,-1.0,,,,,,,4576912.0,4579337.0
ECK120009099,203,pspG,1.0,4262816.0,Sigma54,4262801.0,4262805.0,4262789.0,4262794.0,4262816.0,4263082.0
ECK120009100,204,gadY,1.0,3664864.0,Sigma38,3664847.0,3664857.0,3664829.0,3664834.0,3664864.0,3664961.0
ECK120009101,205,mutY-yggX,1.0,3102911.0,Sigma70,3102891.0,3102897.0,3102880.0,3102886.0,3102911.0,3104368.0
ECK120009102,206,mutY-yggX-mltC,1.0,3102911.0,Sigma70,3102891.0,3102897.0,3102880.0,3102886.0,3102911.0,3105512.0
ECK120009103,207,menBCE,-1.0,,,,,,,2373648.0,2376819.0
ECK120009104,208,ubiE-yigP-ubiB,1.0,,,,,,,4018855.0,4021866.0
ECK120009105,209,glnA,-1.0,4058222.0,Sigma70,4058233.0,4058238.0,4058255.0,4058260.0,4055990.0,4058222.0
ECK120009106,210,glnA,-1.0,4058107.0,Sigma54,4058117.0,4058121.0,4058128.0,4058133.0,4055990.0,4058107.0
ECK120009107,211,serC,1.0,957595.0,Sigma70,957584.0,957589.0,957561.0,957566.0,957595.0,958741.0
ECK120009108,212,ugpBAECQ,-1.0,3592378.0,Sigma70,3592384.0,3592389.0,3592405.0,3592410.0,3587370.0,3592378.0
ECK120009109,213,ugpBAECQ,-1.0,3592426.0,Sigma70,3592436.0,3592441.0,3592457.0,3592462.0,3587370.0,3592426.0
ECK120009110,214,yidQ,1.0,3867544.0,Sigma24,3867539.0,3867543.0,3867515.0,3867520.0,3867544.0,3868060.0
ECK120009111,215,aspA-dcuA,-1.0,4368432.0,Sigma70,4368439.0,4368444.0,4368464.0,4368469.0,4365472.0,4368432.0
ECK120009112,216,entS,1.0,622258.0,Sigma70,622245.0,622250.0,622222.0,622227.0,622258.0,623550.0
ECK120009113,217,entS,1.0,622253.0,Sigma70,622240.0,622245.0,622216.0,622221.0,622253.0,623550.0
ECK120009114,218,gcvB,1.0,2942696.0,Sigma70,2942684.0,2942689.0,2942661.0,2942666.0,2942696.0,2942900.0
ECK120009116,219,metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp,-1.0,3318297.0,Sigma70,3318305.0,3318310.0,3318328.0,3318333.0,3308999.0,3318297.0
ECK120009117,220,tisB,1.0,3853337.0,Sigma70,3853325.0,3853331.0,3853304.0,3853310.0,3853337.0,3853689.0
ECK120009118,221,yraP,1.0,3296349.0,Sigma24,3296336.0,3296340.0,3296313.0,3296318.0,3296349.0,3296984.0
ECK120009119,222,ytfJ,-1.0,4439286.0,Sigma24,4439292.0,4439296.0,4439314.0,4439319.0,4438708.0,4439286.0
ECK120009120,223,ybhK,-1.0,,,,,,,815739.0,816647.0
ECK120009121,224,folA,1.0,49799.0,Sigma70,49787.0,49792.0,49763.0,49768.0,49799.0,50302.0
ECK120009122,225,valS,-1.0,4483927.0,Sigma70,4483935.0,4483940.0,4483959.0,4483964.0,4480932.0,4483927.0
ECK120009123,226,gltX,-1.0,2520730.0,Sigma70,2520738.0,2520743.0,2520760.0,2520765.0,2519208.0,2520730.0
ECK120009124,227,rimL,1.0,1498743.0,Sigma70,1498731.0,1498737.0,1498705.0,1498711.0,1498743.0,1499477.0
ECK120009125,228,pepD,-1.0,255776.0,,,,,,254259.0,255776.0
ECK120009126,229,blc,-1.0,4377745.0,Sigma38,4377750.0,4377760.0,4377772.0,4377777.0,4377189.0,4377745.0
ECK120009127,230,cdh,1.0,4109907.0,Sigma70,4109894.0,4109900.0,4109877.0,4109883.0,4109907.0,4110730.0
ECK120009128,231,cspD,-1.0,922676.0,Sigma70,922685.0,922690.0,922707.0,922712.0,922366.0,922676.0
ECK120009129,232,cysE,-1.0,3782681.0,,,,,,3781741.0,3782681.0
